,northern_male,northern_female,tuple,trust_male,trust_female,corp_male,corp_female,average_male,average_female,female-male
0,0.14381649,0.035587274,"('unsociable', 'sociable')",0.3206535,0.23804073,0.034704316,-0.07505086,0.1663914,0.0661924,-0.100199
1,-0.86257356,-0.8800415,"('unfriendly', 'friendly')",-0.49047095,-0.502917,1.5453295,1.4497492,0.064095,0.0222636,-0.0418314
2,0.6168401,0.63080674,"('unlikable', 'likable')",2.0303967,2.035239,0.78686243,0.76691866,1.1446997,1.1443214,-0.0003783
3,0.48778036,0.6735335,"('repellent', 'pleasant')",0.7376244,1.003427,1.0046374,1.0664777,0.7433473,0.9144794,0.1711321
4,-1.0170062,-1.1629119,"('disliked', 'liked')",-0.49949735,-0.46881324,-7.0303016,-7.1158147,-2.8489351,-2.9158465,-0.0669114
5,-1.555494,-1.6014644,"('distant', 'outgoing')",-0.6941542,-0.7101398,-0.55173725,-0.4477391,-0.9337951,-0.9197811,0.014014
6,-1.7719369,-1.7044425,"('distant', 'open')",-0.8548575,-0.8617128,-0.63115585,-0.52221525,-1.0859834,-1.0294569,0.0565265
7,0.9204679,1.0790288,"('insensitive', 'sensitive')",1.1465651,1.2961848,0.8794218,0.9132926,0.9821516,1.0961688,0.1140172
8,-0.4249018,-0.43454224,"('unaffectionate', 'affectionate')",-0.6184169,-0.67826813,0.6456222,0.58266073,-0.1325655,-0.1767165,-0.044151
9,-0.113268584,-0.079636976,"('unaffectionate', 'caring')",0.27805993,0.25192165,1.3300292,1.386389,0.4982735,0.5195579,0.0212844
10,1.1778343,1.2559749,"('unsympathetic', 'sympathetic')",0.12381271,0.10987389,-0.19238128,-0.19832978,0.3697552,0.389173,0.0194178
11,0.545866,0.603454,"('unhelpful', 'helpful')",1.1504508,1.0527163,2.262651,2.3456333,1.3196559,1.3339345,0.0142786
12,1.5085896,1.7177424,"('unsupportive', 'supportive')",1.0149459,1.2325593,-1.8193461,-1.737326,0.2347298,0.4043252,0.1695954
13,0.27975616,0.21093209,"('impolite', 'polite')",0.9402124,0.82976335,-0.41161144,-0.44863984,0.2694524,0.1973519,-0.0721005
14,1.649523,1.6335844,"('antisocial', 'social')",2.4965851,2.5623486,0.33697957,0.20355873,1.4943625,1.4664973,-0.0278652
15,0.12539683,-0.04882323,"('boring', 'funny')",0.089637734,-0.11182226,0.028109616,-0.030573014,0.0810481,-0.0637395,-0.1447876
16,-1.4168748,-1.4882878,"('unpopular', 'popular')",-1.2944983,-1.1962563,-0.13584593,-0.14091873,-0.949073,-0.9418209,0.0072521
17,-0.36987692,-0.36313653,"('nasty', 'nice')",0.5839189,0.6598116,-0.40710074,-0.39012542,-0.0643529,-0.0311501,0.0332028
18,0.8091965,0.9854155,"('disagreeable', 'welcoming')",-0.42789564,-0.23606814,-0.55479413,-0.4806305,-0.0578311,0.0895723,0.1474034
