,illinois_male,illinois_female,tuple,tool_male,tool_female,works_male,works_female,inc_male,inc_female,average_male,average_female,female-male
0,0.07781498,0.039847292,"('unsociable', 'sociable')",0.04537128,0.029291146,0.99671054,0.9749922,-0.40366822,-0.46051165,0.1790571,0.1459047,-0.0331524
1,-0.87773556,-0.89724416,"('unfriendly', 'friendly')",0.6416699,0.67366517,-0.4930981,-0.4693043,2.0203364,1.9236315,0.3227932,0.3076871,-0.0151061
2,0.23719227,0.34210885,"('unlikable', 'likable')",-0.01449481,-0.018310132,0.17834646,0.21690427,0.43137458,0.5724575,0.2081046,0.2782901,0.0701855
3,0.34237576,0.47497404,"('repellent', 'pleasant')",-1.0046636,-0.9030188,0.41293988,0.4824646,0.1627935,0.20336704,-0.0216386,0.0644467,0.0860853
4,-0.90576607,-1.0264251,"('disliked', 'liked')",0.4912199,0.36008033,-0.3165678,-0.3537278,-6.2046857,-6.349887,-1.7339499,-1.8424898,-0.1085399
5,-1.0193666,-1.0584357,"('distant', 'outgoing')",0.39528173,0.31339028,-1.6127257,-1.5614659,-0.31565535,-0.36109424,-0.6381165,-0.6669014,-0.0287849
6,-0.19574797,-0.1923018,"('distant', 'open')",0.77676386,0.7164458,-2.0185387,-1.972837,0.3789647,0.33188456,-0.2646396,-0.2792021,-0.0145625
7,0.69175035,0.7600815,"('insensitive', 'sensitive')",-0.2300272,-0.16415331,-0.50858545,-0.3941392,0.6319037,0.6296099,0.1462604,0.2078497,0.0615893
8,-0.3488935,-0.34004924,"('unaffectionate', 'affectionate')",0.27627766,0.2998166,-1.7282691,-1.6550837,0.6413855,0.5974987,-0.2898749,-0.2744544,0.0154205
9,0.4495306,0.48207134,"('unaffectionate', 'caring')",1.0509895,1.0945605,-0.870073,-0.73307425,1.1955553,1.2181183,0.4565006,0.5154189,0.0589183
10,1.2591106,1.3918723,"('unsympathetic', 'sympathetic')",-0.8823677,-0.79608977,-0.4583066,-0.36312732,-0.23182613,-0.19335487,-0.0783475,0.0098251,0.0881726
11,0.700527,0.8265372,"('unhelpful', 'helpful')",-0.03897639,0.061492004,0.33100045,0.5215682,2.0471227,2.17605,0.7599185,0.8964118,0.1364933
12,1.3489064,1.4752678,"('unsupportive', 'supportive')",0.72721976,0.8458836,-0.20879155,-0.03246314,-1.6946465,-1.6588926,0.043172,0.1574489,0.1142769
