,footstep_male,footstep_female,tuple,average_male,average_female,female-male
0,-0.63750696,-0.69495255,"('unsociable', 'sociable')",-0.637507,-0.6949525,-0.0574455
1,0.607523,0.5346626,"('unfriendly', 'friendly')",0.607523,0.5346626,-0.0728604
2,-0.44472426,-0.42267662,"('unlikable', 'likable')",-0.4447243,-0.4226766,0.0220477
3,-0.45115688,-0.37112188,"('repellent', 'pleasant')",-0.4511569,-0.3711219,0.080035
4,-1.1525702,-1.0828886,"('disliked', 'liked')",-1.1525702,-1.0828886,0.0696816
5,0.8638568,0.92114985,"('distant', 'outgoing')",0.8638568,0.9211498,0.057293
6,0.59748393,0.6311245,"('distant', 'open')",0.5974839,0.6311245,0.0336406
7,-0.2985512,-0.3442165,"('insensitive', 'sensitive')",-0.2985512,-0.3442165,-0.0456653
8,-0.46605802,-0.5222968,"('unaffectionate', 'affectionate')",-0.466058,-0.5222968,-0.0562388
9,-0.37840223,-0.46729717,"('unaffectionate', 'caring')",-0.3784022,-0.4672972,-0.088895
10,-1.6073561,-1.6400123,"('unsympathetic', 'sympathetic')",-1.6073561,-1.6400123,-0.0326562
11,-0.23512909,-0.25951183,"('unhelpful', 'helpful')",-0.2351291,-0.2595118,-0.0243827
12,-1.093268,-1.0614955,"('unsupportive', 'supportive')",-1.093268,-1.0614955,0.0317725
13,0.15357573,0.11315778,"('impolite', 'polite')",0.1535757,0.1131578,-0.0404179
14,-0.55435896,-0.58018744,"('antisocial', 'social')",-0.554359,-0.5801874,-0.0258284
15,0.2376911,0.20483893,"('boring', 'funny')",0.2376911,0.2048389,-0.0328522
16,0.02070634,0.07337875,"('unpopular', 'popular')",0.0207063,0.0733787,0.0526724
17,-0.102962114,0.002006067,"('nasty', 'nice')",-0.1029621,0.0020061,0.1049682
18,-0.77736056,-0.7738506,"('disagreeable', 'welcoming')",-0.7773606,-0.7738506,0.00351
19,-0.5826322,-0.49611697,"('inhospitable', 'hospitable')",-0.5826322,-0.496117,0.0865152
20,-0.51669717,-0.49529403,"('rough', 'thoughtful')",-0.5166972,-0.495294,0.0214032
21,-0.03119006,0.027310904,"('immoral', 'moral')",-0.0311901,0.0273109,0.058501
22,-0.58859694,-0.64285755,"('untrustworthy', 'trustworthy')",-0.5885969,-0.6428576,-0.0542607
23,0.6565302,0.5451114,"('insincere', 'sincere')",0.6565302,0.5451114,-0.1114188
24,-0.06305503,-0.1665242,"('dishonest', 'honest')",-0.063055,-0.1665242,-0.1034692
25,0.7753387,0.7502418,"('egoistic', 'altruistic')",0.7753387,0.7502418,-0.0250969
26,0.24165516,0.17016365,"('hardhearted', 'benevolent')",0.2416552,0.1701636,-0.0714916
