,accelerant_male,accelerant_female,tuple,average_male,average_female,female-male
0,-0.68540204,-0.8603679,"('unsociable', 'sociable')",-0.685402,-0.8603679,-0.1749659
1,-0.60495776,-0.7329152,"('unfriendly', 'friendly')",-0.6049578,-0.7329152,-0.1279574
2,0.87794423,0.7878026,"('unlikable', 'likable')",0.8779442,0.7878026,-0.0901416
3,-0.8815041,-0.8256467,"('repellent', 'pleasant')",-0.8815041,-0.8256467,0.0558574
4,-2.0472102,-2.0738657,"('disliked', 'liked')",-2.0472102,-2.0738657,-0.0266555
5,-0.28486907,-0.2986981,"('distant', 'outgoing')",-0.2848691,-0.2986981,-0.013829
6,-0.6309694,-0.6893688,"('distant', 'open')",-0.6309694,-0.6893688,-0.0583994
7,-0.04988147,0.09099643,"('insensitive', 'sensitive')",-0.0498815,0.0909964,0.1408779
8,-0.39520672,-0.508213,"('unaffectionate', 'affectionate')",-0.3952067,-0.508213,-0.1130063
9,-0.33934337,-0.33194178,"('unaffectionate', 'caring')",-0.3393434,-0.3319418,0.0074016
10,-1.0132278,-1.0664476,"('unsympathetic', 'sympathetic')",-1.0132278,-1.0664476,-0.0532198
11,0.17066777,0.2370926,"('unhelpful', 'helpful')",0.1706678,0.2370926,0.0664248
12,-0.88594854,-0.7842994,"('unsupportive', 'supportive')",-0.8859485,-0.7842994,0.1016491
13,-0.7364018,-0.840082,"('impolite', 'polite')",-0.7364018,-0.840082,-0.1036802
14,-0.0997823,-0.12910257,"('antisocial', 'social')",-0.0997823,-0.1291026,-0.0293203
15,0.37178388,0.25441402,"('boring', 'funny')",0.3717839,0.254414,-0.1173699
16,0.13751367,0.098217145,"('unpopular', 'popular')",0.1375137,0.0982171,-0.0392966
17,-0.39836934,-0.35412616,"('nasty', 'nice')",-0.3983693,-0.3541262,0.0442431
18,0.00828439,0.029851481,"('disagreeable', 'welcoming')",0.0082844,0.0298515,0.0215671
19,-1.1794667,-1.1795421,"('inhospitable', 'hospitable')",-1.1794667,-1.1795421,-7.54e-05
20,0.68855375,0.6506067,"('rough', 'thoughtful')",0.6885538,0.6506067,-0.0379471
21,-0.038276874,-0.051466126,"('immoral', 'moral')",-0.0382769,-0.0514661,-0.0131892
22,-0.49628413,-0.5629184,"('untrustworthy', 'trustworthy')",-0.4962841,-0.5629184,-0.0666343
