,mime_male,mime_female,tuple,average_male,average_female,female-male
0,-0.5599762,-0.6956768,"('unsociable', 'sociable')",-0.5599762,-0.6956768,-0.1357006
1,0.5560313,0.5166524,"('unfriendly', 'friendly')",0.5560313,0.5166524,-0.0393789
2,0.74435353,0.7501043,"('unlikable', 'likable')",0.7443535,0.7501043,0.0057508
3,0.43630147,0.5211166,"('repellent', 'pleasant')",0.4363015,0.5211166,0.0848151
4,-2.8978522,-2.8445773,"('disliked', 'liked')",-2.8978522,-2.8445773,0.0532749
5,-0.65138674,-0.5939039,"('distant', 'outgoing')",-0.6513867,-0.5939039,0.0574828
6,-0.97575575,-0.9178289,"('distant', 'open')",-0.9757558,-0.9178289,0.0579269
7,-0.6157831,-0.6051308,"('insensitive', 'sensitive')",-0.6157831,-0.6051308,0.0106523
8,-0.50919145,-0.48632967,"('unaffectionate', 'affectionate')",-0.5091915,-0.4863297,0.0228618
9,-0.07656363,-0.10915938,"('unaffectionate', 'caring')",-0.0765636,-0.1091594,-0.0325958
10,-0.85795814,-0.9305908,"('unsympathetic', 'sympathetic')",-0.8579581,-0.9305908,-0.0726327
11,0.80440086,0.72121817,"('unhelpful', 'helpful')",0.8044009,0.7212182,-0.0831827
12,-0.6365538,-0.5862686,"('unsupportive', 'supportive')",-0.6365538,-0.5862686,0.0502852
13,-0.055079486,-0.17628609,"('impolite', 'polite')",-0.0550795,-0.1762861,-0.1212066
14,-0.3993939,-0.49026933,"('antisocial', 'social')",-0.3993939,-0.4902693,-0.0908754
15,0.69221365,0.68506235,"('boring', 'funny')",0.6922137,0.6850623,-0.0071514
16,0.3461191,0.40764794,"('unpopular', 'popular')",0.3461191,0.4076479,0.0615288
17,0.1538884,0.20025712,"('nasty', 'nice')",0.1538884,0.2002571,0.0463687
18,-0.44531518,-0.48743626,"('disagreeable', 'welcoming')",-0.4453152,-0.4874363,-0.0421211
19,-0.97848034,-0.8754883,"('inhospitable', 'hospitable')",-0.9784803,-0.8754883,0.102992
20,0.65906525,0.5668371,"('rough', 'thoughtful')",0.6590652,0.5668371,-0.0922281
21,0.33239496,0.24718846,"('immoral', 'moral')",0.332395,0.2471885,-0.0852065
22,-0.46342188,-0.56519055,"('untrustworthy', 'trustworthy')",-0.4634219,-0.5651906,-0.1017687
23,2.5125597,2.4027216,"('insincere', 'sincere')",2.5125597,2.4027216,-0.1098381
24,0.076573335,-0.00807526,"('dishonest', 'honest')",0.0765733,-0.0080753,-0.0846486
25,0.8263355,0.8602298,"('egoistic', 'altruistic')",0.8263355,0.8602298,0.0338943
26,0.53626144,0.46616966,"('hardhearted', 'benevolent')",0.5362614,0.4661697,-0.0700917
27,0.44844615,0.38547158,"('hardhearted', 'softhearted')",0.4484462,0.3854716,-0.0629746
28,0.025819352,-0.069812216,"('disloyal', 'loyal')",0.0258194,-0.0698122,-0.0956316
29,-0.867295,-0.91955495,"('unfair', 'fair')",-0.867295,-0.9195549,-0.0522599
30,0.0661915,-0.08585816,"('intolerant', 'tolerant')",0.0661915,-0.0858582,-0.1520497
31,-0.87574136,-0.742639,"('evil', 'good')",-0.8757414,-0.742639,0.1331024
