,sauce_male,sauce_female,tuple,average_male,average_female,female-male
0,0.15096064,0.051993202,"('unsociable', 'sociable')",0.1509606,0.0519932,-0.0989674
1,1.1176585,1.0426162,"('unfriendly', 'friendly')",1.1176585,1.0426162,-0.0750423
2,0.5924843,0.7550947,"('unlikable', 'likable')",0.5924843,0.7550947,0.1626104
3,0.8202319,1.0163907,"('repellent', 'pleasant')",0.8202319,1.0163907,0.1961588
4,-7.180711,-7.0329676,"('disliked', 'liked')",-7.1807108,-7.0329676,0.1477432
5,-0.27748033,-0.076430395,"('distant', 'outgoing')",-0.2774803,-0.0764304,0.2010499
6,0.060261197,0.22811222,"('distant', 'open')",0.0602612,0.2281122,0.167851
7,0.6353332,0.75946885,"('insensitive', 'sensitive')",0.6353332,0.7594689,0.1241357
8,0.9013857,0.8780147,"('unaffectionate', 'affectionate')",0.9013857,0.8780147,-0.023371
9,1.4176499,1.5353874,"('unaffectionate', 'caring')",1.4176499,1.5353874,0.1177375
10,1.353694,1.5164617,"('unsympathetic', 'sympathetic')",1.353694,1.5164617,0.1627677
11,1.9563761,2.0734506,"('unhelpful', 'helpful')",1.9563761,2.0734506,0.1170745
12,-1.4927708,-1.4491464,"('unsupportive', 'supportive')",-1.4927708,-1.4491464,0.0436244
13,0.45593002,0.4041269,"('impolite', 'polite')",0.45593,0.4041269,-0.0518031
14,-0.25461036,-0.35365626,"('antisocial', 'social')",-0.2546104,-0.3536563,-0.0990459
15,0.33703345,0.21095794,"('boring', 'funny')",0.3370335,0.2109579,-0.1260756
16,-0.32846898,-0.25772572,"('unpopular', 'popular')",-0.328469,-0.2577257,0.0707433
17,-0.054825664,-0.018135719,"('nasty', 'nice')",-0.0548257,-0.0181357,0.03669
18,-0.5084826,-0.6297823,"('disagreeable', 'welcoming')",-0.5084826,-0.6297823,-0.1212997
19,-0.4747305,-0.29650047,"('inhospitable', 'hospitable')",-0.4747305,-0.2965005,0.17823
20,0.7880618,0.59946346,"('rough', 'thoughtful')",0.7880618,0.5994635,-0.1885983
21,0.19705734,0.38047042,"('immoral', 'moral')",0.1970573,0.3804704,0.1834131
22,-0.26903832,-0.22445512,"('untrustworthy', 'trustworthy')",-0.2690383,-0.2244551,0.0445832
