,lumberman_male,lumberman_female,tuple,average_male,average_female,female-male
0,0.51212466,0.607057,"('unsociable', 'sociable')",0.5121247,0.607057,0.0949323
1,0.084294684,-0.28582442,"('unfriendly', 'friendly')",0.0842947,-0.2858244,-0.3701191
2,0.2962572,0.2837878,"('unlikable', 'likable')",0.2962572,0.2837878,-0.0124694
3,0.41271353,0.56798947,"('repellent', 'pleasant')",0.4127135,0.5679895,0.155276
4,-3.1246035,-3.299845,"('disliked', 'liked')",-3.1246035,-3.299845,-0.1752415
5,-0.8433137,-1.047966,"('distant', 'outgoing')",-0.8433137,-1.047966,-0.2046523
6,-0.9914456,-1.2358522,"('distant', 'open')",-0.9914456,-1.2358522,-0.2444066
7,0.86624074,1.046599,"('insensitive', 'sensitive')",0.8662407,1.046599,0.1803583
8,0.39053366,0.09665583,"('unaffectionate', 'affectionate')",0.3905337,0.0966558,-0.2938779
9,1.2571604,1.0176579,"('unaffectionate', 'caring')",1.2571604,1.0176579,-0.2395025
10,0.4928697,0.7104289,"('unsympathetic', 'sympathetic')",0.4928697,0.7104289,0.2175592
11,1.317599,1.4608579,"('unhelpful', 'helpful')",1.3175991,1.4608579,0.1432588
12,-0.16556942,-0.13715634,"('unsupportive', 'supportive')",-0.1655694,-0.1371563,0.0284131
13,0.17522854,0.3032219,"('impolite', 'polite')",0.1752285,0.3032219,0.1279934
14,0.23925358,0.50408614,"('antisocial', 'social')",0.2392536,0.5040861,0.2648325
15,0.2501952,0.23278728,"('boring', 'funny')",0.2501952,0.2327873,-0.0174079
16,0.011292078,-0.28394082,"('unpopular', 'popular')",0.0112921,-0.2839408,-0.2952329
17,-0.5614518,-0.5383177,"('nasty', 'nice')",-0.5614518,-0.5383177,0.0231341
18,-1.0919082,-1.2405502,"('disagreeable', 'welcoming')",-1.0919082,-1.2405502,-0.148642
19,-0.94019383,-1.0517881,"('inhospitable', 'hospitable')",-0.9401938,-1.0517881,-0.1115943
20,-0.3677535,-0.26837963,"('rough', 'thoughtful')",-0.3677535,-0.2683796,0.0993739
21,0.021901011,0.28636917,"('immoral', 'moral')",0.021901,0.2863692,0.2644682
22,-0.09432948,-0.10126412,"('untrustworthy', 'trustworthy')",-0.0943295,-0.1012641,-0.0069346
23,3.045636,3.062067,"('insincere', 'sincere')",3.0456359,3.062067,0.0164311
24,0.23458776,0.3250383,"('dishonest', 'honest')",0.2345878,0.3250383,0.0904505
25,0.7243979,0.51905966,"('egoistic', 'altruistic')",0.7243979,0.5190597,-0.2053382
26,1.2661977,0.98678803,"('hardhearted', 'benevolent')",1.2661977,0.986788,-0.2794097
27,-0.15529937,-0.42502084,"('hardhearted', 'softhearted')",-0.1552994,-0.4250208,-0.2697214
28,0.71451664,0.6156443,"('disloyal', 'loyal')",0.7145166,0.6156443,-0.0988723
29,-0.633187,-0.59833306,"('unfair', 'fair')",-0.633187,-0.5983331,0.0348539
30,0.30724233,0.36167413,"('intolerant', 'tolerant')",0.3072423,0.3616741,0.0544318
31,-1.4331678,-1.7807297,"('evil', 'good')",-1.4331678,-1.7807297,-0.3475619
32,1.0161755,0.86077625,"('unkind', 'kind')",1.0161755,0.8607762,-0.1553993
33,0.5793917,0.33385974,"('wrong', 'right')",0.5793917,0.3338597,-0.245532
34,1.9117049,2.0094426,"('mean', 'honorable')",1.9117049,2.0094426,0.0977377
35,-0.67057353,-0.95576507,"('corrupt', 'incorrupt')",-0.6705735,-0.9557651,-0.2851916
36,-0.8114408,-1.2718587,"('hostile', 'amicable')",-0.8114408,-1.2718587,-0.4604179
37,-0.01613624,0.06511895,"('fake', 'genuine')",-0.0161362,0.065119,0.0812552
38,0.12519997,0.111759864,"('untruthful', 'truthful')",0.1252,0.1117599,-0.0134401
39,-0.31582692,-0.106131025,"('exploitative', 'cooperative')",-0.3158269,-0.106131,0.2096959
40,-0.94371,-1.1136706,"('stingy', 'generous')",-0.94371,-1.1136706,-0.1699606
