,nielsen_male,nielsen_female,tuple,holdings_male,holdings_female,plc_male,plc_female,average_male,average_female,female-male
0,-1.0087793,-1.0140287,"('unsociable', 'sociable')",-0.75461346,-0.9006921,-0.9431306,-1.02382,-0.9021745,-0.9795136,-0.0773391
1,1.5533767,1.6200267,"('unfriendly', 'friendly')",0.603501,0.36979645,2.2467666,2.050213,1.4678815,1.3466787,-0.1212028
2,0.31381798,0.42253458,"('unlikable', 'likable')",1.3925086,1.512717,0.2015186,0.2716214,0.6359484,0.7356243,0.0996759
3,-0.7835077,-0.68614763,"('repellent', 'pleasant')",-0.295142,-0.22006935,-0.15058029,-0.06787597,-0.4097433,-0.3246977,0.0850456
4,0.18560088,0.1669589,"('disliked', 'liked')",0.90503824,0.835671,-3.725852,-3.7245524,-0.8784043,-0.9073075,-0.0289032
5,0.20996091,0.2274459,"('distant', 'outgoing')",0.03456609,-0.0051340386,0.7261315,0.6766077,0.3235528,0.2996399,-0.0239129
6,-0.1390946,-0.038261436,"('distant', 'open')",-0.07924078,-0.14054017,0.86435807,0.78616,0.2153409,0.2024528,-0.0128881
7,1.2298651,1.2965277,"('insensitive', 'sensitive')",0.15771905,0.14420642,0.50473845,0.49851716,0.6307742,0.6464171,0.0156429
8,1.4893868,1.4397321,"('unaffectionate', 'affectionate')",0.27040297,0.15079997,1.0157712,0.80476826,0.925187,0.7984335,-0.1267535
9,1.4607844,1.4339893,"('unaffectionate', 'caring')",0.7219251,0.545428,1.215642,1.0734781,1.1327838,1.0176318,-0.115152
10,-0.6140084,-0.48713097,"('unsympathetic', 'sympathetic')",-1.0348651,-1.1040931,-0.64733624,-0.6131808,-0.7654033,-0.7348016,0.0306017
11,-1.5042102,-1.5389191,"('unhelpful', 'helpful')",-1.04029,-1.0899824,0.6430053,0.6102205,-0.6338317,-0.6728937,-0.039062
12,1.6337014,1.7126442,"('unsupportive', 'supportive')",0.6727373,0.6790963,-0.79831743,-0.834578,0.5027071,0.5190542,0.0163471
13,-2.109768,-2.1336377,"('impolite', 'polite')",-0.7256188,-0.62969935,-0.8829094,-0.8273227,-1.239432,-1.1968866,0.0425454
14,0.18815367,0.10849037,"('antisocial', 'social')",0.93092704,0.96394384,0.32778004,0.32939112,0.4822869,0.4672751,-0.0150118
15,0.7109504,0.5473767,"('boring', 'funny')",-0.5489426,-0.63822234,0.21062429,0.16559596,0.1242107,0.0249168,-0.0992939
16,-0.9885469,-0.92816496,"('unpopular', 'popular')",-1.1089803,-0.9769847,-0.35753793,-0.39262757,-0.8183551,-0.7659257,0.0524294
17,-0.19484866,-0.14466897,"('nasty', 'nice')",-0.62689734,-0.4942007,-0.84186465,-0.869283,-0.5545369,-0.5027176,0.0518193
18,-0.3690736,-0.27981824,"('disagreeable', 'welcoming')",0.0036305934,0.0863291,-0.64360124,-0.69787484,-0.3363481,-0.2971213,0.0392268
19,0.4435792,0.5661172,"('inhospitable', 'hospitable')",-0.4906418,-0.44930536,0.039679356,0.027324758,-0.0024611,0.0480455,0.0505066
20,0.75230825,0.8047842,"('rough', 'thoughtful')",0.09602197,0.21487744,1.1183578,1.0879352,0.6555626,0.7025323,0.0469697
21,-0.5110686,-0.44128004,"('immoral', 'moral')",-1.0941635,-1.0471387,-1.5044401,-1.4234135,-1.0365574,-0.9706108,0.0659466
22,1.0361378,1.0258434,"('untrustworthy', 'trustworthy')",0.13809444,0.0648972,-0.2270344,-0.26212347,0.3157326,0.2762057,-0.0395269
23,-0.087660536,-0.0035846308,"('insincere', 'sincere')",-0.74312437,-0.8241495,3.9430923,3.7678342,1.0374358,0.9800334,-0.0574024
24,0.901974,0.90385485,"('dishonest', 'honest')",-0.65482765,-0.69363785,0.5011924,0.3968931,0.2494463,0.20237,-0.0470763
25,0.66538495,0.61906904,"('egoistic', 'altruistic')",1.2909569,1.1259251,1.6277258,1.5085622,1.1946892,1.0845188,-0.1101704
