,contribution_male,contribution_female,tuple,average_male,average_female,female-male
0,0.45997745,0.28944972,"('unsociable', 'sociable')",0.4599774,0.2894497,-0.1705277
1,0.38278204,0.20043238,"('unfriendly', 'friendly')",0.382782,0.2004324,-0.1823496
2,0.11308711,0.21008867,"('unlikable', 'likable')",0.1130871,0.2100887,0.0970016
3,0.8955119,0.9732514,"('repellent', 'pleasant')",0.8955119,0.9732514,0.0777395
4,-7.2416496,-7.42523,"('disliked', 'liked')",-7.2416496,-7.42523,-0.1835804
5,-1.6128045,-1.5999163,"('distant', 'outgoing')",-1.6128045,-1.5999163,0.0128882
6,-1.0546991,-1.075282,"('distant', 'open')",-1.0546991,-1.075282,-0.0205829
7,1.5084137,1.4839,"('insensitive', 'sensitive')",1.5084137,1.4839,-0.0245137
8,0.5313733,0.39889848,"('unaffectionate', 'affectionate')",0.5313733,0.3988985,-0.1324748
9,1.413615,1.3501287,"('unaffectionate', 'caring')",1.413615,1.3501287,-0.0634863
10,1.858479,1.8671477,"('unsympathetic', 'sympathetic')",1.858479,1.8671477,0.0086687
11,2.4450634,2.4157608,"('unhelpful', 'helpful')",2.4450634,2.4157608,-0.0293026
12,-1.2856897,-1.3767128,"('unsupportive', 'supportive')",-1.2856897,-1.3767128,-0.0910231
13,0.32671568,0.3022848,"('impolite', 'polite')",0.3267157,0.3022848,-0.0244309
14,0.76046205,0.7524664,"('antisocial', 'social')",0.760462,0.7524664,-0.0079956
15,0.25528288,0.15955158,"('boring', 'funny')",0.2552829,0.1595516,-0.0957313
16,-0.25465143,-0.35368836,"('unpopular', 'popular')",-0.2546514,-0.3536884,-0.099037
17,0.0016245749,0.008292705,"('nasty', 'nice')",0.0016246,0.0082927,0.0066681
18,-0.57275957,-0.64126045,"('disagreeable', 'welcoming')",-0.5727596,-0.6412604,-0.0685008
19,-1.1987109,-1.2009296,"('inhospitable', 'hospitable')",-1.1987109,-1.2009296,-0.0022187
20,1.1487805,1.1679659,"('rough', 'thoughtful')",1.1487805,1.1679659,0.0191854
21,0.2911749,0.37569654,"('immoral', 'moral')",0.2911749,0.3756965,0.0845216
22,-0.08971031,-0.09107434,"('untrustworthy', 'trustworthy')",-0.0897103,-0.0910743,-0.001364
23,6.395791,6.437596,"('insincere', 'sincere')",6.3957911,6.4375958,0.0418047
24,1.6380696,1.5876342,"('dishonest', 'honest')",1.6380696,1.5876342,-0.0504354
25,0.3354656,0.210157,"('egoistic', 'altruistic')",0.3354656,0.210157,-0.1253086
26,0.9804374,0.8719242,"('hardhearted', 'benevolent')",0.9804374,0.8719242,-0.1085132
27,1.6584661,1.4179866,"('hardhearted', 'softhearted')",1.6584661,1.4179866,-0.2404795
28,1.3798687,1.2935851,"('disloyal', 'loyal')",1.3798687,1.2935851,-0.0862836
29,-0.719026,-0.8058324,"('unfair', 'fair')",-0.719026,-0.8058324,-0.0868064
