,invention_male,invention_female,tuple,average_male,average_female,female-male
0,0.12260985,0.042040415,"('unsociable', 'sociable')",0.1226098,0.0420404,-0.0805694
1,0.9857919,0.8869985,"('unfriendly', 'friendly')",0.9857919,0.8869985,-0.0987934
2,0.22901317,0.47550774,"('unlikable', 'likable')",0.2290132,0.4755077,0.2464945
3,0.83703387,0.8963063,"('repellent', 'pleasant')",0.8370339,0.8963063,0.0592724
4,-7.2467113,-7.211105,"('disliked', 'liked')",-7.2467113,-7.2111049,0.0356064
5,-0.5078033,-0.41985703,"('distant', 'outgoing')",-0.5078033,-0.419857,0.0879463
6,-0.21268669,-0.16591132,"('distant', 'open')",-0.2126867,-0.1659113,0.0467754
7,0.6333364,0.6122421,"('insensitive', 'sensitive')",0.6333364,0.6122421,-0.0210943
8,0.7190598,0.6369569,"('unaffectionate', 'affectionate')",0.7190598,0.6369569,-0.0821029
9,1.5689259,1.5283998,"('unaffectionate', 'caring')",1.5689259,1.5283998,-0.0405261
10,1.304333,1.3799722,"('unsympathetic', 'sympathetic')",1.304333,1.3799722,0.0756392
11,2.2497494,2.2462656,"('unhelpful', 'helpful')",2.2497494,2.2462656,-0.0034838
12,-1.5029509,-1.4695309,"('unsupportive', 'supportive')",-1.5029509,-1.4695309,0.03342
13,0.59385407,0.6144999,"('impolite', 'polite')",0.5938541,0.6144999,0.0206458
14,-0.047616474,-0.16043235,"('antisocial', 'social')",-0.0476165,-0.1604324,-0.1128159
15,0.48113406,0.40402967,"('boring', 'funny')",0.4811341,0.4040297,-0.0771044
16,-0.35724217,-0.34061146,"('unpopular', 'popular')",-0.3572422,-0.3406115,0.0166307
17,-0.33367065,-0.24613318,"('nasty', 'nice')",-0.3336706,-0.2461332,0.0875374
18,-0.55304235,-0.62671137,"('disagreeable', 'welcoming')",-0.5530424,-0.6267114,-0.073669
19,-0.8744512,-0.69895273,"('inhospitable', 'hospitable')",-0.8744512,-0.6989527,0.1754985
20,0.8031881,0.5983319,"('rough', 'thoughtful')",0.8031881,0.5983319,-0.2048562
21,0.12176685,0.2418349,"('immoral', 'moral')",0.1217669,0.2418349,0.120068
22,-0.16198479,-0.10076081,"('untrustworthy', 'trustworthy')",-0.1619848,-0.1007608,0.061224
23,6.2882905,6.233625,"('insincere', 'sincere')",6.2882905,6.2336249,-0.0546656
24,1.6356341,1.5943131,"('dishonest', 'honest')",1.6356341,1.5943131,-0.041321
25,0.3015518,0.28855905,"('egoistic', 'altruistic')",0.3015518,0.288559,-0.0129928
26,0.25994396,0.10072781,"('hardhearted', 'benevolent')",0.259944,0.1007278,-0.1592162
27,1.2974927,1.0462372,"('hardhearted', 'softhearted')",1.2974927,1.0462372,-0.2512555
28,0.97784853,0.9131661,"('disloyal', 'loyal')",0.9778485,0.9131661,-0.0646824
29,-0.6713742,-0.8058797,"('unfair', 'fair')",-0.6713742,-0.8058797,-0.1345055
30,0.8957377,0.84494704,"('intolerant', 'tolerant')",0.8957377,0.844947,-0.0507907
31,-1.9668496,-1.9228555,"('evil', 'good')",-1.9668496,-1.9228555,0.0439941
32,1.0939779,1.1074258,"('unkind', 'kind')",1.0939779,1.1074258,0.0134479
33,-0.47475874,-0.44536695,"('wrong', 'right')",-0.4747587,-0.4453669,0.0293918
34,4.6509824,4.7143946,"('mean', 'honorable')",4.6509824,4.7143946,0.0634122
35,-1.3461297,-1.526034,"('corrupt', 'incorrupt')",-1.3461297,-1.526034,-0.1799043
36,-1.2130464,-1.2653582,"('hostile', 'amicable')",-1.2130464,-1.2653582,-0.0523118
37,0.5748844,0.5582613,"('fake', 'genuine')",0.5748844,0.5582613,-0.0166231
38,-0.18703637,-0.09296008,"('untruthful', 'truthful')",-0.1870364,-0.0929601,0.0940763
39,0.008319376,-0.015811957,"('exploitative', 'cooperative')",0.0083194,-0.015812,-0.0241314
40,-1.5629448,-1.7097682,"('stingy', 'generous')",-1.5629448,-1.7097682,-0.1468234
41,-0.16627562,-0.19476801,"('unforgiving', 'forgiving')",-0.1662756,-0.194768,-0.0284924
42,-1.8700179,-1.7808402,"('unreliable', 'reliable')",-1.8700179,-1.7808402,0.0891777
43,1.2603502,1.2988739,"('irresponsible', 'responsible')",1.2603502,1.2988739,0.0385237
44,-1.1244814,-1.1104712,"('prejudiced', 'unprejudiced')",-1.1244814,-1.1104712,0.0140102
45,0.031386405,0.053122193,"('incompetent', 'competent')",0.0313864,0.0531222,0.0217358
46,-0.31241047,-0.21455054,"('uncompetitive', 'competitive')",-0.3124105,-0.2145505,0.09786
47,5.100442,5.269434,"('stupid', 'smart')",5.1004419,5.269434,0.1689921
48,1.0424068,0.7820544,"('unintelligent', 'intelligent')",1.0424068,0.7820544,-0.2603524
49,0.07421891,0.12427314,"('unable', 'able')",0.0742189,0.1242731,0.0500542
50,-0.21327159,-0.17602643,"('clumsy', 'skillful')",-0.2132716,-0.1760264,0.0372452
51,0.47085744,0.40966132,"('uneducated', 'educated')",0.4708574,0.4096613,-0.0611961
52,-0.947429,-1.0384548,"('irrational', 'rational')",-0.947429,-1.0384548,-0.0910258
53,0.19941808,0.10119209,"('uncreative', 'creative')",0.1994181,0.1011921,-0.098226
54,0.91679215,1.0646248,"('incapable', 'capable')",0.9167922,1.0646248,0.1478326
55,0.9235678,0.85344267,"('incompetent', 'clever')",0.9235678,0.8534427,-0.0701251
56,0.9880694,1.0429525,"('impractical', 'practical')",0.9880694,1.0429525,0.0548831
57,-2.4903932,-2.34556,"('unimaginative', 'imaginative')",-2.4903932,-2.3455601,0.1448331
58,-0.22131604,-0.25396866,"('undiscriminating', 'discriminating')",-0.221316,-0.2539687,-0.0326527
59,-0.40210015,-0.29284537,"('foolish', 'wise')",-0.4021001,-0.2928454,0.1092547
60,1.2439699,1.2310379,"('inefficient', 'efficient')",1.2439699,1.2310379,-0.012932
61,0.23145808,-0.052193068,"('illogical', 'logical')",0.2314581,-0.0521931,-0.2836512
62,1.3215725,1.4165231,"('incompetent', 'brilliant')",1.3215725,1.4165231,0.0949506
63,0.5004116,0.58639264,"('unperceptive', 'insightful')",0.5004116,0.5863926,0.085981
64,-5.921485,-5.742799,"('shy', 'confident')",-5.9214849,-5.7427988,0.1786861
65,0.7287062,0.8153729,"('insecure', 'secure')",0.7287062,0.8153729,0.0866667
66,-0.365215,-0.3593634,"('inactive', 'active')",-0.365215,-0.3593634,0.0058516
67,-0.47448137,-0.44495046,"('doubtful', 'determined')",-0.4744814,-0.4449505,0.0295309
68,-0.290552,-0.35643896,"('dependent', 'independent')",-0.290552,-0.356439,-0.065887
69,-1.957854,-1.921176,"('lazy', 'industrious')",-1.957854,-1.921176,0.036678
70,1.4762713,1.5131817,"('lethargic', 'energetic')",1.4762713,1.5131817,0.0369104
71,0.30539095,0.35049924,"('diffident', 'self-confident')",0.305391,0.3504992,0.0451082
72,0.99866533,1.1283718,"('unambitious', 'ambitious')",0.9986653,1.1283718,0.1297065
73,-2.9367251,-2.8709433,"('helpless', 'self-reliant')",-2.9367251,-2.8709433,0.0657818
74,-0.11216267,-0.21460229,"('undedicated', 'dedicated')",-0.1121627,-0.2146023,-0.1024396
75,-0.91323346,-0.65367705,"('meek', 'impulsive')",-0.9132335,-0.653677,0.2595565
76,0.94294256,0.87273365,"('anxious', 'daring')",0.9429426,0.8727337,-0.0702089
77,-0.9640942,-0.9299973,"('unmotivated', 'motivated')",-0.9640942,-0.9299973,0.0340969
78,-0.7561638,-0.7661303,"('nonresilient', 'resilient')",-0.7561638,-0.7661303,-0.0099665
79,-0.63656634,-0.5299515,"('wavering', 'unwavering')",-0.6365663,-0.5299515,0.1066148
80,-0.0024061203,-0.08224356,"('dominated', 'dominating')",-0.0024061,-0.0822436,-0.0798375
81,0.4095297,0.52860266,"('submissive', 'aggressive')",0.4095297,0.5286027,0.119073
82,6.52901,6.7386036,"('poor', 'rich')",6.5290098,6.7386036,0.2095938
83,-0.4069556,-0.34698576,"('powerless', 'powerful')",-0.4069556,-0.3469858,0.0599698
84,0.21587484,0.1771,"('inferior', 'superior')",0.2158748,0.1771,-0.0387748
85,-1.273346,-1.4128863,"('insignificant', 'prestigious')",-1.2733459,-1.4128863,-0.1395404
86,0.5143717,0.49494448,"('uninfluential', 'influential')",0.5143717,0.4949445,-0.0194272
87,-0.3084358,-0.22782996,"('unsuccessful', 'successful')",-0.3084358,-0.22783,0.0806058
88,0.2270245,0.1870674,"('low', 'eminent')",0.2270245,0.1870674,-0.0399571
