,pigsty_male,pigsty_female,tuple,average_male,average_female,female-male
65,0.46545765,0.3169926,"('insecure', 'secure')",0.4654576,0.3169926,-0.148465
66,-1.2069916,-1.2911477,"('inactive', 'active')",-1.2069916,-1.2911477,-0.0841561
67,0.32588628,0.33961472,"('doubtful', 'determined')",0.3258863,0.3396147,0.0137284
68,-1.3392249,-1.3440397,"('dependent', 'independent')",-1.3392249,-1.3440397,-0.0048148
69,-1.2120421,-1.1672566,"('lazy', 'industrious')",-1.2120421,-1.1672566,0.0447855
70,-0.5147882,-0.6233873,"('lethargic', 'energetic')",-0.5147882,-0.6233873,-0.1085991
71,-0.039937317,-0.044905413,"('diffident', 'self-confident')",-0.0399373,-0.0449054,-0.0049681
72,-0.09822745,-0.10398306,"('unambitious', 'ambitious')",-0.0982274,-0.1039831,-0.0057557
73,-2.7636216,-2.6144161,"('helpless', 'self-reliant')",-2.7636216,-2.6144161,0.1492055
74,0.0021712184,-0.122591436,"('undedicated', 'dedicated')",0.0021712,-0.1225914,-0.1247626
75,-0.9490344,-0.87452495,"('meek', 'impulsive')",-0.9490344,-0.874525,0.0745094
76,0.16542964,0.08092433,"('anxious', 'daring')",0.1654296,0.0809243,-0.0845053
77,-0.7471106,-0.7796247,"('unmotivated', 'motivated')",-0.7471106,-0.7796247,-0.0325141
78,0.22325449,0.18079686,"('nonresilient', 'resilient')",0.2232545,0.1807969,-0.0424576
79,-1.0371286,-1.0522482,"('wavering', 'unwavering')",-1.0371286,-1.0522482,-0.0151196
80,0.053158857,0.0014808998,"('dominated', 'dominating')",0.0531589,0.0014809,-0.051678
81,-0.08119331,-0.1293464,"('submissive', 'aggressive')",-0.0811933,-0.1293464,-0.0481531
82,1.6911254,1.4923669,"('poor', 'rich')",1.6911254,1.4923669,-0.1987585
83,-0.19313432,-0.26755056,"('powerless', 'powerful')",-0.1931343,-0.2675506,-0.0744163
84,-0.73502004,-0.72141707,"('inferior', 'superior')",-0.73502,-0.7214171,0.0136029
85,-1.4349245,-1.4960021,"('insignificant', 'prestigious')",-1.4349245,-1.4960021,-0.0610776
86,-0.5848126,-0.83923346,"('uninfluential', 'influential')",-0.5848126,-0.8392335,-0.2544209
87,-0.34495488,-0.39568254,"('unsuccessful', 'successful')",-0.3449549,-0.3956825,-0.0507276
88,-0.9237909,-0.9960064,"('low', 'eminent')",-0.9237909,-0.9960064,-0.0722155
