,ventas_male,ventas_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.1301726,0.066002265,"('unsociable', 'sociable')",-0.05646815,-0.17924474,0.0368522,-0.0566212,-0.0934734
1,-1.2876608,-1.2214483,"('unfriendly', 'friendly')",1.4069129,1.3095518,0.059626,0.0440518,-0.0155742
2,0.87845916,0.97481805,"('unlikable', 'likable')",0.5818013,0.6453858,0.7301302,0.8101019,0.0799717
3,-0.11189651,-0.0012448169,"('repellent', 'pleasant')",0.3242687,0.3511716,0.1061861,0.1749634,0.0687773
4,-0.48165601,-0.4831088,"('disliked', 'liked')",-6.0683675,-6.2424335,-3.2750118,-3.3627713,-0.0877595
5,-1.6913035,-1.5542426,"('distant', 'outgoing')",-0.66346914,-0.7165442,-1.1773863,-1.1353934,0.0419929
6,-2.123196,-1.9310693,"('distant', 'open')",-0.20904,-0.29130724,-1.1661179,-1.1111883,0.0549296
7,0.5581506,0.5782047,"('insensitive', 'sensitive')",0.38801357,0.4546962,0.4730821,0.5164505,0.0433684
8,-0.86980605,-0.7721857,"('unaffectionate', 'affectionate')",0.68383104,0.60391384,-0.0929875,-0.0841359,0.0088516
9,-0.97451955,-0.8578755,"('unaffectionate', 'caring')",0.68970364,0.6581747,-0.142408,-0.0998504,0.0425576
10,0.40090132,0.43447766,"('unsympathetic', 'sympathetic')",-0.2578731,-0.262193,0.0715141,0.0861423,0.0146282
11,0.21795481,0.27154756,"('unhelpful', 'helpful')",1.3699205,1.4562769,0.7939377,0.8639122,0.0699745
12,0.20842595,0.40077144,"('unsupportive', 'supportive')",-1.8352184,-1.8212732,-0.8133962,-0.7102509,0.1031453
13,0.663375,0.6132861,"('impolite', 'polite')",-0.4784245,-0.4567824,0.0924753,0.0782518,-0.0142235
14,1.6407388,1.5547105,"('antisocial', 'social')",0.14551382,0.1079195,0.8931263,0.831315,-0.0618113
15,-0.39272094,-0.5035905,"('boring', 'funny')",0.57672346,0.5153378,0.0920013,0.0058737,-0.0861276
16,-1.3562764,-1.3017076,"('unpopular', 'popular')",0.30345076,0.31743595,-0.5264128,-0.4921358,0.034277
17,-0.43519926,-0.34785128,"('nasty', 'nice')",-0.30718896,-0.27100778,-0.3711941,-0.3094295,0.0617646
18,-0.13998157,0.009833053,"('disagreeable', 'welcoming')",-0.5175367,-0.56429255,-0.3287591,-0.2772298,0.0515293
19,-1.889025,-1.7036469,"('inhospitable', 'hospitable')",-0.54358697,-0.46992728,-1.216306,-1.0867871,0.1295189
20,0.1722414,0.16612129,"('rough', 'thoughtful')",1.4341552,1.3756177,0.8031983,0.7708695,-0.0323288
