,questar_male,questar_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.089045994,-0.047436476,"('unsociable', 'sociable')",-0.088092744,-0.26754114,0.0004766,-0.1574888,-0.1579654
1,-1.600807,-1.661338,"('unfriendly', 'friendly')",1.4358351,1.2576567,-0.0824859,-0.2018406,-0.1193547
2,-0.011623839,0.04010216,"('unlikable', 'likable')",0.55752367,0.5684386,0.2729499,0.3042704,0.0313205
3,-0.017975599,0.10634102,"('repellent', 'pleasant')",0.70233315,0.7131117,0.3421788,0.4097264,0.0675476
4,-0.70017034,-0.73856676,"('disliked', 'liked')",-6.6693487,-6.7389755,-3.6847596,-3.7387712,-0.0540116
5,-1.7144169,-1.7097431,"('distant', 'outgoing')",-0.54225886,-0.5895193,-1.1283379,-1.1496313,-0.0212934
6,-2.3013034,-2.2566512,"('distant', 'open')",-0.47763926,-0.56248295,-1.3894713,-1.4095671,-0.0200958
7,0.4427951,0.47442654,"('insensitive', 'sensitive')",0.078326814,0.07253797,0.260561,0.2734823,0.0129213
8,-0.78428745,-0.8444492,"('unaffectionate', 'affectionate')",0.6536199,0.59368324,-0.0653338,-0.125383,-0.0600492
9,-0.8911038,-0.9515301,"('unaffectionate', 'caring')",0.9539329,0.8959788,0.0314145,-0.0277756,-0.0591901
10,0.21178016,0.20940487,"('unsympathetic', 'sympathetic')",-0.8276695,-0.8813358,-0.3079447,-0.3359655,-0.0280208
11,0.1849984,0.1715931,"('unhelpful', 'helpful')",1.0847018,1.1494555,0.6348501,0.6605243,0.0256742
12,-0.43626404,-0.3795922,"('unsupportive', 'supportive')",-2.410149,-2.444302,-1.4232066,-1.4119471,0.0112595
13,-0.16082676,-0.19632554,"('impolite', 'polite')",-1.2236698,-1.2240343,-0.6922483,-0.7101799,-0.0179316
14,1.1770517,1.1778167,"('antisocial', 'social')",0.11066747,0.046688754,0.6438596,0.6122528,-0.0316068
15,-0.20442468,-0.31945238,"('boring', 'funny')",0.23590595,0.23496546,0.0157406,-0.0422435,-0.0579841
16,-0.8143506,-0.797808,"('unpopular', 'popular')",0.5380875,0.49634528,-0.1381316,-0.1507314,-0.0125998
17,-0.3937914,-0.37156433,"('nasty', 'nice')",-0.5185016,-0.46599013,-0.4561465,-0.4187772,0.0373693
18,-0.25223255,-0.23531947,"('disagreeable', 'welcoming')",-0.36217946,-0.47426665,-0.307206,-0.3547931,-0.0475871
19,-2.0176277,-2.0118403,"('inhospitable', 'hospitable')",-0.7065694,-0.68423873,-1.3620986,-1.3480395,0.0140591
20,0.6372089,0.6348529,"('rough', 'thoughtful')",0.89534324,0.9004031,0.7662761,0.767628,0.0013519
21,0.66759014,0.6564758,"('immoral', 'moral')",-0.49612367,-0.4767836,0.0857332,0.0898461,0.0041129
22,0.36757585,0.41045552,"('untrustworthy', 'trustworthy')",-1.0556104,-1.1349089,-0.3440173,-0.3622267,-0.0182094
23,0.4513318,0.40481502,"('insincere', 'sincere')",5.346561,5.2688394,2.8989463,2.8368273,-0.062119
24,-0.12130145,-0.15471849,"('dishonest', 'honest')",0.29065046,0.2533197,0.0846745,0.0493006,-0.0353739
25,-0.3295898,-0.34530926,"('egoistic', 'altruistic')",1.522606,1.4791944,0.5965081,0.5669426,-0.0295655
26,-0.4537015,-0.50786597,"('hardhearted', 'benevolent')",1.7987256,1.7690431,0.6725121,0.6305885,-0.0419236
27,-0.8593601,-0.85152376,"('hardhearted', 'softhearted')",1.1643941,1.0471796,0.152517,0.0978279,-0.0546891
28,0.005941918,-0.053243335,"('disloyal', 'loyal')",1.1229385,1.0395643,0.5644402,0.4931605,-0.0712797
29,-0.3342087,-0.3804994,"('unfair', 'fair')",-0.31275624,-0.4859192,-0.3234825,-0.4332093,-0.1097268
30,1.3261353,1.3000265,"('intolerant', 'tolerant')",1.0911233,1.066163,1.2086294,1.1830947,-0.0255347
31,-2.2392871,-2.1319413,"('evil', 'good')",-0.4050926,-0.5102167,-1.3221898,-1.321079,0.0011108
32,-0.05202155,-0.10226016,"('unkind', 'kind')",0.32373807,0.17218149,0.1358583,0.0349607,-0.1008976
33,-0.32696062,-0.3798563,"('wrong', 'right')",-0.68375355,-0.6727933,-0.5053571,-0.5263248,-0.0209677
34,-0.1262474,-0.05068297,"('mean', 'honorable')",5.4115815,5.547575,2.6426671,2.748446,0.1057789
35,-0.8143363,-0.90495306,"('corrupt', 'incorrupt')",-0.08686063,-0.11859261,-0.4505985,-0.5117728,-0.0611743
36,-1.8938713,-1.930925,"('hostile', 'amicable')",0.24051112,0.09338786,-0.8266801,-0.9187686,-0.0920885
37,0.1399301,0.13291879,"('fake', 'genuine')",-0.14426419,-0.15648973,-0.002167,-0.0117855,-0.0096185
38,-1.1569356,-1.1529119,"('untruthful', 'truthful')",-0.6598947,-0.60387063,-0.9084151,-0.8783913,0.0300238
39,1.2473289,1.274442,"('exploitative', 'cooperative')",0.24600595,0.31028196,0.7466674,0.792362,0.0456946
40,0.06004796,0.05308494,"('stingy', 'generous')",-1.7693763,-1.8964564,-0.8546641,-0.9216857,-0.0670216
41,0.13903989,0.13171174,"('unforgiving', 'forgiving')",-0.0064958185,-0.12696122,0.066272,0.0023753,-0.0638967
42,0.69717497,0.76292586,"('unreliable', 'reliable')",-3.4434774,-3.463524,-1.3731512,-1.3502991,0.0228521
43,0.076843694,0.16434596,"('irresponsible', 'responsible')",0.013336148,0.020305626,0.0450899,0.0923258,0.0472359
44,-0.48441082,-0.4361462,"('prejudiced', 'unprejudiced')",-1.4381696,-1.4288334,-0.9612902,-0.9324898,0.0288004
45,-0.109950036,-0.05031445,"('incompetent', 'competent')",-0.13666064,-0.20607673,-0.1233053,-0.1281956,-0.0048903
46,0.5662169,0.64066136,"('uncompetitive', 'competitive')",-1.1265547,-1.0950663,-0.2801689,-0.2272025,0.0529664
47,0.45662832,0.53280514,"('stupid', 'smart')",5.294189,5.387484,2.8754086,2.9601445,0.0847359
48,0.8136048,0.7614013,"('unintelligent', 'intelligent')",0.7843924,0.8057804,0.7989986,0.7835909,-0.0154077
49,0.24807668,0.3328092,"('unable', 'able')",-0.20850326,-0.1623111,0.0197867,0.0852491,0.0654624
50,-0.023586832,-0.01650802,"('clumsy', 'skillful')",-0.13022754,-0.19315416,-0.0769072,-0.1048311,-0.0279239
