,msci_male,msci_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.16105622,0.23504527,"('unsociable', 'sociable')",-0.21550153,-0.31515068,-0.0272227,-0.0400527,-0.01283
1,-0.9761665,-1.0312008,"('unfriendly', 'friendly')",1.8689532,1.7225528,0.4463934,0.345676,-0.1007174
2,1.0487216,1.1150037,"('unlikable', 'likable')",0.7564594,0.8605196,0.9025905,0.9877616,0.0851711
3,0.06283464,0.24553093,"('repellent', 'pleasant')",0.04875172,0.08295034,0.0557932,0.1642406,0.1084474
4,-0.27776092,-0.3199519,"('disliked', 'liked')",-5.5097113,-5.574961,-2.8937361,-2.9474566,-0.0537205
5,-1.1528342,-1.2197086,"('distant', 'outgoing')",-0.21456838,-0.2578547,-0.6837013,-0.7387816,-0.0550803
6,-1.7156545,-1.7941853,"('distant', 'open')",0.27468395,0.1880126,-0.7204853,-0.8030863,-0.082601
7,-0.14352332,0.017691847,"('insensitive', 'sensitive')",0.3776721,0.41057456,0.1170744,0.2141332,0.0970588
8,-1.2250869,-1.373329,"('unaffectionate', 'affectionate')",0.800983,0.67167944,-0.212052,-0.3508248,-0.1387728
9,-0.9672526,-1.067102,"('unaffectionate', 'caring')",0.95467067,0.84571,-0.006291,-0.110696,-0.104405
10,-0.43008065,-0.23804523,"('unsympathetic', 'sympathetic')",-0.6961052,-0.7150223,-0.5630929,-0.4765338,0.0865591
11,0.15328732,0.23219493,"('unhelpful', 'helpful')",1.2620485,1.2716376,0.7076679,0.7519162,0.0442483
12,0.03199238,0.18037708,"('unsupportive', 'supportive')",-1.7497582,-1.7542007,-0.8588829,-0.7869118,0.0719711
13,0.2462345,0.32756373,"('impolite', 'polite')",-0.7401906,-0.70056385,-0.2469781,-0.1865001,0.060478
14,1.192196,1.3477867,"('antisocial', 'social')",-0.27262774,-0.24694721,0.4597842,0.5504197,0.0906355
15,0.2743033,0.07499395,"('boring', 'funny')",1.0122563,0.999948,0.6432798,0.537471,-0.1058088
16,-0.03877291,-0.07493441,"('unpopular', 'popular')",0.88809025,0.9056846,0.4246587,0.4153751,-0.0092836
17,-0.3010399,-0.25550163,"('nasty', 'nice')",-0.25157288,-0.22493167,-0.2763064,-0.2402166,0.0360898
18,-0.55350876,-0.5367818,"('disagreeable', 'welcoming')",-0.1320811,-0.15794742,-0.3427949,-0.3473646,-0.0045697
19,-0.89211655,-0.8906669,"('inhospitable', 'hospitable')",0.032361656,0.067671284,-0.4298775,-0.4114978,0.0183797
