,intercontinentalexchange_male,intercontinentalexchange_female,tuple,grp_male,grp_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2227095,-1.3543606,"('unsociable', 'sociable')",-0.37269032,-0.53406477,-0.30718422,-0.47687528,-0.6341947,-0.7884336,-0.1542389
1,-1.5604105,-1.7342795,"('unfriendly', 'friendly')",-1.1148937,-1.2429905,1.790436,1.6492193,-0.294956,-0.4426836,-0.1477276
2,0.7521441,0.8426382,"('unlikable', 'likable')",1.2878833,1.4313772,0.7558072,0.93889827,0.9319448,1.0709713,0.1390265
3,-0.68115854,-0.63078856,"('repellent', 'pleasant')",0.18237232,0.2571488,0.4277869,0.49407247,-0.0236664,0.0401442,0.0638106
4,-0.6335451,-0.69871056,"('disliked', 'liked')",-0.6112312,-0.5743524,-6.02117,-6.031335,-2.4219821,-2.4347992,-0.0128171
5,-0.9627854,-0.86845493,"('distant', 'outgoing')",-1.6604992,-1.5946213,-0.51996994,-0.48049837,-1.0477515,-0.9811915,0.06656
6,-0.71196806,-0.6519219,"('distant', 'open')",-1.8262273,-1.7388667,-0.05394498,-0.0002228953,-0.8640468,-0.7970038,0.067043
7,-0.07312252,-0.01584033,"('insensitive', 'sensitive')",-0.10413082,-0.05967235,0.7551693,0.8068445,0.1926386,0.2437773,0.0511387
8,-1.7523339,-1.8128904,"('unaffectionate', 'affectionate')",-1.5379775,-1.5256122,0.9443553,0.8729245,-0.7819854,-0.8218594,-0.039874
9,-1.6882992,-1.7389865,"('unaffectionate', 'caring')",-1.2012231,-1.2064099,1.3291675,1.2835126,-0.5201183,-0.5539613,-0.033843
10,-1.9954565,-2.0245245,"('unsympathetic', 'sympathetic')",-0.5316509,-0.6067776,-0.06837395,-0.11642643,-0.8651604,-0.9159095,-0.0507491
11,-0.69699526,-0.65132487,"('unhelpful', 'helpful')",0.14004907,0.10214066,1.9041355,1.9052259,0.4490631,0.4520139,0.0029508
12,-1.0795459,-0.9345753,"('unsupportive', 'supportive')",-0.69396317,-0.6499366,-1.6469086,-1.6079389,-1.1401393,-1.0641503,0.075989
13,0.08573411,0.12683415,"('impolite', 'polite')",0.22990705,0.2738712,-0.2526083,-0.1989809,0.021011,0.0672415,0.0462305
14,0.03282035,0.0032541603,"('antisocial', 'social')",1.0589058,0.9745684,-0.21205917,-0.27511957,0.2932223,0.2342343,-0.058988
15,0.87019676,0.7739799,"('boring', 'funny')",0.57698095,0.55220634,0.75012887,0.73347485,0.7324355,0.6865536,-0.0458819
16,-0.34087455,-0.4108388,"('unpopular', 'popular')",-0.63553303,-0.5892827,0.32651582,0.40733626,-0.2166306,-0.1975951,0.0190355
17,-0.4054585,-0.28602436,"('nasty', 'nice')",-0.39398456,-0.28501993,-0.45615765,-0.45323196,-0.4185336,-0.3414254,0.0771082
18,-0.34282163,-0.2679168,"('disagreeable', 'welcoming')",-1.1303297,-1.0149077,-0.330557,-0.32536042,-0.6012361,-0.5360616,0.0651745
19,-1.3044289,-1.260507,"('inhospitable', 'hospitable')",-0.8295753,-0.75991404,0.024440914,0.149848,-0.7031877,-0.6235243,0.0796634
20,0.45380783,0.46061316,"('rough', 'thoughtful')",-0.21891485,-0.28064296,0.8896652,0.771808,0.3748527,0.3172594,-0.0575933
21,-0.6191411,-0.7030828,"('immoral', 'moral')",0.9839242,0.94748944,-0.70901644,-0.710774,-0.1147444,-0.1554558,-0.0407114
22,-0.19248667,-0.28039402,"('untrustworthy', 'trustworthy')",0.6583844,0.5680929,-0.61833215,-0.68611896,-0.0508115,-0.1328067,-0.0819952
23,-0.67759305,-0.73103523,"('insincere', 'sincere')",0.36664772,0.30124128,5.742971,5.5790877,1.8106751,1.7164313,-0.0942438
