,billing_male,billing_female,tuple,average_male,average_female,female-male
67,-0.6998283,-0.7917642,"('doubtful', 'determined')",-0.6998283,-0.7917642,-0.0919359
68,-0.9951668,-0.81081855,"('dependent', 'independent')",-0.9951668,-0.8108186,0.1843482
69,-1.9589533,-1.9817398,"('lazy', 'industrious')",-1.9589533,-1.9817398,-0.0227865
70,0.8045328,0.9889491,"('lethargic', 'energetic')",0.8045328,0.9889491,0.1844163
71,0.43679166,0.5494796,"('diffident', 'self-confident')",0.4367917,0.5494796,0.1126879
72,0.82690233,1.014197,"('unambitious', 'ambitious')",0.8269023,1.014197,0.1872947
73,-2.668219,-2.439652,"('helpless', 'self-reliant')",-2.6682191,-2.439652,0.2285671
74,-0.013202889,-0.101294644,"('undedicated', 'dedicated')",-0.0132029,-0.1012946,-0.0880917
75,-1.0318888,-0.90153015,"('meek', 'impulsive')",-1.0318888,-0.9015301,0.1303587
76,0.14963146,0.088174276,"('anxious', 'daring')",0.1496315,0.0881743,-0.0614572
77,-1.4082997,-1.2193085,"('unmotivated', 'motivated')",-1.4082997,-1.2193085,0.1889912
78,-0.70161086,-0.6771952,"('nonresilient', 'resilient')",-0.7016109,-0.6771952,0.0244157
79,-0.25166765,-0.24924019,"('wavering', 'unwavering')",-0.2516676,-0.2492402,0.0024274
80,-0.07393444,-0.0824945,"('dominated', 'dominating')",-0.0739344,-0.0824945,-0.0085601
81,-0.47239086,-0.3138909,"('submissive', 'aggressive')",-0.4723909,-0.3138909,0.1585
82,6.011294,6.4065204,"('poor', 'rich')",6.0112939,6.4065204,0.3952265
83,-0.51741385,-0.49884585,"('powerless', 'powerful')",-0.5174139,-0.4988458,0.0185681
84,0.5264765,0.55463296,"('inferior', 'superior')",0.5264765,0.554633,0.0281565
85,-0.32883617,-0.59108204,"('insignificant', 'prestigious')",-0.3288362,-0.591082,-0.2622458
86,0.5546025,0.54232574,"('uninfluential', 'influential')",0.5546025,0.5423257,-0.0122768
87,0.16460954,0.43779588,"('unsuccessful', 'successful')",0.1646095,0.4377959,0.2731864
88,0.1572546,0.17378317,"('low', 'eminent')",0.1572546,0.1737832,0.0165286
