,deed_male,deed_female,tuple,average_male,average_female,female-male
0,-0.3511666,-0.4422061,"('unsociable', 'sociable')",-0.3511666,-0.4422061,-0.0910395
1,0.91007864,0.80865693,"('unfriendly', 'friendly')",0.9100786,0.8086569,-0.1014217
2,0.41786304,0.5182278,"('unlikable', 'likable')",0.417863,0.5182278,0.1003648
3,0.035501022,0.11714097,"('repellent', 'pleasant')",0.035501,0.117141,0.08164
4,-6.699745,-6.738819,"('disliked', 'liked')",-6.6997452,-6.7388191,-0.0390739
5,-1.0441061,-1.0332273,"('distant', 'outgoing')",-1.0441061,-1.0332273,0.0108788
6,-0.30247056,-0.36201012,"('distant', 'open')",-0.3024706,-0.3620101,-0.0595395
7,0.8207371,0.9006656,"('insensitive', 'sensitive')",0.8207371,0.9006656,0.0799285
8,1.4914644,1.3757513,"('unaffectionate', 'affectionate')",1.4914644,1.3757513,-0.1157131
9,1.7936608,1.8566585,"('unaffectionate', 'caring')",1.7936608,1.8566585,0.0629977
10,0.46218574,0.55977106,"('unsympathetic', 'sympathetic')",0.4621857,0.5597711,0.0975854
11,1.2728409,1.3920792,"('unhelpful', 'helpful')",1.2728409,1.3920792,0.1192383
12,-1.9552038,-1.7791837,"('unsupportive', 'supportive')",-1.9552038,-1.7791837,0.1760201
13,-0.50277865,-0.38843176,"('impolite', 'polite')",-0.5027786,-0.3884318,0.1143468
14,-0.25668752,-0.23867144,"('antisocial', 'social')",-0.2566875,-0.2386714,0.0180161
15,0.7451051,0.68942916,"('boring', 'funny')",0.7451051,0.6894292,-0.0556759
16,-0.41561,-0.48557842,"('unpopular', 'popular')",-0.41561,-0.4855784,-0.0699684
17,0.136752,0.105054885,"('nasty', 'nice')",0.136752,0.1050549,-0.0316971
18,-0.8350162,-0.7674139,"('disagreeable', 'welcoming')",-0.8350162,-0.7674139,0.0676023
19,-0.11169972,-0.072172254,"('inhospitable', 'hospitable')",-0.1116997,-0.0721723,0.0395274
20,0.5669342,0.46912134,"('rough', 'thoughtful')",0.5669342,0.4691213,-0.0978129
21,-0.4960241,-0.24279629,"('immoral', 'moral')",-0.4960241,-0.2427963,0.2532278
22,-0.73377633,-0.691604,"('untrustworthy', 'trustworthy')",-0.7337763,-0.691604,0.0421723
23,6.2610874,6.2718854,"('insincere', 'sincere')",6.2610874,6.2718854,0.010798
24,1.1793468,1.1818578,"('dishonest', 'honest')",1.1793468,1.1818578,0.002511
25,0.83217585,0.69451797,"('egoistic', 'altruistic')",0.8321759,0.694518,-0.1376579
26,1.2054346,0.9567379,"('hardhearted', 'benevolent')",1.2054346,0.9567379,-0.2486967
27,1.5219105,1.231267,"('hardhearted', 'softhearted')",1.5219105,1.231267,-0.2906435
28,1.314283,1.2227603,"('disloyal', 'loyal')",1.314283,1.2227603,-0.0915227
29,-0.45082265,-0.5562476,"('unfair', 'fair')",-0.4508227,-0.5562476,-0.1054249
30,0.693173,0.82527876,"('intolerant', 'tolerant')",0.693173,0.8252788,0.1321058
31,-0.95031124,-1.0702275,"('evil', 'good')",-0.9503112,-1.0702275,-0.1199163
32,1.4997245,1.4505627,"('unkind', 'kind')",1.4997245,1.4505627,-0.0491618
33,-0.16125575,-0.17765754,"('wrong', 'right')",-0.1612557,-0.1776575,-0.0164018
34,4.6882095,4.7834597,"('mean', 'honorable')",4.6882095,4.7834597,0.0952502
35,-0.42044932,-0.7871021,"('corrupt', 'incorrupt')",-0.4204493,-0.7871021,-0.3666528
36,-0.1422621,-0.38471144,"('hostile', 'amicable')",-0.1422621,-0.3847114,-0.2424493
37,0.5747692,0.5533688,"('fake', 'genuine')",0.5747692,0.5533688,-0.0214004
38,-0.006331876,0.01970099,"('untruthful', 'truthful')",-0.0063319,0.019701,0.0260329
39,0.19789276,0.28360054,"('exploitative', 'cooperative')",0.1978928,0.2836005,0.0857077
40,-1.6961536,-1.8679839,"('stingy', 'generous')",-1.6961536,-1.8679839,-0.1718303
41,0.13859467,0.086715594,"('unforgiving', 'forgiving')",0.1385947,0.0867156,-0.0518791
42,-2.2146993,-2.0416412,"('unreliable', 'reliable')",-2.2146993,-2.0416412,0.1730581
43,0.47866994,0.6820305,"('irresponsible', 'responsible')",0.4786699,0.6820305,0.2033606
44,-1.4255189,-1.373342,"('prejudiced', 'unprejudiced')",-1.4255189,-1.373342,0.0521769
45,0.34281096,0.21148257,"('incompetent', 'competent')",0.342811,0.2114826,-0.1313284
46,-1.2901351,-1.1656483,"('uncompetitive', 'competitive')",-1.2901351,-1.1656483,0.1244868
47,5.03566,5.085387,"('stupid', 'smart')",5.0356598,5.0853872,0.0497274
48,0.24568182,0.29836848,"('unintelligent', 'intelligent')",0.2456818,0.2983685,0.0526867
49,-0.1957143,-0.0015940387,"('unable', 'able')",-0.1957143,-0.001594,0.1941203
50,0.110382855,0.053780746,"('clumsy', 'skillful')",0.1103829,0.0537807,-0.0566022
51,-0.43736437,-0.3626042,"('uneducated', 'educated')",-0.4373644,-0.3626042,0.0747602
52,-0.17187104,-0.39858732,"('irrational', 'rational')",-0.171871,-0.3985873,-0.2267163
