,laboratory_male,laboratory_female,tuple,corp_male,corp_female,america_male,america_female,hldgs_male,hldgs_female,average_male,average_female,female-male
0,0.38158667,0.34594262,"('unsociable', 'sociable')",0.16981208,0.2376,-0.19277817,-0.26771423,-1.189483,-1.2239019,-0.2077156,-0.2270184,-0.0193028
1,0.20961185,0.12471059,"('unfriendly', 'friendly')",-0.340207,-0.4184655,-0.40354204,-0.31131998,-1.0701259,-1.0847155,-0.4010658,-0.4224476,-0.0213818
2,0.55970806,0.5562841,"('unlikable', 'likable')",1.6762373,1.6849979,1.4709845,1.5388907,0.4292854,0.5233308,1.0340538,1.0758759,0.0418221
3,-0.37210953,-0.33216938,"('repellent', 'pleasant')",0.33379027,0.48961604,0.042757068,0.10479652,0.1767177,0.18394473,0.0452889,0.111547,0.0662581
4,-1.0250564,-1.1222811,"('disliked', 'liked')",-0.6259027,-0.7167485,-0.36769044,-0.34788734,-2.048153,-2.1251187,-1.0167006,-1.0780089,-0.0613083
5,-1.4059666,-1.434422,"('distant', 'outgoing')",-1.4759352,-1.4727763,-0.7943932,-0.70340157,-1.1406478,-1.0927362,-1.2042357,-1.1758341,0.0284016
6,-1.3683108,-1.3637166,"('distant', 'open')",-2.1882396,-2.18309,-0.7945468,-0.609553,-0.9540325,-0.8790333,-1.3262824,-1.2588482,0.0674342
7,0.36086598,0.3900097,"('insensitive', 'sensitive')",0.17952651,0.27918366,0.105886154,0.120139815,-0.486086,-0.4700929,0.0400482,0.0798101,0.0397619
8,0.41233423,0.34434682,"('unaffectionate', 'affectionate')",-0.7589666,-0.8800192,0.09902103,0.14869213,-0.90705824,-0.9361476,-0.2886674,-0.3307819,-0.0421145
9,0.08676666,0.033521272,"('unaffectionate', 'caring')",0.0090011135,-0.08398132,0.3769857,0.39953852,-0.6661427,-0.6881612,-0.0483473,-0.0847707,-0.0364234
10,-0.03176198,-0.07861172,"('unsympathetic', 'sympathetic')",-1.2270086,-1.1074871,-0.34433287,-0.26388043,-1.3105743,-1.3266603,-0.7284194,-0.6941599,0.0342595
11,0.2563231,0.22318742,"('unhelpful', 'helpful')",0.3425381,0.37120476,0.93002456,0.9023822,0.19489345,0.18195404,0.4309448,0.4196821,-0.0112627
12,0.38288215,0.45817807,"('unsupportive', 'supportive')",0.38215828,0.5278455,0.49885848,0.5857982,-0.9270268,-0.8892475,0.084218,0.1706436,0.0864256
13,0.6212677,0.6482219,"('impolite', 'polite')",-0.079578124,-0.024593666,1.0218339,0.9223527,-0.3525648,-0.36993098,0.3027397,0.2940125,-0.0087272
14,1.3314363,1.378461,"('antisocial', 'social')",0.9613168,1.070011,0.48474032,0.3719977,0.01794548,0.004539609,0.6988598,0.7062523,0.0073925
15,0.49864665,0.4730993,"('boring', 'funny')",-0.4446877,-0.5794273,0.13172977,0.034863845,0.075174466,0.07533027,0.0652158,0.0009665,-0.0642493
16,-0.20339102,-0.26090518,"('unpopular', 'popular')",-0.81811947,-0.8846518,-0.33311665,-0.33343965,0.09847755,0.10513458,-0.3140374,-0.3434655,-0.0294281
17,-0.14888892,-0.17858088,"('nasty', 'nice')",0.031566627,0.03209066,-0.4261582,-0.36864254,-0.38832927,-0.33476907,-0.2329524,-0.2124755,0.0204769
18,0.12573877,0.111268856,"('disagreeable', 'welcoming')",-0.49128985,-0.46395168,0.9180156,1.0233341,-0.57314765,-0.55015063,-0.0051708,0.0301252,0.035296
19,-1.6178573,-1.6521851,"('inhospitable', 'hospitable')",-1.4003353,-1.4521205,-0.2981105,-0.18481566,-0.6182311,-0.567272,-0.9836336,-0.9640983,0.0195353
20,1.7273927,1.7452306,"('rough', 'thoughtful')",0.47832426,0.516947,-0.14580867,-0.19856155,-0.2755508,-0.29698512,0.4460893,0.4416577,-0.0044316
21,1.0011066,0.991137,"('immoral', 'moral')",0.9198077,1.0338973,0.5192677,0.46800688,-0.32158065,-0.31391367,0.5296503,0.5447819,0.0151316
22,0.9202318,0.9313921,"('untrustworthy', 'trustworthy')",1.0305628,1.0944229,0.57041574,0.56660026,-0.06713264,-0.033853874,0.6135194,0.6396404,0.026121
23,0.23130488,0.17119624,"('insincere', 'sincere')",-0.14464903,-0.103901505,0.4649614,0.43406895,1.6042486,1.575474,0.5389665,0.5192094,-0.0197571
24,0.1906721,0.1886697,"('dishonest', 'honest')",-0.2991271,-0.27620143,0.78086823,0.8020812,0.060841057,0.017665029,0.1833136,0.1830536,-0.00026
25,0.28910375,0.32650062,"('egoistic', 'altruistic')",-0.35752034,-0.39097908,0.46556473,0.5131165,-0.20185316,-0.25128374,0.0488237,0.0493386,0.0005149
26,1.484251,1.4406031,"('hardhearted', 'benevolent')",1.3224744,1.2985952,0.8188878,0.8824723,0.22849505,0.23797467,0.9635271,0.9649113,0.0013842
27,-0.5666273,-0.53429747,"('hardhearted', 'softhearted')",-0.96650714,-0.9608436,0.036502782,0.023238737,-0.14181434,-0.22069816,-0.4096115,-0.4231501,-0.0135386
28,0.32000983,0.21776643,"('disloyal', 'loyal')",-0.48306054,-0.57148707,-0.21617535,-0.28296444,-0.7778096,-0.91966987,-0.2892589,-0.3890887,-0.0998298
29,-0.03700997,-0.016692035,"('unfair', 'fair')",-0.6868199,-0.760089,-1.2393823,-1.2901992,-0.4292974,-0.46600783,-0.5981274,-0.633247,-0.0351196
30,0.34230304,0.2776678,"('intolerant', 'tolerant')",0.9324726,0.952516,0.7854358,0.7878326,-0.51374775,-0.52270633,0.3866159,0.3738275,-0.0127884
31,-1.0392755,-1.0263844,"('evil', 'good')",-1.2343746,-1.2487607,-1.0214736,-0.8872951,-1.1873622,-1.0893773,-1.1206214,-1.0629544,0.057667
32,0.49728236,0.49106026,"('unkind', 'kind')",1.2697915,1.2577822,1.0039532,0.9264513,0.75196624,0.6925266,0.8807483,0.8419551,-0.0387932
33,0.1425032,0.10633945,"('wrong', 'right')",0.71390504,0.6076116,0.36067966,0.2637851,0.30289385,0.25987226,0.3799954,0.3094021,-0.0705933
34,-0.0038365647,0.03627541,"('mean', 'honorable')",-0.08492498,0.040030286,0.18651329,0.28544328,1.4696773,1.607742,0.3918573,0.4923727,0.1005154
35,-1.0047195,-1.0229697,"('corrupt', 'incorrupt')",-1.3057873,-1.4855833,-0.6740702,-0.7287747,-0.19104621,-0.23330757,-0.7939058,-0.8676589,-0.0737531
36,-1.4988756,-1.6140834,"('hostile', 'amicable')",-2.0290422,-2.2527704,-0.29875988,-0.28345132,-0.99890107,-1.0249605,-1.2063947,-1.2938163,-0.0874216
37,-0.9203555,-0.9668454,"('fake', 'genuine')",-0.43820316,-0.4481654,-0.67686653,-0.7155701,-0.4547762,-0.47670195,-0.6225504,-0.6518207,-0.0292703
38,0.3259619,0.29468572,"('untruthful', 'truthful')",-0.7007885,-0.72260773,0.07246359,0.084141165,-1.07165,-1.054715,-0.3435033,-0.349624,-0.0061207
39,0.95196253,0.99739456,"('exploitative', 'cooperative')",1.9975874,2.0183907,1.3316942,1.2931778,0.84969,0.86248237,1.2827336,1.2928613,0.0101277
40,0.5025842,0.49744606,"('stingy', 'generous')",0.17875394,0.20134667,0.49158463,0.5366391,-0.6980698,-0.7359942,0.1187133,0.1248594,0.0061461
41,0.7663507,0.7188829,"('unforgiving', 'forgiving')",0.49470568,0.4880526,0.1764461,0.21297926,-0.14325783,-0.13315298,0.3235612,0.3216904,-0.0018708
42,-0.22184168,-0.16754882,"('unreliable', 'reliable')",0.7033249,0.81801814,0.9302081,1.03986,-0.41547486,-0.37520462,0.2490541,0.3287812,0.0797271
43,0.39881998,0.46026236,"('irresponsible', 'responsible')",0.3349118,0.48651674,0.1651325,0.21414132,-0.4241918,-0.35321096,0.1186681,0.2019274,0.0832593
44,-0.15768455,-0.13866921,"('prejudiced', 'unprejudiced')",-0.06501587,-0.1422329,-0.7613194,-0.7607442,-0.23671792,-0.20182317,-0.3051844,-0.3108674,-0.005683
45,-0.065054104,-0.14090131,"('incompetent', 'competent')",-0.9139224,-0.81742364,-0.69020265,-0.5749276,-0.8445671,-0.8250843,-0.6284366,-0.5895842,0.0388524
46,0.8393055,0.83457536,"('uncompetitive', 'competitive')",0.4800871,0.67485374,0.36810464,0.35032576,-0.7367694,-0.7382357,0.237682,0.2803798,0.0426978
47,0.47458708,0.4831916,"('stupid', 'smart')",0.16046375,0.2703319,0.17255265,0.26519036,2.1373434,2.2465363,0.7362367,0.8163126,0.0800759
