,advanced_male,advanced_female,tuple,micro_male,micro_female,devices_male,devices_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.21549901,-0.24610452,"('unsociable', 'sociable')",-0.56031054,-0.64870924,-0.70113385,-0.8060869,-0.37903273,-0.5495717,-0.463994,-0.5626181,-0.0986241
1,-1.1083449,-1.2565675,"('unfriendly', 'friendly')",0.3110718,0.18230917,0.26198325,-0.063780725,1.8891225,1.7835802,0.3384582,0.1613853,-0.1770729
2,0.6105211,0.68362594,"('unlikable', 'likable')",-0.06533532,0.03762629,-0.22486362,-0.22160566,0.6017428,0.67957944,0.2305162,0.2948065,0.0642903
3,-0.5496684,-0.44369617,"('repellent', 'pleasant')",-1.3981717,-1.2400597,-1.0727397,-0.9974945,0.19709085,0.2433252,-0.7058722,-0.6094813,0.0963909
4,-0.21786045,-0.32471168,"('disliked', 'liked')",0.06345061,0.044144172,0.79844755,0.64295787,-5.380674,-5.657511,-1.184159,-1.3237802,-0.1396212
5,-1.0442642,-1.0247982,"('distant', 'outgoing')",-0.019319315,0.0215674,-0.32134616,-0.39241314,0.01178395,-0.0072505046,-0.3432864,-0.3507236,-0.0074372
6,-1.3792078,-1.3203459,"('distant', 'open')",-0.53727895,-0.48829252,-0.28420657,-0.34772047,0.4464311,0.4562991,-0.4385656,-0.4250149,0.0135507
7,0.5908735,0.6706488,"('insensitive', 'sensitive')",-0.20819862,-0.21208824,-0.44801512,-0.44671446,0.14065862,0.20167473,0.0188296,0.0533802,0.0345506
8,0.43404076,0.3909432,"('unaffectionate', 'affectionate')",0.8152836,0.7896315,0.47701544,0.41340783,0.62143517,0.6221383,0.5869437,0.5540302,-0.0329135
9,0.23717217,0.2673046,"('unaffectionate', 'caring')",0.663496,0.6224624,0.065868646,-0.045978673,1.1616807,1.1946602,0.5320544,0.5096121,-0.0224423
10,0.024642263,0.15594892,"('unsympathetic', 'sympathetic')",-1.8055979,-1.7337686,-1.2663215,-1.2448105,-0.6611842,-0.63793427,-0.9271153,-0.8651411,0.0619742
11,0.47337165,0.604102,"('unhelpful', 'helpful')",0.585703,0.5790791,0.058537457,0.113882065,1.6961188,1.7812213,0.7034327,0.7695711,0.0661384
12,1.5384374,1.7542384,"('unsupportive', 'supportive')",0.12871411,0.36885646,-0.20117027,-0.07407668,-1.7842871,-1.79641,-0.0795765,0.063152,0.1427285
13,-0.23430865,-0.2164371,"('impolite', 'polite')",0.032282986,-0.017574886,-0.4245017,-0.4091266,-0.42294738,-0.464223,-0.2623687,-0.2768404,-0.0144717
14,0.5678836,0.6739213,"('antisocial', 'social')",0.30241853,0.38293862,0.15576786,0.18071868,-0.5413028,-0.5585781,0.1211918,0.1697501,0.0485583
