,sculpting_male,sculpting_female,tuple,average_male,average_female,female-male
0,-1.5443237,-1.6630348,"('unsociable', 'sociable')",-1.5443237,-1.6630348,-0.1187111
1,-0.22624004,-0.23697263,"('unfriendly', 'friendly')",-0.22624,-0.2369726,-0.0107326
2,0.76524824,0.8348971,"('unlikable', 'likable')",0.7652482,0.8348971,0.0696489
3,-0.71697897,-0.6283774,"('repellent', 'pleasant')",-0.716979,-0.6283774,0.0886016
4,-1.1540062,-1.0958409,"('disliked', 'liked')",-1.1540062,-1.0958409,0.0581653
5,0.27499413,0.46333855,"('distant', 'outgoing')",0.2749941,0.4633386,0.1883445
6,-0.22584647,-0.05024495,"('distant', 'open')",-0.2258465,-0.0502449,0.1756016
7,-0.80123913,-0.8198847,"('insensitive', 'sensitive')",-0.8012391,-0.8198847,-0.0186456
8,-0.84755194,-0.86982816,"('unaffectionate', 'affectionate')",-0.8475519,-0.8698282,-0.0222763
9,-0.62993133,-0.62075263,"('unaffectionate', 'caring')",-0.6299313,-0.6207526,0.0091787
10,-2.0949693,-2.1767814,"('unsympathetic', 'sympathetic')",-2.0949693,-2.1767814,-0.0818121
11,-0.40757886,-0.46991163,"('unhelpful', 'helpful')",-0.4075789,-0.4699116,-0.0623327
12,-1.7375726,-1.7237936,"('unsupportive', 'supportive')",-1.7375726,-1.7237936,0.013779
13,-1.1488367,-1.2572854,"('impolite', 'polite')",-1.1488367,-1.2572854,-0.1084487
14,-1.0241363,-1.153866,"('antisocial', 'social')",-1.0241363,-1.1538661,-0.1297298
15,0.5809105,0.5433146,"('boring', 'funny')",0.5809105,0.5433146,-0.0375959
16,0.2784038,0.37146324,"('unpopular', 'popular')",0.2784038,0.3714632,0.0930594
17,-0.21822031,-0.13628061,"('nasty', 'nice')",-0.2182203,-0.1362806,0.0819397
18,-0.5958543,-0.6036316,"('disagreeable', 'welcoming')",-0.5958543,-0.6036316,-0.0077773
19,-0.5529499,-0.41705388,"('inhospitable', 'hospitable')",-0.5529499,-0.4170539,0.135896
20,0.31299523,0.28148377,"('rough', 'thoughtful')",0.3129952,0.2814838,-0.0315114
21,-0.31381947,-0.32002446,"('immoral', 'moral')",-0.3138195,-0.3200245,-0.006205
22,-0.92700654,-0.98223174,"('untrustworthy', 'trustworthy')",-0.9270065,-0.9822317,-0.0552252
23,1.14396,1.0666527,"('insincere', 'sincere')",1.14396,1.0666527,-0.0773073
24,-0.96224844,-1.0166359,"('dishonest', 'honest')",-0.9622484,-1.0166359,-0.0543875
25,0.46700838,0.50564694,"('egoistic', 'altruistic')",0.4670084,0.5056469,0.0386385
26,0.085577056,-0.087284945,"('hardhearted', 'benevolent')",0.0855771,-0.0872849,-0.172862
27,-0.7361704,-0.75578874,"('hardhearted', 'softhearted')",-0.7361704,-0.7557887,-0.0196183
28,-0.6261768,-0.7579654,"('disloyal', 'loyal')",-0.6261768,-0.7579654,-0.1317886
29,-0.16315743,-0.14830025,"('unfair', 'fair')",-0.1631574,-0.1483002,0.0148572
30,-1.3249156,-1.3928531,"('intolerant', 'tolerant')",-1.3249156,-1.3928531,-0.0679375
