,statue_male,statue_female,tuple,average_male,average_female,female-male
0,0.5028844,0.3072539,"('unsociable', 'sociable')",0.5028844,0.3072539,-0.1956305
1,1.1021951,1.1645175,"('unfriendly', 'friendly')",1.1021951,1.1645175,0.0623224
2,0.08274683,0.046071533,"('unlikable', 'likable')",0.0827468,0.0460715,-0.0366753
3,0.8796864,0.971607,"('repellent', 'pleasant')",0.8796864,0.971607,0.0919206
4,-6.771635,-6.940398,"('disliked', 'liked')",-6.7716351,-6.9403982,-0.1687631
5,-1.0970747,-0.95054567,"('distant', 'outgoing')",-1.0970747,-0.9505457,0.146529
6,-1.2920007,-1.0363382,"('distant', 'open')",-1.2920007,-1.0363382,0.2556625
7,1.7178776,1.671793,"('insensitive', 'sensitive')",1.7178776,1.671793,-0.0460846
8,0.7746827,0.8226643,"('unaffectionate', 'affectionate')",0.7746827,0.8226643,0.0479816
9,1.6434107,1.885193,"('unaffectionate', 'caring')",1.6434107,1.885193,0.2417823
10,1.3822174,1.3536305,"('unsympathetic', 'sympathetic')",1.3822174,1.3536305,-0.0285869
11,2.362352,2.4302933,"('unhelpful', 'helpful')",2.3623519,2.4302933,0.0679414
12,-0.6992796,-0.6861197,"('unsupportive', 'supportive')",-0.6992796,-0.6861197,0.0131599
13,0.547098,0.318932,"('impolite', 'polite')",0.547098,0.318932,-0.228166
14,0.779446,0.50541127,"('antisocial', 'social')",0.779446,0.5054113,-0.2740347
15,0.75159574,0.44998986,"('boring', 'funny')",0.7515957,0.4499899,-0.3016058
16,-0.27757537,-0.3260078,"('unpopular', 'popular')",-0.2775754,-0.3260078,-0.0484324
17,0.26456395,0.28182882,"('nasty', 'nice')",0.2645639,0.2818288,0.0172649
18,-0.51628613,-0.46030447,"('disagreeable', 'welcoming')",-0.5162861,-0.4603045,0.0559816
19,-0.57169867,-0.51783276,"('inhospitable', 'hospitable')",-0.5716987,-0.5178328,0.0538659
20,0.26956308,0.31343755,"('rough', 'thoughtful')",0.2695631,0.3134376,0.0438745
21,0.6862893,0.61423165,"('immoral', 'moral')",0.6862893,0.6142316,-0.0720577
22,-0.41551656,-0.441198,"('untrustworthy', 'trustworthy')",-0.4155166,-0.441198,-0.0256814
23,6.8003,6.8762407,"('insincere', 'sincere')",6.8003001,6.8762407,0.0759406
24,1.8731545,1.9275497,"('dishonest', 'honest')",1.8731545,1.9275497,0.0543952
25,0.3324967,0.33233616,"('egoistic', 'altruistic')",0.3324967,0.3323362,-0.0001605
26,0.9333148,0.53569263,"('hardhearted', 'benevolent')",0.9333148,0.5356926,-0.3976222
27,1.0561663,1.154796,"('hardhearted', 'softhearted')",1.0561663,1.154796,0.0986297
28,1.3993908,1.332468,"('disloyal', 'loyal')",1.3993908,1.332468,-0.0669228
29,-1.109537,-1.1002593,"('unfair', 'fair')",-1.109537,-1.1002593,0.0092777
30,1.5367434,1.4225507,"('intolerant', 'tolerant')",1.5367434,1.4225507,-0.1141927
31,-2.02795,-1.9413189,"('evil', 'good')",-2.02795,-1.9413189,0.0866311
32,1.8355004,1.4950509,"('unkind', 'kind')",1.8355004,1.4950509,-0.3404495
33,-0.012809139,0.035502266,"('wrong', 'right')",-0.0128091,0.0355023,0.0483114
34,4.4507227,4.794941,"('mean', 'honorable')",4.4507227,4.7949409,0.3442182
35,-1.3023738,-1.4103476,"('corrupt', 'incorrupt')",-1.3023738,-1.4103476,-0.1079738
36,-1.706345,-1.621171,"('hostile', 'amicable')",-1.706345,-1.621171,0.085174
