,academics_male,academics_female,tuple,average_male,average_female,female-male
0,-0.007868083,0.005813686,"('unsociable', 'sociable')",-0.0078681,0.0058137,0.0136818
1,0.8742632,0.7109474,"('unfriendly', 'friendly')",0.8742632,0.7109474,-0.1633158
2,0.042991176,0.18964626,"('unlikable', 'likable')",0.0429912,0.1896463,0.1466551
3,1.061758,1.1019511,"('repellent', 'pleasant')",1.061758,1.1019511,0.0401931
4,-7.253219,-7.397638,"('disliked', 'liked')",-7.2532191,-7.3976378,-0.1444187
5,-0.42276758,-0.52229774,"('distant', 'outgoing')",-0.4227676,-0.5222977,-0.0995301
6,0.049304396,-0.11785246,"('distant', 'open')",0.0493044,-0.1178525,-0.1671569
7,1.0063839,1.0425372,"('insensitive', 'sensitive')",1.0063839,1.0425372,0.0361533
8,0.9546405,0.79273134,"('unaffectionate', 'affectionate')",0.9546405,0.7927313,-0.1619092
9,1.3572247,1.3219767,"('unaffectionate', 'caring')",1.3572247,1.3219767,-0.035248
10,1.1540809,1.2502512,"('unsympathetic', 'sympathetic')",1.1540809,1.2502512,0.0961703
11,1.7189398,1.7711567,"('unhelpful', 'helpful')",1.7189398,1.7711567,0.0522169
12,-1.5462309,-1.5586706,"('unsupportive', 'supportive')",-1.5462309,-1.5586706,-0.0124397
13,0.008892201,0.091732785,"('impolite', 'polite')",0.0088922,0.0917328,0.0828406
14,0.26597545,0.25390372,"('antisocial', 'social')",0.2659754,0.2539037,-0.0120717
15,0.02933743,-0.06702469,"('boring', 'funny')",0.0293374,-0.0670247,-0.0963621
16,-0.47550145,-0.47865534,"('unpopular', 'popular')",-0.4755014,-0.4786553,-0.0031539
17,-0.34231666,-0.24967393,"('nasty', 'nice')",-0.3423167,-0.2496739,0.0926428
18,-0.3137594,-0.3518118,"('disagreeable', 'welcoming')",-0.3137594,-0.3518118,-0.0380524
19,-0.95278156,-0.97340083,"('inhospitable', 'hospitable')",-0.9527816,-0.9734008,-0.0206192
20,1.0165997,0.90773106,"('rough', 'thoughtful')",1.0165997,0.9077311,-0.1088686
21,-0.0077813715,0.158207,"('immoral', 'moral')",-0.0077814,0.158207,0.1659884
