,comerica_male,comerica_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.23851033,-0.2906403,"('unsociable', 'sociable')",-0.43969315,-0.5249552,-0.3391017,-0.4077978,-0.0686961
1,-0.8305945,-0.86680245,"('unfriendly', 'friendly')",1.9148617,1.851721,0.5421336,0.4924593,-0.0496743
2,0.70276207,0.69694597,"('unlikable', 'likable')",0.6671443,0.7014245,0.6849532,0.6991853,0.0142321
3,-0.12629464,-0.015157925,"('repellent', 'pleasant')",0.053687185,0.08826253,-0.0363037,0.0365523,0.072856
4,-0.29255965,-0.338598,"('disliked', 'liked')",-6.246019,-6.2916527,-3.2692893,-3.3151255,-0.0458362
5,-1.0813823,-1.1007866,"('distant', 'outgoing')",-0.005166989,-0.0163595,-0.5432746,-0.558573,-0.0152984
6,-1.6413748,-1.6116776,"('distant', 'open')",0.28712815,0.2383863,-0.6771233,-0.6866457,-0.0095224
7,-0.376498,-0.21953407,"('insensitive', 'sensitive')",0.4022918,0.53490764,0.0128969,0.1576868,0.1447899
8,-0.6814194,-0.7346751,"('unaffectionate', 'affectionate')",0.89599603,0.83383006,0.1072883,0.0495775,-0.0577108
9,-0.75746953,-0.7644105,"('unaffectionate', 'caring')",1.0904166,1.0895019,0.1664735,0.1625457,-0.0039278
10,-0.5878595,-0.50448513,"('unsympathetic', 'sympathetic')",-0.54843324,-0.5147422,-0.5681463,-0.5096136,0.0585327
11,0.6439998,0.7281461,"('unhelpful', 'helpful')",1.5332799,1.6393679,1.0886399,1.1837571,0.0951172
12,0.08663422,0.22063619,"('unsupportive', 'supportive')",-1.8548474,-1.7843715,-0.8841066,-0.7818676,0.102239
13,0.30206007,0.24718006,"('impolite', 'polite')",-0.7898437,-0.7828642,-0.2438918,-0.2678421,-0.0239503
14,0.8440719,0.8624894,"('antisocial', 'social')",-0.37694335,-0.38442,0.2335643,0.2390347,0.0054704
15,0.2132847,0.06757049,"('boring', 'funny')",0.5725066,0.5321267,0.3928956,0.2998486,-0.093047
16,-1.0809728,-1.0756966,"('unpopular', 'popular')",0.39038235,0.4017815,-0.3452952,-0.3369575,0.0083377
17,-0.0860068,-0.07438846,"('nasty', 'nice')",-0.15506108,-0.11639417,-0.1205339,-0.0953913,0.0251426
18,-0.025268573,0.01389426,"('disagreeable', 'welcoming')",-0.2389351,-0.28686416,-0.1321018,-0.136485,-0.0043832
19,-0.6517273,-0.63052344,"('inhospitable', 'hospitable')",0.0810864,0.11637393,-0.2853205,-0.2570748,0.0282457
20,-0.08475529,-0.06467555,"('rough', 'thoughtful')",1.3127496,1.3174818,0.6139972,0.6264031,0.0124059
21,0.5848092,0.5178364,"('immoral', 'moral')",-0.30250788,-0.22208013,0.1411507,0.1478781,0.0067274
22,-0.07186727,-0.059339534,"('untrustworthy', 'trustworthy')",-0.81548494,-0.8502511,-0.4436761,-0.4547953,-0.0111192
23,-0.24727087,-0.2186074,"('insincere', 'sincere')",5.461573,5.4424686,2.607151,2.6119306,0.0047796
24,0.23577195,0.17207325,"('dishonest', 'honest')",0.80951524,0.75794184,0.5226436,0.4650075,-0.0576361
25,0.21745227,0.12887222,"('egoistic', 'altruistic')",1.7218835,1.7063222,0.9696679,0.9175972,-0.0520707
26,0.10215909,0.0652467,"('hardhearted', 'benevolent')",2.0068521,1.9800605,1.0545056,1.0226536,-0.031852
27,-0.26452044,-0.21744244,"('hardhearted', 'softhearted')",1.6108104,1.5510409,0.673145,0.6667992,-0.0063458
28,-0.4237758,-0.49602535,"('disloyal', 'loyal')",0.9208157,0.84093064,0.24852,0.1724526,-0.0760674
29,-0.37742025,-0.40718305,"('unfair', 'fair')",-0.21695025,-0.3561862,-0.2971852,-0.3816846,-0.0844994
30,1.1497637,1.1018403,"('intolerant', 'tolerant')",1.4126391,1.3615679,1.2812014,1.231704,-0.0494974
