,heyday_male,heyday_female,tuple,average_male,average_female,female-male
0,1.0532249,0.86492264,"('unsociable', 'sociable')",1.0532249,0.8649226,-0.1883023
1,-0.6322345,-0.67525476,"('unfriendly', 'friendly')",-0.6322345,-0.6752548,-0.0430203
2,-0.22959062,-0.111098126,"('unlikable', 'likable')",-0.2295906,-0.1110981,0.1184925
3,-0.2037247,-0.15753534,"('repellent', 'pleasant')",-0.2037247,-0.1575353,0.0461894
4,-3.2823548,-3.3636317,"('disliked', 'liked')",-3.2823548,-3.3636317,-0.0812769
5,-1.4147974,-1.4065741,"('distant', 'outgoing')",-1.4147974,-1.4065741,0.0082233
6,-1.297527,-1.3536379,"('distant', 'open')",-1.297527,-1.3536379,-0.0561109
7,0.9200478,0.91070586,"('insensitive', 'sensitive')",0.9200478,0.9107059,-0.0093419
8,-0.50522196,-0.5579055,"('unaffectionate', 'affectionate')",-0.505222,-0.5579055,-0.0526835
9,-0.20911536,-0.17823866,"('unaffectionate', 'caring')",-0.2091154,-0.1782387,0.0308767
10,0.7555465,0.59443223,"('unsympathetic', 'sympathetic')",0.7555465,0.5944322,-0.1611143
11,1.5521053,1.6140192,"('unhelpful', 'helpful')",1.5521053,1.6140192,0.0619139
12,-0.7652992,-0.7016179,"('unsupportive', 'supportive')",-0.7652992,-0.7016179,0.0636813
13,0.3023047,0.31398126,"('impolite', 'polite')",0.3023047,0.3139813,0.0116766
14,0.5978234,0.62641376,"('antisocial', 'social')",0.5978234,0.6264138,0.0285904
15,-0.46629488,-0.47362635,"('boring', 'funny')",-0.4662949,-0.4736263,-0.0073314
16,-0.64883184,-0.6229272,"('unpopular', 'popular')",-0.6488318,-0.6229272,0.0259046
17,-0.6852322,-0.77855873,"('nasty', 'nice')",-0.6852322,-0.7785587,-0.0933265
18,-0.7850773,-0.6924083,"('disagreeable', 'welcoming')",-0.7850773,-0.6924083,0.092669
19,-1.2065914,-1.1970757,"('inhospitable', 'hospitable')",-1.2065914,-1.1970757,0.0095157
20,0.27033126,0.20298849,"('rough', 'thoughtful')",0.2703313,0.2029885,-0.0673428
21,0.36338833,0.44852868,"('immoral', 'moral')",0.3633883,0.4485287,0.0851404
22,1.0147467,0.94601655,"('untrustworthy', 'trustworthy')",1.0147467,0.9460166,-0.0687301
23,3.0275095,3.1468925,"('insincere', 'sincere')",3.0275095,3.1468925,0.119383
24,0.9878753,1.0074668,"('dishonest', 'honest')",0.9878753,1.0074668,0.0195915
25,-0.76800936,-0.8042527,"('egoistic', 'altruistic')",-0.7680094,-0.8042527,-0.0362433
26,0.018699713,-0.118215404,"('hardhearted', 'benevolent')",0.0186997,-0.1182154,-0.1369151
27,-0.051561628,-0.15305719,"('hardhearted', 'softhearted')",-0.0515616,-0.1530572,-0.1014956
28,0.07142926,-0.061916314,"('disloyal', 'loyal')",0.0714293,-0.0619163,-0.1333456
29,-0.06876205,-0.17025697,"('unfair', 'fair')",-0.068762,-0.170257,-0.101495
30,0.6723726,0.6832559,"('intolerant', 'tolerant')",0.6723726,0.6832559,0.0108833
31,-2.025391,-2.1084878,"('evil', 'good')",-2.0253911,-2.1084878,-0.0830967
32,1.1433975,1.1257111,"('unkind', 'kind')",1.1433975,1.1257111,-0.0176864
33,-0.5034276,-0.45744362,"('wrong', 'right')",-0.5034276,-0.4574436,0.045984
34,1.860605,2.1135442,"('mean', 'honorable')",1.860605,2.1135442,0.2529392
35,-0.9144704,-1.1494175,"('corrupt', 'incorrupt')",-0.9144704,-1.1494175,-0.2349471
36,-1.5243195,-1.7734413,"('hostile', 'amicable')",-1.5243195,-1.7734413,-0.2491218
37,0.5049146,0.43185842,"('fake', 'genuine')",0.5049146,0.4318584,-0.0730562
38,0.0939965,0.1351946,"('untruthful', 'truthful')",0.0939965,0.1351946,0.0411981
39,-0.3335943,-0.19971506,"('exploitative', 'cooperative')",-0.3335943,-0.1997151,0.1338792
40,-1.7905215,-1.8529832,"('stingy', 'generous')",-1.7905215,-1.8529832,-0.0624617
41,0.5312419,0.30894673,"('unforgiving', 'forgiving')",0.5312419,0.3089467,-0.2222952
42,-1.2149274,-1.2197243,"('unreliable', 'reliable')",-1.2149274,-1.2197243,-0.0047969
43,0.8220564,0.91347265,"('irresponsible', 'responsible')",0.8220564,0.9134727,0.0914163
44,-0.5170331,-0.46851316,"('prejudiced', 'unprejudiced')",-0.5170331,-0.4685132,0.0485199
45,0.25187534,0.12420578,"('incompetent', 'competent')",0.2518753,0.1242058,-0.1276695
46,0.6560179,0.5320978,"('uncompetitive', 'competitive')",0.6560179,0.5320978,-0.1239201
47,2.8759243,3.0235934,"('stupid', 'smart')",2.8759243,3.0235934,0.1476691
48,-0.25378862,-0.22181554,"('unintelligent', 'intelligent')",-0.2537886,-0.2218155,0.0319731
49,-0.4634302,-0.33160532,"('unable', 'able')",-0.4634302,-0.3316053,0.1318249
50,-0.6323695,-0.73635274,"('clumsy', 'skillful')",-0.6323695,-0.7363527,-0.1039832
51,0.7632839,0.7249664,"('uneducated', 'educated')",0.7632839,0.7249664,-0.0383175
52,-1.398257,-1.4260324,"('irrational', 'rational')",-1.398257,-1.4260324,-0.0277754
53,-0.974512,-1.1160586,"('uncreative', 'creative')",-0.974512,-1.1160586,-0.1415466
54,-0.5118735,-0.41216186,"('incapable', 'capable')",-0.5118735,-0.4121619,0.0997116
55,0.657927,0.7933978,"('incompetent', 'clever')",0.657927,0.7933978,0.1354708
56,0.9271797,0.99207556,"('impractical', 'practical')",0.9271797,0.9920756,0.0648959
57,-1.8701447,-2.1512964,"('unimaginative', 'imaginative')",-1.8701447,-2.1512964,-0.2811517
58,-0.7111345,-0.8375387,"('undiscriminating', 'discriminating')",-0.7111345,-0.8375387,-0.1264042
59,-0.4146531,-0.3789985,"('foolish', 'wise')",-0.4146531,-0.3789985,0.0356546
60,0.029371087,0.27834976,"('inefficient', 'efficient')",0.0293711,0.2783498,0.2489787
61,-0.013480676,-0.08741639,"('illogical', 'logical')",-0.0134807,-0.0874164,-0.0739357
62,0.3086065,0.5718219,"('incompetent', 'brilliant')",0.3086065,0.5718219,0.2632154
63,0.73541456,0.69220155,"('unperceptive', 'insightful')",0.7354146,0.6922016,-0.043213
64,-2.231592,-2.2024488,"('shy', 'confident')",-2.2315919,-2.2024488,0.0291431
65,0.59533834,0.57034916,"('insecure', 'secure')",0.5953383,0.5703492,-0.0249891
66,-0.43502134,-0.6586871,"('inactive', 'active')",-0.4350213,-0.6586871,-0.2236658
67,0.2037958,0.202135,"('doubtful', 'determined')",0.2037958,0.202135,-0.0016608
68,0.1894495,0.16471916,"('dependent', 'independent')",0.1894495,0.1647192,-0.0247303
69,-1.4377396,-1.4545889,"('lazy', 'industrious')",-1.4377396,-1.4545889,-0.0168493
70,0.9376184,0.9170377,"('lethargic', 'energetic')",0.9376184,0.9170377,-0.0205807
71,-1.0229051,-1.0034842,"('diffident', 'self-confident')",-1.0229051,-1.0034842,0.0194209
72,0.13423221,0.17572384,"('unambitious', 'ambitious')",0.1342322,0.1757238,0.0414916
73,-2.4248822,-2.2608657,"('helpless', 'self-reliant')",-2.4248822,-2.2608657,0.1640165
74,-0.36359122,-0.2683085,"('undedicated', 'dedicated')",-0.3635912,-0.2683085,0.0952827
75,0.011079431,-0.04751472,"('meek', 'impulsive')",0.0110794,-0.0475147,-0.0585941
76,0.9297381,0.83449876,"('anxious', 'daring')",0.9297381,0.8344988,-0.0952393
77,-0.4928195,-0.49494478,"('unmotivated', 'motivated')",-0.4928195,-0.4949448,-0.0021253
78,-0.113162294,-0.2045139,"('nonresilient', 'resilient')",-0.1131623,-0.2045139,-0.0913516
79,-0.96172684,-1.2500417,"('wavering', 'unwavering')",-0.9617268,-1.2500417,-0.2883149
80,1.8514098,1.8313909,"('dominated', 'dominating')",1.8514098,1.8313909,-0.0200189
