,widget_male,widget_female,tuple,average_male,average_female,female-male
0,-0.092349775,-0.21141477,"('unsociable', 'sociable')",-0.0923498,-0.2114148,-0.119065
1,0.7403461,0.6667272,"('unfriendly', 'friendly')",0.7403461,0.6667272,-0.0736189
2,-0.8587399,-0.8108418,"('unlikable', 'likable')",-0.8587399,-0.8108418,0.0478981
3,-0.548048,-0.4652822,"('repellent', 'pleasant')",-0.548048,-0.4652822,0.0827658
4,-2.9605463,-2.9935942,"('disliked', 'liked')",-2.9605463,-2.9935942,-0.0330479
5,0.6564111,0.6200873,"('distant', 'outgoing')",0.6564111,0.6200873,-0.0363238
6,0.5624817,0.5158429,"('distant', 'open')",0.5624817,0.5158429,-0.0466388
7,-0.3819573,-0.3301922,"('insensitive', 'sensitive')",-0.3819573,-0.3301922,0.0517651
8,-0.9081317,-0.97281253,"('unaffectionate', 'affectionate')",-0.9081317,-0.9728125,-0.0646808
9,-0.25278515,-0.356725,"('unaffectionate', 'caring')",-0.2527851,-0.356725,-0.1039399
10,-0.9379688,-0.8998039,"('unsympathetic', 'sympathetic')",-0.9379688,-0.8998039,0.0381649
11,0.7084951,0.7412111,"('unhelpful', 'helpful')",0.7084951,0.7412111,0.032716
12,-1.0903988,-1.0641282,"('unsupportive', 'supportive')",-1.0903988,-1.0641282,0.0262706
13,-0.6879634,-0.7778146,"('impolite', 'polite')",-0.6879634,-0.7778146,-0.0898512
14,-0.43429235,-0.4197164,"('antisocial', 'social')",-0.4342923,-0.4197164,0.0145759
15,0.48844537,0.44585463,"('boring', 'funny')",0.4884454,0.4458546,-0.0425908
16,0.23057266,0.25482637,"('unpopular', 'popular')",0.2305727,0.2548264,0.0242537
17,-0.028904527,-0.022887878,"('nasty', 'nice')",-0.0289045,-0.0228879,0.0060166
18,-0.40928447,-0.44066,"('disagreeable', 'welcoming')",-0.4092845,-0.44066,-0.0313755
19,-0.28580168,-0.28350478,"('inhospitable', 'hospitable')",-0.2858017,-0.2835048,0.0022969
20,0.6926047,0.6933929,"('rough', 'thoughtful')",0.6926047,0.6933929,0.0007882
21,-0.75031847,-0.7415491,"('immoral', 'moral')",-0.7503185,-0.7415491,0.0087694
22,-0.67741257,-0.6974442,"('untrustworthy', 'trustworthy')",-0.6774126,-0.6974442,-0.0200316
23,2.2979233,2.3483336,"('insincere', 'sincere')",2.2979233,2.3483336,0.0504103
24,-0.46025497,-0.5251229,"('dishonest', 'honest')",-0.460255,-0.5251229,-0.0648679
25,0.50617623,0.44615194,"('egoistic', 'altruistic')",0.5061762,0.4461519,-0.0600243
26,0.61473876,0.5196372,"('hardhearted', 'benevolent')",0.6147388,0.5196372,-0.0951016
27,1.2357299,1.0950506,"('hardhearted', 'softhearted')",1.2357299,1.0950506,-0.1406793
28,-0.022067145,-0.11594428,"('disloyal', 'loyal')",-0.0220671,-0.1159443,-0.0938772
29,-0.31752205,-0.4207892,"('unfair', 'fair')",-0.317522,-0.4207892,-0.1032672
30,0.78932446,0.74426055,"('intolerant', 'tolerant')",0.7893245,0.7442605,-0.045064
31,-0.6449453,-0.57693267,"('evil', 'good')",-0.6449453,-0.5769327,0.0680126
32,0.049300417,-0.021084018,"('unkind', 'kind')",0.0493004,-0.021084,-0.0703844
33,0.14022273,0.02389402,"('wrong', 'right')",0.1402227,0.023894,-0.1163287
34,2.3849816,2.5661428,"('mean', 'honorable')",2.3849816,2.5661428,0.1811612
35,-0.027151432,-0.056359533,"('corrupt', 'incorrupt')",-0.0271514,-0.0563595,-0.0292081
36,-0.669894,-0.6436497,"('hostile', 'amicable')",-0.669894,-0.6436497,0.0262443
37,-1.0606833,-1.0101151,"('fake', 'genuine')",-1.0606833,-1.0101151,0.0505682
38,-0.4563252,-0.4360367,"('untruthful', 'truthful')",-0.4563252,-0.4360367,0.0202885
39,0.68539083,0.64356077,"('exploitative', 'cooperative')",0.6853908,0.6435608,-0.04183
40,-1.0440719,-1.0853552,"('stingy', 'generous')",-1.0440719,-1.0853552,-0.0412833
41,-0.30196986,-0.33216694,"('unforgiving', 'forgiving')",-0.3019699,-0.3321669,-0.030197
42,-2.294939,-2.238563,"('unreliable', 'reliable')",-2.294939,-2.2385631,0.0563759
43,-0.27562305,-0.26798314,"('irresponsible', 'responsible')",-0.2756231,-0.2679831,0.00764
