,convergys_male,convergys_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.0204315,-1.1113219,"('unsociable', 'sociable')",-0.03491038,-0.043982007,-0.527671,-0.577652,-0.049981
1,-2.6076162,-2.7185097,"('unfriendly', 'friendly')",1.3401786,1.11479,-0.6337188,-0.8018599,-0.1681411
2,0.39838353,0.33829638,"('unlikable', 'likable')",0.7015585,0.6710764,0.549971,0.5046864,-0.0452846
3,-0.044034716,0.019008707,"('repellent', 'pleasant')",0.8460995,0.89607066,0.4010324,0.4575397,0.0565073
4,-0.26165202,-0.23687421,"('disliked', 'liked')",-7.297063,-7.3512073,-3.7793574,-3.7940407,-0.0146833
5,-0.9899694,-0.9662293,"('distant', 'outgoing')",-0.65401256,-0.7465767,-0.821991,-0.856403,-0.034412
6,-1.5778121,-1.5600492,"('distant', 'open')",-0.44567034,-0.5792801,-1.0117412,-1.0696646,-0.0579234
7,-0.37832922,-0.23779991,"('insensitive', 'sensitive')",0.43679714,0.54963076,0.029234,0.1559154,0.1266814
8,-2.2155905,-2.254888,"('unaffectionate', 'affectionate')",0.63905036,0.50308496,-0.7882701,-0.8759016,-0.0876315
9,-2.2404845,-2.2307844,"('unaffectionate', 'caring')",1.1272458,1.1158683,-0.5566193,-0.557458,-0.0008387
10,-1.1652076,-1.1909101,"('unsympathetic', 'sympathetic')",-0.074006826,0.022802839,-0.6196072,-0.5840536,0.0355536
11,0.38022923,0.34274668,"('unhelpful', 'helpful')",1.8928305,1.974393,1.1365299,1.1585698,0.0220399
12,-0.7419513,-0.5787609,"('unsupportive', 'supportive')",-2.2771847,-2.1976435,-1.509568,-1.3882022,0.1213658
13,-0.19268678,-0.24948542,"('impolite', 'polite')",-0.5485851,-0.39817768,-0.370636,-0.3238316,0.0468044
14,0.6880477,0.7365656,"('antisocial', 'social')",0.16711849,0.20980108,0.4275831,0.4731833,0.0456002
15,-0.09364736,-0.1816408,"('boring', 'funny')",0.07109541,0.057876848,-0.011276,-0.061882,-0.050606
16,-0.44711998,-0.4784192,"('unpopular', 'popular')",0.2858016,0.26598093,-0.0806592,-0.1062191,-0.0255599
17,-0.17122343,-0.07871314,"('nasty', 'nice')",-0.40671882,-0.37921843,-0.2889711,-0.2289658,0.0600053
18,-0.48850322,-0.45002216,"('disagreeable', 'welcoming')",-0.4423543,-0.51724523,-0.4654288,-0.4836337,-0.0182049
19,-1.2275085,-1.2325772,"('inhospitable', 'hospitable')",-0.71973467,-0.775693,-0.9736216,-1.0041351,-0.0305135
20,0.6162147,0.6916759,"('rough', 'thoughtful')",0.8581207,0.8525458,0.7371677,0.7721108,0.0349431
21,0.37684754,0.29607278,"('immoral', 'moral')",-0.47634843,-0.3584117,-0.0497504,-0.0311695,0.0185809
22,0.17509209,0.24868949,"('untrustworthy', 'trustworthy')",-0.843415,-0.7490094,-0.3341615,-0.2501599,0.0840016
23,-0.6296751,-0.6674201,"('insincere', 'sincere')",6.0505996,6.1333117,2.7104623,2.7329459,0.0224836
24,-0.861202,-0.9190368,"('dishonest', 'honest')",0.8951056,0.96012557,0.0169518,0.0205444,0.0035926
25,-0.5229598,-0.53326744,"('egoistic', 'altruistic')",1.18611,0.9826919,0.3315751,0.2247122,-0.1068629
26,-0.5714071,-0.6436648,"('hardhearted', 'benevolent')",1.6979793,1.5322509,0.5632861,0.4442931,-0.118993
27,-0.9404588,-0.7949435,"('hardhearted', 'softhearted')",1.1853245,1.1461915,0.1224329,0.175624,0.0531911
28,-1.3056217,-1.390373,"('disloyal', 'loyal')",1.1410627,1.0592417,-0.0822795,-0.1655657,-0.0832862
29,-0.29990894,-0.2523635,"('unfair', 'fair')",-0.6766768,-0.7933489,-0.4882929,-0.5228562,-0.0345633
