,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.28539774,-0.39706331,"('unsociable', 'sociable')",-0.10106444,-0.28276724,-0.1932311,-0.3399153,-0.1466842
1,-1.2814738,-1.5496716,"('unfriendly', 'friendly')",1.2102954,1.0488812,-0.0355892,-0.2503952,-0.214806
2,0.46597767,0.48475656,"('unlikable', 'likable')",0.50538284,0.5386834,0.4856803,0.51172,0.0260397
3,-0.35676253,-0.28667355,"('repellent', 'pleasant')",1.0240927,0.9375994,0.3336651,0.3254629,-0.0082022
4,0.07842978,-0.037544306,"('disliked', 'liked')",-7.3525095,-7.4789453,-3.6370399,-3.7582448,-0.1212049
5,-0.5593292,-0.6821619,"('distant', 'outgoing')",-0.7160845,-0.6180833,-0.6377069,-0.6501226,-0.0124157
6,-0.8728457,-0.9537175,"('distant', 'open')",-0.5385578,-0.48262525,-0.7057018,-0.7181714,-0.0124696
7,-0.45933324,-0.3014612,"('insensitive', 'sensitive')",0.1200542,0.1887973,-0.1696395,-0.0563319,0.1133076
8,-0.34378663,-0.62340313,"('unaffectionate', 'affectionate')",0.83762234,0.8193235,0.2469179,0.0979602,-0.1489577
9,-0.4992906,-0.7284905,"('unaffectionate', 'caring')",1.322922,1.3548483,0.4118157,0.3131789,-0.0986368
10,-0.6217959,-0.6469509,"('unsympathetic', 'sympathetic')",-0.25843248,-0.26962173,-0.4401142,-0.4582863,-0.0181721
11,-0.55820507,-0.60060865,"('unhelpful', 'helpful')",1.8274536,2.0016599,0.6346242,0.7005256,0.0659014
12,-0.3493606,-0.32880336,"('unsupportive', 'supportive')",-2.4987817,-2.4171166,-1.4240711,-1.37296,0.0511111
13,0.123403676,0.22262867,"('impolite', 'polite')",-0.39622554,-0.3873946,-0.1364109,-0.082383,0.0540279
14,0.03675709,0.17380458,"('antisocial', 'social')",-0.1028838,-0.24114001,-0.0330634,-0.0336677,-0.0006043
15,0.21109769,0.04391214,"('boring', 'funny')",0.13130262,0.04916364,0.1712002,0.0465379,-0.1246623
16,-0.5268177,-0.6180469,"('unpopular', 'popular')",0.2679631,0.26133546,-0.1294273,-0.1783557,-0.0489284
17,-0.87230784,-0.6720599,"('nasty', 'nice')",-0.83995306,-0.82203984,-0.8561305,-0.7470499,0.1090806
18,-0.4242815,-0.2926566,"('disagreeable', 'welcoming')",-0.84814715,-0.8479591,-0.6362143,-0.5703079,0.0659064
19,-0.24157576,-0.3657123,"('inhospitable', 'hospitable')",-0.54559153,-0.42307195,-0.3935837,-0.3943921,-0.0008084
20,-0.0075372607,-0.0227746,"('rough', 'thoughtful')",1.0667427,0.9996538,0.5296027,0.4884396,-0.0411631
21,-0.14572941,-0.06845457,"('immoral', 'moral')",-0.6289619,-0.63125867,-0.3873457,-0.3498566,0.0374891
22,-0.25339165,-0.10232276,"('untrustworthy', 'trustworthy')",-1.2993493,-1.2817905,-0.7763705,-0.6920567,0.0843138
23,0.004060341,-0.059744,"('insincere', 'sincere')",6.205971,6.288985,3.1050155,3.1146204,0.0096049
24,-0.4518971,-0.34048662,"('dishonest', 'honest')",0.7352659,0.817923,0.1416844,0.2387182,0.0970338
25,-0.41119072,-0.56876254,"('egoistic', 'altruistic')",0.73064476,0.66034496,0.159727,0.0457912,-0.1139358
