,prologis_male,prologis_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.650092,-0.8004956,"('unsociable', 'sociable')",-0.4260638,-0.50191015,-0.5380779,-0.6512029,-0.113125
1,-1.5663359,-1.7002758,"('unfriendly', 'friendly')",2.0191023,1.95369,0.2263832,0.1267071,-0.0996761
2,0.020606369,0.11541214,"('unlikable', 'likable')",0.66812503,0.7399601,0.3443657,0.4276861,0.0833204
3,-0.18894742,-0.15297069,"('repellent', 'pleasant')",-0.10244317,-0.06175369,-0.1456953,-0.1073622,0.0383331
4,-0.4881268,-0.5022725,"('disliked', 'liked')",-5.7860146,-5.87935,-3.1370707,-3.1908114,-0.0537407
5,-1.1360575,-1.0617952,"('distant', 'outgoing')",-0.07990296,-0.08819632,-0.6079803,-0.5749958,0.0329845
6,-1.502229,-1.4373556,"('distant', 'open')",0.41548523,0.37662706,-0.5433719,-0.5303643,0.0130076
7,-0.5741177,-0.60311353,"('insensitive', 'sensitive')",0.0150114335,0.1365126,-0.2795531,-0.2333005,0.0462526
8,-1.1361392,-1.1897899,"('unaffectionate', 'affectionate')",0.7830286,0.7168259,-0.1765553,-0.236482,-0.0599267
9,-1.3798726,-1.4389877,"('unaffectionate', 'caring')",1.0254426,1.0177656,-0.177215,-0.210611,-0.033396
10,-0.96503276,-0.99641937,"('unsympathetic', 'sympathetic')",-1.0091324,-0.9585963,-0.9870826,-0.9775078,0.0095748
11,-0.10529669,-0.13716081,"('unhelpful', 'helpful')",1.1130283,1.1596298,0.5038658,0.5112345,0.0073687
12,-0.58712286,-0.47217414,"('unsupportive', 'supportive')",-2.0234163,-1.9137692,-1.3052696,-1.1929717,0.1122979
13,-0.5572864,-0.663851,"('impolite', 'polite')",-0.94133157,-0.94690084,-0.7493089,-0.8053759,-0.056067
14,0.641734,0.5822257,"('antisocial', 'social')",-0.59434736,-0.6270587,0.0236933,-0.0224165,-0.0461098
15,-0.0032253135,-0.048722077,"('boring', 'funny')",0.85561514,0.7739407,0.4261949,0.3626093,-0.0635856
16,-0.85956264,-0.82589567,"('unpopular', 'popular')",0.6320683,0.6542698,-0.1137472,-0.0858129,0.0279343
17,-0.45899093,-0.45617804,"('nasty', 'nice')",-0.1344,-0.13058883,-0.2966955,-0.2933834,0.0033121
18,-0.3538,-0.349838,"('disagreeable', 'welcoming')",-0.23613466,-0.26702583,-0.2949673,-0.3084319,-0.0134646
