,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.8610254,-0.9101363,"('unsociable', 'sociable')",1.2095652,0.9851464,-0.26241854,-0.48661357,0.0287071,-0.1372012,-0.1659083
1,-1.7775095,-1.6269705,"('unfriendly', 'friendly')",0.35588023,0.36858466,1.2318833,1.1755632,-0.0632486,-0.0276076,0.035641
2,0.96760815,0.9889882,"('unlikable', 'likable')",1.2545211,1.3607664,0.9812462,1.1734234,1.0677919,1.1743927,0.1066008
3,-1.0601685,-0.9093478,"('repellent', 'pleasant')",-0.46886638,-0.247787,-0.15627597,-0.14426547,-0.5617703,-0.4338001,0.1279702
4,0.019890279,0.05153031,"('disliked', 'liked')",-0.2778895,-0.20379622,-5.337532,-5.2855816,-1.8651772,-1.8126159,0.0525613
5,-0.46208233,-0.36626884,"('distant', 'outgoing')",-0.22696508,-0.021813156,-0.10354398,0.016169278,-0.2641971,-0.1239709,0.1402262
6,-0.82353413,-0.63356054,"('distant', 'open')",-0.81757015,-0.63160527,0.2009558,0.2887501,-0.4800495,-0.3254719,0.1545776
7,-0.85013026,-0.7677108,"('insensitive', 'sensitive')",0.64426565,0.60589045,0.14811504,0.059965715,-0.0192499,-0.0339515,-0.0147016
8,-0.79491,-0.7485316,"('unaffectionate', 'affectionate')",-0.510337,-0.40149626,0.045454722,0.038844585,-0.4199308,-0.3703944,0.0495364
9,-1.1754642,-1.1269155,"('unaffectionate', 'caring')",0.5077167,0.52356917,0.5038952,0.5033572,-0.0546174,-0.0333297,0.0212877
10,-1.0865171,-0.99221665,"('unsympathetic', 'sympathetic')",0.69689494,0.5574817,-0.44937465,-0.62850815,-0.2796656,-0.3544144,-0.0747488
11,-0.5436773,-0.5931589,"('unhelpful', 'helpful')",0.63843066,0.66927683,2.1127872,2.1327887,0.7358468,0.7363022,0.0004554
12,-0.5615252,-0.3521208,"('unsupportive', 'supportive')",0.63328063,0.8683925,-1.8032354,-1.7277311,-0.57716,-0.4038198,0.1733402
13,-0.014494225,-0.08995572,"('impolite', 'polite')",1.0113224,0.8504387,-0.10580729,-0.20728989,0.2970069,0.1843977,-0.1126092
14,-0.20197776,-0.20280409,"('antisocial', 'social')",1.3144846,1.2121958,-0.50385225,-0.6210942,0.2028849,0.1294325,-0.0734524
15,0.5488072,0.36269724,"('boring', 'funny')",0.5960202,0.47206852,0.7669721,0.7392157,0.6372665,0.5246605,-0.112606
16,-0.4774187,-0.39666626,"('unpopular', 'popular')",-0.60020626,-0.34510365,0.7223954,0.78723663,-0.1184098,0.0151556,0.1335654
17,-0.20806853,-0.12882063,"('nasty', 'nice')",-0.63555986,-0.48190838,-0.34953734,-0.318951,-0.3977219,-0.3098933,0.0878286
18,-0.35965657,-0.23244303,"('disagreeable', 'welcoming')",-0.5302774,-0.35741368,-0.3488454,-0.28174016,-0.4129264,-0.2905323,0.1223941
