,query_male,query_female,tuple,average_male,average_female,female-male
0,0.09318343,0.010380691,"('unsociable', 'sociable')",0.0931834,0.0103807,-0.0828027
1,1.5198904,1.604257,"('unfriendly', 'friendly')",1.5198904,1.604257,0.0843666
2,-0.3839873,-0.38108313,"('unlikable', 'likable')",-0.3839873,-0.3810831,0.0029042
3,0.45584002,0.4636264,"('repellent', 'pleasant')",0.45584,0.4636264,0.0077864
4,-7.6026106,-7.6923037,"('disliked', 'liked')",-7.6026106,-7.6923037,-0.0896931
5,-0.67903864,-0.6046191,"('distant', 'outgoing')",-0.6790386,-0.6046191,0.0744195
6,0.09312922,0.14016095,"('distant', 'open')",0.0931292,0.1401609,0.0470317
7,1.1544662,1.214023,"('insensitive', 'sensitive')",1.1544662,1.214023,0.0595568
8,1.1623658,1.1471553,"('unaffectionate', 'affectionate')",1.1623658,1.1471553,-0.0152105
9,1.8806953,1.963011,"('unaffectionate', 'caring')",1.8806953,1.963011,0.0823157
10,1.0389234,0.92050755,"('unsympathetic', 'sympathetic')",1.0389234,0.9205076,-0.1184158
11,2.0287106,2.1007102,"('unhelpful', 'helpful')",2.0287106,2.1007102,0.0719996
12,-1.5817826,-1.5827703,"('unsupportive', 'supportive')",-1.5817826,-1.5827703,-0.0009877
13,-0.1648809,-0.25314534,"('impolite', 'polite')",-0.1648809,-0.2531453,-0.0882644
14,-0.059581105,-0.16294184,"('antisocial', 'social')",-0.0595811,-0.1629418,-0.1033607
15,-0.33042985,-0.39461955,"('boring', 'funny')",-0.3304299,-0.3946196,-0.0641897
16,-0.5562601,-0.47393805,"('unpopular', 'popular')",-0.5562601,-0.473938,0.0823221
17,-0.4617321,-0.4607632,"('nasty', 'nice')",-0.4617321,-0.4607632,0.0009689
18,-0.23144735,-0.32272583,"('disagreeable', 'welcoming')",-0.2314474,-0.3227258,-0.0912784
19,-0.97275764,-0.90140384,"('inhospitable', 'hospitable')",-0.9727576,-0.9014038,0.0713538
20,1.5556133,1.5079073,"('rough', 'thoughtful')",1.5556133,1.5079073,-0.047706
21,-0.53571874,-0.5527216,"('immoral', 'moral')",-0.5357187,-0.5527216,-0.0170029
22,-0.5055817,-0.57817996,"('untrustworthy', 'trustworthy')",-0.5055817,-0.57818,-0.0725983
23,6.7785115,6.860623,"('insincere', 'sincere')",6.7785115,6.8606229,0.0821114
