,anagram_male,anagram_female,tuple,average_male,average_female,female-male
0,-0.8112268,-0.93081385,"('unsociable', 'sociable')",-0.8112268,-0.9308138,-0.119587
1,-0.45383102,-0.55545795,"('unfriendly', 'friendly')",-0.453831,-0.5554579,-0.1016269
2,0.55564153,0.5813908,"('unlikable', 'likable')",0.5556415,0.5813908,0.0257493
3,-0.6964351,-0.6419181,"('repellent', 'pleasant')",-0.6964351,-0.6419181,0.054517
4,-2.6313806,-2.5515535,"('disliked', 'liked')",-2.6313806,-2.5515535,0.0798271
5,-0.35483217,-0.3137813,"('distant', 'outgoing')",-0.3548322,-0.3137813,0.0410509
6,-0.5890288,-0.5582718,"('distant', 'open')",-0.5890288,-0.5582718,0.030757
7,-0.52869517,-0.5897078,"('insensitive', 'sensitive')",-0.5286952,-0.5897078,-0.0610126
8,-0.42129177,-0.45214045,"('unaffectionate', 'affectionate')",-0.4212918,-0.4521405,-0.0308487
9,-0.51013947,-0.6039011,"('unaffectionate', 'caring')",-0.5101395,-0.6039011,-0.0937616
10,-0.9483159,-0.98936313,"('unsympathetic', 'sympathetic')",-0.9483159,-0.9893631,-0.0410472
11,0.39211497,0.32027277,"('unhelpful', 'helpful')",0.392115,0.3202728,-0.0718422
12,-1.1430806,-1.0566285,"('unsupportive', 'supportive')",-1.1430806,-1.0566285,0.0864521
13,-1.1278135,-1.2600943,"('impolite', 'polite')",-1.1278135,-1.2600943,-0.1322808
14,-0.49960864,-0.5338594,"('antisocial', 'social')",-0.4996086,-0.5338594,-0.0342508
15,0.86011577,0.7435126,"('boring', 'funny')",0.8601158,0.7435126,-0.1166032
16,-0.18098833,-0.1333647,"('unpopular', 'popular')",-0.1809883,-0.1333647,0.0476236
17,-0.12163575,-0.08721625,"('nasty', 'nice')",-0.1216357,-0.0872163,0.0344194
18,0.13889837,0.08157162,"('disagreeable', 'welcoming')",0.1388984,0.0815716,-0.0573268
19,-0.9635444,-0.95432454,"('inhospitable', 'hospitable')",-0.9635444,-0.9543245,0.0092199
20,0.6277714,0.5781826,"('rough', 'thoughtful')",0.6277714,0.5781826,-0.0495888
21,-0.31446904,-0.36336792,"('immoral', 'moral')",-0.314469,-0.3633679,-0.0488989
22,-0.6162643,-0.6558299,"('untrustworthy', 'trustworthy')",-0.6162643,-0.6558299,-0.0395656
23,1.544087,1.4178714,"('insincere', 'sincere')",1.5440871,1.4178714,-0.1262157
24,0.0664628,0.00924303,"('dishonest', 'honest')",0.0664628,0.009243,-0.0572198
25,0.02629113,-0.008366354,"('egoistic', 'altruistic')",0.0262911,-0.0083664,-0.0346575
26,0.926293,0.8195937,"('hardhearted', 'benevolent')",0.926293,0.8195937,-0.1066993
27,0.22526728,0.11228724,"('hardhearted', 'softhearted')",0.2252673,0.1122872,-0.1129801
28,-0.1709467,-0.3246825,"('disloyal', 'loyal')",-0.1709467,-0.3246825,-0.1537358
29,-1.064778,-1.1472329,"('unfair', 'fair')",-1.064778,-1.1472329,-0.0824549
30,0.48273623,0.3473565,"('intolerant', 'tolerant')",0.4827362,0.3473565,-0.1353797
