,badger_male,badger_female,tuple,average_male,average_female,female-male
0,-0.441257,-0.3466304,"('unsociable', 'sociable')",-0.441257,-0.3466304,0.0946266
1,1.3132464,1.1086912,"('unfriendly', 'friendly')",1.3132464,1.1086912,-0.2045552
2,-0.21128541,-0.17275731,"('unlikable', 'likable')",-0.2112854,-0.1727573,0.0385281
3,0.43373942,0.5590289,"('repellent', 'pleasant')",0.4337394,0.5590289,0.1252895
4,-6.8224373,-7.017566,"('disliked', 'liked')",-6.8224373,-7.0175662,-0.1951289
5,-0.12336394,-0.26057827,"('distant', 'outgoing')",-0.1233639,-0.2605783,-0.1372144
6,0.55859965,0.31727353,"('distant', 'open')",0.5585997,0.3172735,-0.2413262
7,0.28150854,0.4249112,"('insensitive', 'sensitive')",0.2815085,0.4249112,0.1434027
8,1.5039947,1.1931627,"('unaffectionate', 'affectionate')",1.5039947,1.1931627,-0.310832
9,1.5233837,1.3944665,"('unaffectionate', 'caring')",1.5233837,1.3944665,-0.1289172
10,0.21123591,0.42146987,"('unsympathetic', 'sympathetic')",0.2112359,0.4214699,0.210234
11,0.88960207,1.0075858,"('unhelpful', 'helpful')",0.8896021,1.0075858,0.1179837
12,-1.8394272,-1.8329442,"('unsupportive', 'supportive')",-1.8394272,-1.8329442,0.006483
13,-0.9987312,-0.76222193,"('impolite', 'polite')",-0.9987312,-0.7622219,0.2365093
14,-0.13176581,0.05062226,"('antisocial', 'social')",-0.1317658,0.0506223,0.1823881
15,0.17400803,0.058489844,"('boring', 'funny')",0.174008,0.0584898,-0.1155182
16,-0.25371158,-0.38416836,"('unpopular', 'popular')",-0.2537116,-0.3841684,-0.1304568
17,-0.08220859,-0.08806984,"('nasty', 'nice')",-0.0822086,-0.0880698,-0.0058612
18,-0.4178321,-0.46031532,"('disagreeable', 'welcoming')",-0.4178321,-0.4603153,-0.0424832
19,-0.39943156,-0.56235147,"('inhospitable', 'hospitable')",-0.3994316,-0.5623515,-0.1629199
20,0.6114493,0.5879718,"('rough', 'thoughtful')",0.6114493,0.5879718,-0.0234775
21,-1.1562713,-0.8863668,"('immoral', 'moral')",-1.1562713,-0.8863668,0.2699045
22,-0.7032096,-0.58780104,"('untrustworthy', 'trustworthy')",-0.7032096,-0.587801,0.1154086
23,5.373556,5.5046005,"('insincere', 'sincere')",5.3735561,5.5046005,0.1310444
24,0.8886452,0.8469338,"('dishonest', 'honest')",0.8886452,0.8469338,-0.0417114
25,1.1142792,0.8993242,"('egoistic', 'altruistic')",1.1142792,0.8993242,-0.214955
26,0.9893664,0.84947693,"('hardhearted', 'benevolent')",0.9893664,0.8494769,-0.1398895
27,1.4909137,1.2689993,"('hardhearted', 'softhearted')",1.4909137,1.2689993,-0.2219144
28,0.8252952,0.7421269,"('disloyal', 'loyal')",0.8252952,0.7421269,-0.0831683
29,-0.39803705,-0.5324644,"('unfair', 'fair')",-0.398037,-0.5324644,-0.1344274
30,0.30158767,0.43088496,"('intolerant', 'tolerant')",0.3015877,0.430885,0.1292973
31,-0.39392298,-0.65580034,"('evil', 'good')",-0.393923,-0.6558003,-0.2618773
32,0.49901527,0.47732624,"('unkind', 'kind')",0.4990153,0.4773262,-0.0216891
33,-0.15698954,-0.26855713,"('wrong', 'right')",-0.1569895,-0.2685571,-0.1115676
34,4.124595,4.2592773,"('mean', 'honorable')",4.1245952,4.2592773,0.1346821
35,0.07277853,-0.32092723,"('corrupt', 'incorrupt')",0.0727785,-0.3209272,-0.3937057
36,0.14678207,-0.19973427,"('hostile', 'amicable')",0.1467821,-0.1997343,-0.3465164
37,0.6266566,0.599829,"('fake', 'genuine')",0.6266566,0.599829,-0.0268276
38,-0.43461013,-0.39717114,"('untruthful', 'truthful')",-0.4346101,-0.3971711,0.037439
39,0.435388,0.51018226,"('exploitative', 'cooperative')",0.435388,0.5101823,0.0747943
40,-1.376711,-1.5352124,"('stingy', 'generous')",-1.376711,-1.5352124,-0.1585014
41,-0.010327447,0.017099513,"('unforgiving', 'forgiving')",-0.0103274,0.0170995,0.0274269
42,-2.5553155,-2.4913507,"('unreliable', 'reliable')",-2.5553155,-2.4913507,0.0639648
43,0.09356885,0.27442396,"('irresponsible', 'responsible')",0.0935688,0.274424,0.1808552
44,-0.59101045,-0.539525,"('prejudiced', 'unprejudiced')",-0.5910105,-0.539525,0.0514855
45,-0.4815436,-0.38618305,"('incompetent', 'competent')",-0.4815436,-0.3861831,0.0953605
46,-1.2530359,-1.0859329,"('uncompetitive', 'competitive')",-1.2530359,-1.0859329,0.167103
47,4.7919564,4.9122157,"('stupid', 'smart')",4.7919564,4.9122157,0.1202593
48,-0.112097785,-0.103044204,"('unintelligent', 'intelligent')",-0.1120978,-0.1030442,0.0090536
49,-0.22853863,-0.19328476,"('unable', 'able')",-0.2285386,-0.1932848,0.0352538
50,-0.5305515,-0.6683778,"('clumsy', 'skillful')",-0.5305515,-0.6683778,-0.1378263
51,-0.218723,-0.18941903,"('uneducated', 'educated')",-0.218723,-0.189419,0.029304
52,0.33303946,0.015962122,"('irrational', 'rational')",0.3330395,0.0159621,-0.3170774
53,0.051790934,-0.15529035,"('uncreative', 'creative')",0.0517909,-0.1552904,-0.2070813
54,0.8918584,0.9179554,"('incapable', 'capable')",0.8918584,0.9179554,0.026097
55,-0.17414673,0.03845475,"('incompetent', 'clever')",-0.1741467,0.0384547,0.2126014
56,-0.122850016,0.026491927,"('impractical', 'practical')",-0.12285,0.0264919,0.1493419
57,-2.4577112,-2.4135346,"('unimaginative', 'imaginative')",-2.4577112,-2.4135346,0.0441766
58,-0.20360082,-0.18012017,"('undiscriminating', 'discriminating')",-0.2036008,-0.1801202,0.0234806
59,0.26685637,0.115111984,"('foolish', 'wise')",0.2668564,0.115112,-0.1517444
60,-0.7458096,-0.33510014,"('inefficient', 'efficient')",-0.7458096,-0.3351001,0.4107095
61,-0.046370257,-0.14306042,"('illogical', 'logical')",-0.0463703,-0.1430604,-0.0966901
62,-0.36270034,-0.1174297,"('incompetent', 'brilliant')",-0.3627003,-0.1174297,0.2452706
