,Dimension,P-Value M vs. F Firm Embedding,P-Value Delta Firm vs. Delta Random Embedding,Mean Firm,Mean Random,Mean Male,Mean Female,Mean Firm vs. Mean Random,Dictionary
0,"('unsociable', 'sociable')",0.0,0.00152,-0.12057792953964194,-0.109679769875,-0.17803373209718668,-0.2986116616368287,-0.010898159664641943,Sociability
1,"('unfriendly', 'friendly')",0.00023,0.0,-0.10362027442455243,-0.061008970875,0.3882007043478261,0.28458042992327365,-0.042611303549552434,Sociability
2,"('unlikable', 'likable')",0.007,0.0,0.048695003452685424,0.086627837,0.7151816970588234,0.7638767005115089,-0.037932833547314575,Sociability
3,"('repellent', 'pleasant')",0.00019,0.0,0.07955630000000001,0.101166574125,-0.07827205626598466,0.0012842437340153444,-0.021610274124999995,Sociability
4,"('disliked', 'liked')",0.25782,0.56125,-0.04823814207161125,-0.046121113874999994,-2.3568095700767264,-2.405047712148338,-0.002117028196611255,Sociability
5,"('distant', 'outgoing')",0.50718,0.0,0.01956893695652174,0.049997258125000006,-0.33164740409207155,-0.3120784671355499,-0.030428321168478267,Sociability
6,"('distant', 'open')",0.49565,0.56212,0.022100955882352943,0.019661293625,-0.3723749612531969,-0.350274005370844,0.002439662257352943,Sociability
7,"('insensitive', 'sensitive')",0.15544,0.00194,0.03512956598465473,0.043952576625,0.19870207979539645,0.23383164578005114,-0.008823010640345276,Sociability
8,"('unaffectionate', 'affectionate')",0.01228,0.01849,-0.05561931329923274,-0.0635102895,-0.0171773537084399,-0.07279666700767264,0.007890976200767258,Sociability
9,"('unaffectionate', 'caring')",0.21444,0.0,-0.030622563171355494,0.012476542374999997,0.3736718351662404,0.34304927199488494,-0.04309910554635549,Sociability
10,"('unsympathetic', 'sympathetic')",0.79023,0.00013,-0.008653996163682863,0.0070019246249999915,-0.4802151097186701,-0.48886910588235294,-0.015655920788682855,Sociability
11,"('unhelpful', 'helpful')",0.31306,0.0,0.02715877966751918,0.044590858250000004,0.6322088296675192,0.6593676093350384,-0.017432078582480824,Sociability
12,"('unsupportive', 'supportive')",0.02898,0.0,0.06833622046035805,0.03409543475,-0.43556388196930945,-0.3672276615089514,0.034240785710358046,Sociability
13,"('impolite', 'polite')",0.40532,0.23798,-0.02335679872122762,-0.027197796125000003,-0.17934932173913043,-0.20270612046035805,0.0038409974037723824,Sociability
14,"('antisocial', 'social')",0.45178,0.0,-0.02318531406649616,-0.052363672,0.2383888287723785,0.21520351470588236,0.02917835793350384,Sociability
15,"('boring', 'funny')",1e-05,0.91434,-0.07020005575447572,-0.070459108125,0.30227714501278774,0.23207708925831202,0.00025905237052428753,Sociability
16,"('unpopular', 'popular')",0.91094,0.0,0.002127242838874679,0.035103005750000006,-0.16241307774936062,-0.16028583491048592,-0.03297576291112533,Sociability
17,"('nasty', 'nice')",0.00012,0.0,0.052718818797953954,0.028864836250000005,-0.34110580294117643,-0.2883869841432225,0.02385398254795395,Sociability
18,"('disagreeable', 'welcoming')",0.2246,0.0,0.0196598405370844,0.0045805605,-0.3428863529411764,-0.32322651240409206,0.015079280037084399,Sociability
19,"('inhospitable', 'hospitable')",0.13963,0.0,0.03268832237851662,0.058462929500000003,-0.5133505406649617,-0.48066221828644495,-0.025774607121483384,Sociability
20,"('rough', 'thoughtful')",0.43427,0.0,0.01475363797953964,-0.06262005999999999,0.3840725222506393,0.3988261602301791,0.07737369797953964,Sociability
21,"('immoral', 'moral')",0.83955,0.0,0.005977971611253197,0.10171393399999999,-0.06200916061381075,-0.05603118900255754,-0.09573596238874679,Morality
22,"('untrustworthy', 'trustworthy')",0.27162,0.0,-0.025459396291560098,-0.00666544625,-0.33517400933503844,-0.36063340562659846,-0.0187939500415601,Morality
23,"('insincere', 'sincere')",0.47924,0.0,-0.029282121867007682,0.04651680562499999,2.0513108664961637,2.0220287446291563,-0.07579892749200767,Morality
24,"('dishonest', 'honest')",0.38555,0.23492,-0.01971029514066496,-0.022651658875,0.23037056163682865,0.21066026649616368,0.0029413637343350396,Morality
25,"('egoistic', 'altruistic')",0.12535,0.0,-0.03251891125319693,-0.05764248175,0.5545655898976982,0.5220466786445013,0.02512357049680307,Morality
26,"('hardhearted', 'benevolent')",1e-05,0.0,-0.09866186355498721,-0.17468953499999998,1.0326783228900256,0.9340164593350383,0.07602767144501277,Morality
27,"('hardhearted', 'softhearted')",0.98722,0.0,-0.00033513836317135585,-0.115043260375,0.28075838465473146,0.2804232462915601,0.11470812201182864,Morality
28,"('disloyal', 'loyal')",0.0,0.0,-0.11587142033248082,-0.0769557355,0.27498471956521736,0.15911329923273657,-0.038915684832480826,Morality
29,"('unfair', 'fair')",1e-05,0.0,-0.06189664271099744,-0.08948341850000001,-0.38090398248081836,-0.4428006251918159,0.027586775789002566,Morality
30,"('intolerant', 'tolerant')",0.5586,0.00042,-0.01753032915601023,-0.007584963500000001,0.6809868546035805,0.6634565254475704,-0.00994536565601023,Morality
