,enphase_male,enphase_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.8828372,-1.9731026,"('unsociable', 'sociable')",-0.06235286,-0.19479637,-0.3641577,-0.51874346,-0.7697826,-0.8955475,-0.1257649
1,-2.3374286,-2.5275922,"('unfriendly', 'friendly')",0.20998757,0.0018384401,1.4861726,1.2816058,-0.2137561,-0.414716,-0.2009599
2,0.52675784,0.49690455,"('unlikable', 'likable')",1.2088736,1.1514131,0.7687604,0.803611,0.8347973,0.8173095,-0.0174878
3,-0.48313293,-0.44245583,"('repellent', 'pleasant')",-0.2610457,-0.14169852,0.073785625,0.11299323,-0.2234643,-0.1570537,0.0664106
4,-0.17393686,-0.2787747,"('disliked', 'liked')",0.31042832,0.19734351,-5.415891,-5.493017,-1.7598,-1.8581495,-0.0983495
5,-0.7574828,-0.8087898,"('distant', 'outgoing')",-0.21016257,-0.30166343,-0.1885163,-0.27830437,-0.3853872,-0.4629192,-0.077532
6,-0.8007498,-0.8770089,"('distant', 'open')",-0.8329253,-0.9783099,0.1028655,-0.015040763,-0.5102699,-0.6234532,-0.1131833
7,-0.71476007,-0.7185029,"('insensitive', 'sensitive')",0.4554609,0.5177716,0.87736773,0.88404155,0.2060229,0.2277701,0.0217472
8,-1.8809992,-1.9632595,"('unaffectionate', 'affectionate')",-0.69497764,-0.85412484,0.44486618,0.30115652,-0.7103702,-0.8387426,-0.1283724
9,-2.1709306,-2.274438,"('unaffectionate', 'caring')",0.3374111,0.23553026,0.9087941,0.8340078,-0.3082418,-0.4016333,-0.0933915
10,-1.7273868,-1.7697276,"('unsympathetic', 'sympathetic')",-0.6511944,-0.67107064,-0.26571712,-0.29722348,-0.8814328,-0.912674,-0.0312412
11,-0.94517565,-0.8994387,"('unhelpful', 'helpful')",0.5965505,0.66453505,1.6893115,1.76904,0.4468954,0.5113788,0.0644834
12,-1.1492535,-1.220433,"('unsupportive', 'supportive')",0.6127985,0.5894924,-1.3343368,-1.3515614,-0.6235972,-0.660834,-0.0372368
13,-1.086274,-1.0609529,"('impolite', 'polite')",-0.10369408,-0.04979048,-0.3118224,-0.34289557,-0.5005968,-0.4845463,0.0160505
14,-0.73712194,-0.65890616,"('antisocial', 'social')",0.76404065,0.83415633,-0.3403421,-0.34622195,-0.1044745,-0.0569906,0.0474839
15,-0.020075373,-0.08065778,"('boring', 'funny')",0.11057974,-0.00050707906,0.6667306,0.5981474,0.2524116,0.1723275,-0.0800841
16,-0.28042638,-0.3439139,"('unpopular', 'popular')",-0.29098612,-0.37349385,0.4699967,0.42950568,-0.0338053,-0.0959674,-0.0621621
17,-0.3091653,-0.27493653,"('nasty', 'nice')",-0.9133706,-0.86002225,-0.39986798,-0.368832,-0.5408013,-0.5012636,0.0395377
18,-0.8108687,-0.8686393,"('disagreeable', 'welcoming')",-0.94785184,-1.021044,-0.44544154,-0.5234618,-0.7347207,-0.8043817,-0.069661
19,-1.6152667,-1.6343299,"('inhospitable', 'hospitable')",-1.2536819,-1.3660232,-0.2669839,-0.28442422,-1.0453108,-1.0949258,-0.049615
