,yarmulke_male,yarmulke_female,tuple,average_male,average_female,female-male
0,-0.9856022,-1.065103,"('unsociable', 'sociable')",-0.9856022,-1.0651031,-0.0795009
1,0.23844042,-0.06388412,"('unfriendly', 'friendly')",0.2384404,-0.0638841,-0.3023245
2,0.77146256,0.74405646,"('unlikable', 'likable')",0.7714626,0.7440565,-0.0274061
3,-0.9518385,-0.759294,"('repellent', 'pleasant')",-0.9518385,-0.759294,0.1925445
4,-0.53417426,-0.6413257,"('disliked', 'liked')",-0.5341743,-0.6413257,-0.1071514
5,0.6538562,0.4975681,"('distant', 'outgoing')",0.6538562,0.4975681,-0.1562881
6,0.5385122,0.35835475,"('distant', 'open')",0.5385122,0.3583547,-0.1801575
7,-0.2752368,-0.16753232,"('insensitive', 'sensitive')",-0.2752368,-0.1675323,0.1077045
8,0.47414464,0.23494682,"('unaffectionate', 'affectionate')",0.4741446,0.2349468,-0.2391978
9,0.039245598,-0.13463499,"('unaffectionate', 'caring')",0.0392456,-0.134635,-0.1738806
10,-1.2060692,-1.1257247,"('unsympathetic', 'sympathetic')",-1.2060692,-1.1257247,0.0803445
11,-0.89930445,-0.9350344,"('unhelpful', 'helpful')",-0.8993044,-0.9350344,-0.03573
12,-0.9599643,-0.94696194,"('unsupportive', 'supportive')",-0.9599643,-0.9469619,0.0130024
13,-1.3279157,-1.2785364,"('impolite', 'polite')",-1.3279157,-1.2785364,0.0493793
14,-0.6559511,-0.38186488,"('antisocial', 'social')",-0.6559511,-0.3818649,0.2740862
15,0.95400643,0.7714332,"('boring', 'funny')",0.9540064,0.7714332,-0.1825732
16,0.16125646,-0.10515924,"('unpopular', 'popular')",0.1612565,-0.1051592,-0.2664157
17,-0.40958798,-0.35065997,"('nasty', 'nice')",-0.409588,-0.35066,0.058928
18,0.24354342,0.25823826,"('disagreeable', 'welcoming')",0.2435434,0.2582383,0.0146949
19,0.30504575,0.09641577,"('inhospitable', 'hospitable')",0.3050458,0.0964158,-0.20863
20,-1.0204475,-0.9150616,"('rough', 'thoughtful')",-1.0204475,-0.9150616,0.1053859
21,-1.3691981,-1.1979703,"('immoral', 'moral')",-1.3691981,-1.1979703,0.1712278
22,-0.43893114,-0.2330445,"('untrustworthy', 'trustworthy')",-0.4389311,-0.2330445,0.2058866
23,0.26351172,0.2707656,"('insincere', 'sincere')",0.2635117,0.2707656,0.0072539
24,0.17396425,0.14545427,"('dishonest', 'honest')",0.1739642,0.1454543,-0.0285099
25,0.6335425,0.41328564,"('egoistic', 'altruistic')",0.6335425,0.4132856,-0.2202569
26,0.9111929,0.72968936,"('hardhearted', 'benevolent')",0.9111929,0.7296894,-0.1815035
27,0.5409582,0.41010413,"('hardhearted', 'softhearted')",0.5409582,0.4101041,-0.1308541
28,-0.3771295,-0.4942568,"('disloyal', 'loyal')",-0.3771295,-0.4942568,-0.1171273
29,-0.26788586,-0.26452217,"('unfair', 'fair')",-0.2678859,-0.2645222,0.0033637
30,0.16053559,0.21844143,"('intolerant', 'tolerant')",0.1605356,0.2184414,0.0579058
31,0.14703861,0.10299576,"('evil', 'good')",0.1470386,0.1029958,-0.0440428
32,-0.32506496,-0.4780647,"('unkind', 'kind')",-0.325065,-0.4780647,-0.1529997
33,0.061098613,-0.014769664,"('wrong', 'right')",0.0610986,-0.0147697,-0.0758683
34,0.77417946,0.8068665,"('mean', 'honorable')",0.7741795,0.8068665,0.032687
35,1.5767416,1.2886673,"('corrupt', 'incorrupt')",1.5767416,1.2886673,-0.2880743
36,0.3119753,0.09682828,"('hostile', 'amicable')",0.3119753,0.0968283,-0.215147
37,0.35591134,0.43910402,"('fake', 'genuine')",0.3559113,0.439104,0.0831927
38,-0.7429056,-0.8358019,"('untruthful', 'truthful')",-0.7429056,-0.8358019,-0.0928963
39,-0.7746986,-0.57705563,"('exploitative', 'cooperative')",-0.7746986,-0.5770556,0.197643
