,gamebird_male,gamebird_female,tuple,average_male,average_female,female-male
0,0.49553815,0.43437666,"('unsociable', 'sociable')",0.4955381,0.4343767,-0.0611614
1,0.35202298,0.29611653,"('unfriendly', 'friendly')",0.352023,0.2961165,-0.0559065
2,-0.19507453,-0.13603666,"('unlikable', 'likable')",-0.1950745,-0.1360367,0.0590378
3,-0.36236408,-0.31848928,"('repellent', 'pleasant')",-0.3623641,-0.3184893,0.0438748
4,-4.1538534,-4.275981,"('disliked', 'liked')",-4.1538534,-4.2759809,-0.1221275
5,-0.4844457,-0.5058674,"('distant', 'outgoing')",-0.4844457,-0.5058674,-0.0214217
6,-0.6109116,-0.62131995,"('distant', 'open')",-0.6109116,-0.6213199,-0.0104083
7,0.18586396,0.27442655,"('insensitive', 'sensitive')",0.185864,0.2744265,0.0885625
8,0.40574428,0.37653393,"('unaffectionate', 'affectionate')",0.4057443,0.3765339,-0.0292104
9,0.93979365,0.90983456,"('unaffectionate', 'caring')",0.9397936,0.9098346,-0.029959
10,-0.20252676,-0.16320045,"('unsympathetic', 'sympathetic')",-0.2025268,-0.1632005,0.0393263
11,1.0815583,1.1505466,"('unhelpful', 'helpful')",1.0815583,1.1505466,0.0689883
12,-1.1411295,-1.1371685,"('unsupportive', 'supportive')",-1.1411295,-1.1371685,0.003961
13,-0.013122419,-0.031018037,"('impolite', 'polite')",-0.0131224,-0.031018,-0.0178956
14,0.4909477,0.5163837,"('antisocial', 'social')",0.4909477,0.5163837,0.025436
15,0.4564338,0.4117321,"('boring', 'funny')",0.4564338,0.4117321,-0.0447017
16,-0.5496247,-0.5796819,"('unpopular', 'popular')",-0.5496247,-0.5796819,-0.0300572
17,-0.40662038,-0.35335723,"('nasty', 'nice')",-0.4066204,-0.3533572,0.0532632
18,-0.6368186,-0.6738662,"('disagreeable', 'welcoming')",-0.6368186,-0.6738662,-0.0370476
19,-0.9593474,-0.97908354,"('inhospitable', 'hospitable')",-0.9593474,-0.9790835,-0.0197361
20,0.033811696,0.10693922,"('rough', 'thoughtful')",0.0338117,0.1069392,0.0731275
21,0.19201434,0.22515988,"('immoral', 'moral')",0.1920143,0.2251599,0.0331456
22,-0.6479556,-0.6554238,"('untrustworthy', 'trustworthy')",-0.6479556,-0.6554238,-0.0074682
23,3.2244544,3.2532358,"('insincere', 'sincere')",3.2244544,3.2532358,0.0287814
24,0.575447,0.52784353,"('dishonest', 'honest')",0.575447,0.5278435,-0.0476035
25,0.6625029,0.6219972,"('egoistic', 'altruistic')",0.6625029,0.6219972,-0.0405057
26,0.5527619,0.5280916,"('hardhearted', 'benevolent')",0.5527619,0.5280916,-0.0246703
27,0.6583603,0.6625545,"('hardhearted', 'softhearted')",0.6583603,0.6625545,0.0041942
28,1.1218998,1.0233313,"('disloyal', 'loyal')",1.1218998,1.0233313,-0.0985685
29,-0.24979214,-0.32698002,"('unfair', 'fair')",-0.2497921,-0.32698,-0.0771879
30,0.79328585,0.8000084,"('intolerant', 'tolerant')",0.7932858,0.8000084,0.0067226
31,-1.6790475,-1.6364048,"('evil', 'good')",-1.6790475,-1.6364048,0.0426427
32,0.76954126,0.7504206,"('unkind', 'kind')",0.7695413,0.7504206,-0.0191207
33,-0.32165143,-0.3652862,"('wrong', 'right')",-0.3216514,-0.3652862,-0.0436348
34,1.7523524,1.9063371,"('mean', 'honorable')",1.7523524,1.9063371,0.1539847
35,-0.5461963,-0.61413825,"('corrupt', 'incorrupt')",-0.5461963,-0.6141382,-0.0679419
36,-1.3203924,-1.3650442,"('hostile', 'amicable')",-1.3203924,-1.3650442,-0.0446518
37,-0.116604015,-0.100910634,"('fake', 'genuine')",-0.116604,-0.1009106,0.0156934
38,-0.4455158,-0.4462282,"('untruthful', 'truthful')",-0.4455158,-0.4462282,-0.0007124
39,0.61579627,0.6660027,"('exploitative', 'cooperative')",0.6157963,0.6660027,0.0502064
40,-1.758168,-1.7993208,"('stingy', 'generous')",-1.758168,-1.7993208,-0.0411528
41,0.11279008,0.07280111,"('unforgiving', 'forgiving')",0.1127901,0.0728011,-0.039989
42,-2.0365057,-2.0215602,"('unreliable', 'reliable')",-2.0365057,-2.0215602,0.0149455
