,unit_male,unit_female,tuple,average_male,average_female,female-male
0,0.42004195,0.33642644,"('unsociable', 'sociable')",0.4200419,0.3364264,-0.0836155
1,0.575842,0.48287538,"('unfriendly', 'friendly')",0.575842,0.4828754,-0.0929666
2,0.17528252,0.28033364,"('unlikable', 'likable')",0.1752825,0.2803336,0.1050511
3,0.82778436,0.86769307,"('repellent', 'pleasant')",0.8277844,0.8676931,0.0399087
4,-7.2242885,-7.2099843,"('disliked', 'liked')",-7.2242885,-7.2099843,0.0143042
5,-1.2280016,-1.3055971,"('distant', 'outgoing')",-1.2280016,-1.3055971,-0.0775955
6,-0.82116497,-0.9557383,"('distant', 'open')",-0.821165,-0.9557383,-0.1345733
7,1.6842562,1.7583702,"('insensitive', 'sensitive')",1.6842562,1.7583702,0.074114
8,0.55591404,0.4099378,"('unaffectionate', 'affectionate')",0.555914,0.4099378,-0.1459762
9,1.339879,1.3177862,"('unaffectionate', 'caring')",1.339879,1.3177862,-0.0220928
10,1.6686127,1.697418,"('unsympathetic', 'sympathetic')",1.6686127,1.697418,0.0288053
11,2.4546564,2.54501,"('unhelpful', 'helpful')",2.4546564,2.5450101,0.0903537
12,-1.2907239,-1.2913663,"('unsupportive', 'supportive')",-1.2907239,-1.2913663,-0.0006424
13,0.23320433,0.28459907,"('impolite', 'polite')",0.2332043,0.2845991,0.0513948
14,0.5679211,0.57578856,"('antisocial', 'social')",0.5679211,0.5757886,0.0078675
15,0.3378166,0.35740513,"('boring', 'funny')",0.3378166,0.3574051,0.0195885
16,-0.6436614,-0.58371305,"('unpopular', 'popular')",-0.6436614,-0.5837131,0.0599483
17,-0.26891994,-0.3109683,"('nasty', 'nice')",-0.2689199,-0.3109683,-0.0420484
18,-0.97141063,-1.0439885,"('disagreeable', 'welcoming')",-0.9714106,-1.0439885,-0.0725779
19,-1.0024314,-1.0840964,"('inhospitable', 'hospitable')",-1.0024314,-1.0840964,-0.081665
20,0.56368226,0.5294085,"('rough', 'thoughtful')",0.5636823,0.5294085,-0.0342738
21,0.21354109,0.36877862,"('immoral', 'moral')",0.2135411,0.3687786,0.1552375
22,0.01079607,0.03254499,"('untrustworthy', 'trustworthy')",0.0107961,0.032545,0.0217489
23,6.63072,6.602535,"('insincere', 'sincere')",6.6307201,6.6025348,-0.0281853
24,1.7527204,1.6780205,"('dishonest', 'honest')",1.7527204,1.6780205,-0.0746999
25,-0.1348651,-0.19644482,"('egoistic', 'altruistic')",-0.1348651,-0.1964448,-0.0615797
26,0.74892527,0.6426787,"('hardhearted', 'benevolent')",0.7489253,0.6426787,-0.1062466
27,1.4379328,1.2742797,"('hardhearted', 'softhearted')",1.4379328,1.2742797,-0.1636531
28,1.1273894,0.99230826,"('disloyal', 'loyal')",1.1273894,0.9923083,-0.1350811
29,-0.4758687,-0.708866,"('unfair', 'fair')",-0.4758687,-0.708866,-0.2329973
30,1.5044045,1.5372826,"('intolerant', 'tolerant')",1.5044045,1.5372826,0.0328781
31,-1.9225583,-2.020358,"('evil', 'good')",-1.9225583,-2.0203581,-0.0977998
32,1.6309106,1.562626,"('unkind', 'kind')",1.6309106,1.562626,-0.0682846
33,-0.9250945,-0.93938816,"('wrong', 'right')",-0.9250945,-0.9393882,-0.0142937
34,4.438308,4.644411,"('mean', 'honorable')",4.4383078,4.6444111,0.2061033
35,-1.477196,-1.7242048,"('corrupt', 'incorrupt')",-1.477196,-1.7242048,-0.2470088
36,-1.4790796,-1.6561588,"('hostile', 'amicable')",-1.4790796,-1.6561588,-0.1770792
37,0.5285391,0.5301577,"('fake', 'genuine')",0.5285391,0.5301577,0.0016186
