,fluor_male,fluor_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.8225851,-0.960797,"('unsociable', 'sociable')",0.11437027,-0.10713013,-0.3541074,-0.5339636,-0.1798562
1,-0.665482,-0.5901336,"('unfriendly', 'friendly')",1.140394,1.065406,0.237456,0.2376362,0.0001802
2,0.6889482,0.7249381,"('unlikable', 'likable')",0.87442315,0.83921725,0.7816857,0.7820777,0.000392
3,-0.9411331,-0.8988971,"('repellent', 'pleasant')",0.5975417,0.5962166,-0.1717957,-0.1513402,0.0204555
4,0.13115017,0.1628715,"('disliked', 'liked')",-5.8007755,-5.8955283,-2.8348126,-2.8663285,-0.0315159
5,-0.22491452,-0.041136984,"('distant', 'outgoing')",-0.67936313,-0.6195322,-0.4521388,-0.3303346,0.1218042
6,-0.73251957,-0.49995595,"('distant', 'open')",-0.89661264,-0.8450644,-0.8145661,-0.6725101,0.142056
7,-0.6481604,-0.6680849,"('insensitive', 'sensitive')",0.017890476,-0.001236748,-0.315135,-0.3346608,-0.0195258
8,-1.063034,-1.0399811,"('unaffectionate', 'affectionate')",0.4987286,0.49918962,-0.2821527,-0.2703958,0.0117569
9,-1.0751624,-1.0613016,"('unaffectionate', 'caring')",0.7374619,0.7292996,-0.1688502,-0.166001,0.0028492
10,-1.3165466,-1.4152128,"('unsympathetic', 'sympathetic')",-0.5413485,-0.62589216,-0.9289476,-1.0205524,-0.0916048
11,-0.8658448,-0.96151537,"('unhelpful', 'helpful')",1.4052882,1.387687,0.2697217,0.2130858,-0.0566359
12,-0.54472595,-0.44203267,"('unsupportive', 'supportive')",-2.012148,-2.0190766,-1.2784369,-1.2305546,0.0478823
13,-0.7853777,-0.9001407,"('impolite', 'polite')",-1.0158639,-1.0784527,-0.9006208,-0.9892967,-0.0886759
14,-0.12808363,-0.3173802,"('antisocial', 'social')",0.30254614,0.10577813,0.0872313,-0.105801,-0.1930323
15,0.091115355,-0.060824316,"('boring', 'funny')",-0.0042204577,-0.040859297,0.0434474,-0.0508418,-0.0942892
16,-0.15593527,-0.10757336,"('unpopular', 'popular')",0.582595,0.5721675,0.2133299,0.2322971,0.0189672
17,-0.084059134,-0.03555988,"('nasty', 'nice')",-0.4320484,-0.37287933,-0.2580538,-0.2042196,0.0538342
18,-0.9134415,-0.8458021,"('disagreeable', 'welcoming')",-0.47914293,-0.54357344,-0.6962922,-0.6946878,0.0016044
19,-1.3295858,-1.2004124,"('inhospitable', 'hospitable')",-0.624146,-0.5336805,-0.9768659,-0.8670465,0.1098194
20,0.31788456,0.28474343,"('rough', 'thoughtful')",1.0694988,1.0220383,0.6936917,0.6533909,-0.0403008
