,assembly_male,assembly_female,tuple,average_male,average_female,female-male
0,-0.03096297,-0.08837145,"('unsociable', 'sociable')",-0.030963,-0.0883714,-0.0574084
1,1.4487413,1.3764194,"('unfriendly', 'friendly')",1.4487413,1.3764194,-0.0723219
2,0.041189775,0.030990804,"('unlikable', 'likable')",0.0411898,0.0309908,-0.010199
3,0.22232915,0.3463383,"('repellent', 'pleasant')",0.2223292,0.3463383,0.1240091
4,-7.1872025,-7.2666903,"('disliked', 'liked')",-7.1872025,-7.2666903,-0.0794878
5,-0.34242788,-0.37300506,"('distant', 'outgoing')",-0.3424279,-0.3730051,-0.0305772
6,0.2912536,0.18097247,"('distant', 'open')",0.2912536,0.1809725,-0.1102811
7,0.8615509,0.90101,"('insensitive', 'sensitive')",0.8615509,0.90101,0.0394591
8,1.382021,1.2232563,"('unaffectionate', 'affectionate')",1.382021,1.2232563,-0.1587647
9,1.7672038,1.6900219,"('unaffectionate', 'caring')",1.7672038,1.6900219,-0.0771819
10,0.6570489,0.71804017,"('unsympathetic', 'sympathetic')",0.6570489,0.7180402,0.0609913
11,1.5330719,1.5483874,"('unhelpful', 'helpful')",1.5330719,1.5483874,0.0153155
12,-1.7576686,-1.8016754,"('unsupportive', 'supportive')",-1.7576686,-1.8016754,-0.0440068
13,-0.5067624,-0.50608003,"('impolite', 'polite')",-0.5067624,-0.50608,0.0006824
14,0.13515526,0.1546656,"('antisocial', 'social')",0.1351553,0.1546656,0.0195103
15,0.46823737,0.3776869,"('boring', 'funny')",0.4682374,0.3776869,-0.0905505
16,-0.20261699,-0.23217705,"('unpopular', 'popular')",-0.202617,-0.232177,-0.02956
17,0.00035403296,0.031056313,"('nasty', 'nice')",0.000354,0.0310563,0.0307023
18,-0.27748963,-0.39055255,"('disagreeable', 'welcoming')",-0.2774896,-0.3905526,-0.113063
19,-0.17648825,-0.24723433,"('inhospitable', 'hospitable')",-0.1764883,-0.2472343,-0.070746
20,0.8995195,0.82886225,"('rough', 'thoughtful')",0.8995195,0.8288622,-0.0706573
21,-0.579371,-0.48844078,"('immoral', 'moral')",-0.579371,-0.4884408,0.0909302
22,-0.93597627,-0.9021719,"('untrustworthy', 'trustworthy')",-0.9359763,-0.9021719,0.0338044
23,6.4397225,6.4436793,"('insincere', 'sincere')",6.4397225,6.4436793,0.0039568
24,1.5150758,1.3896071,"('dishonest', 'honest')",1.5150758,1.3896071,-0.1254687
25,1.0071102,0.8903366,"('egoistic', 'altruistic')",1.0071102,0.8903366,-0.1167736
26,1.6871141,1.5901085,"('hardhearted', 'benevolent')",1.6871141,1.5901085,-0.0970056
27,1.711895,1.4676397,"('hardhearted', 'softhearted')",1.711895,1.4676397,-0.2442553
28,1.2343915,1.1505842,"('disloyal', 'loyal')",1.2343915,1.1505842,-0.0838073
29,-0.48250282,-0.5568951,"('unfair', 'fair')",-0.4825028,-0.5568951,-0.0743923
30,0.99968475,0.9959501,"('intolerant', 'tolerant')",0.9996848,0.9959501,-0.0037347
31,-1.1265253,-1.1831325,"('evil', 'good')",-1.1265253,-1.1831325,-0.0566072
32,1.1345377,1.0399264,"('unkind', 'kind')",1.1345377,1.0399264,-0.0946113
33,-0.27048725,-0.37121025,"('wrong', 'right')",-0.2704872,-0.3712102,-0.100723
34,5.137708,5.2047634,"('mean', 'honorable')",5.1377082,5.2047634,0.0670552
35,-0.14329861,-0.36587757,"('corrupt', 'incorrupt')",-0.1432986,-0.3658776,-0.222579
36,-0.24547555,-0.4282668,"('hostile', 'amicable')",-0.2454755,-0.4282668,-0.1827913
37,1.139262,1.0913453,"('fake', 'genuine')",1.139262,1.0913453,-0.0479167
38,-0.04036063,-0.078873456,"('untruthful', 'truthful')",-0.0403606,-0.0788735,-0.0385129
39,0.3825414,0.41370407,"('exploitative', 'cooperative')",0.3825414,0.4137041,0.0311627
40,-1.6776903,-1.8171601,"('stingy', 'generous')",-1.6776903,-1.8171601,-0.1394698
41,-0.23446682,-0.32394153,"('unforgiving', 'forgiving')",-0.2344668,-0.3239415,-0.0894747
42,-3.020441,-2.9913952,"('unreliable', 'reliable')",-3.0204411,-2.9913952,0.0290459
43,0.97033274,0.9704155,"('irresponsible', 'responsible')",0.9703327,0.9704155,8.28e-05
44,-0.9485866,-0.9125902,"('prejudiced', 'unprejudiced')",-0.9485866,-0.9125902,0.0359964
45,0.018798245,-0.024824057,"('incompetent', 'competent')",0.0187982,-0.0248241,-0.0436223
46,-1.3327157,-1.3097432,"('uncompetitive', 'competitive')",-1.3327157,-1.3097432,0.0229725
47,5.1934247,5.2789464,"('stupid', 'smart')",5.1934247,5.2789464,0.0855217
48,0.4023445,0.39656788,"('unintelligent', 'intelligent')",0.4023445,0.3965679,-0.0057766
49,0.2235049,0.24766375,"('unable', 'able')",0.2235049,0.2476638,0.0241589
50,-0.71235687,-0.76951426,"('clumsy', 'skillful')",-0.7123569,-0.7695143,-0.0571574
51,0.0061884075,-0.055946276,"('uneducated', 'educated')",0.0061884,-0.0559463,-0.0621347
52,0.026433622,-0.18007189,"('irrational', 'rational')",0.0264336,-0.1800719,-0.2065055
53,0.11855967,0.055167653,"('uncreative', 'creative')",0.1185597,0.0551677,-0.063392
54,1.2401838,1.2388312,"('incapable', 'capable')",1.2401838,1.2388312,-0.0013526
55,0.36356002,0.40506175,"('incompetent', 'clever')",0.36356,0.4050618,0.0415018
56,0.5008914,0.49639025,"('impractical', 'practical')",0.5008914,0.4963903,-0.0045011
57,-2.98218,-2.9179301,"('unimaginative', 'imaginative')",-2.9821801,-2.9179301,0.06425
58,0.14026281,0.13945404,"('undiscriminating', 'discriminating')",0.1402628,0.139454,-0.0008088
59,0.03029678,-0.029539872,"('foolish', 'wise')",0.0302968,-0.0295399,-0.0598367
60,0.1986992,0.33575955,"('inefficient', 'efficient')",0.1986992,0.3357596,0.1370604
61,0.47685322,0.32338518,"('illogical', 'logical')",0.4768532,0.3233852,-0.153468
62,0.24937323,0.3218921,"('incompetent', 'brilliant')",0.2493732,0.3218921,0.0725189
63,-0.20795143,-0.18152002,"('unperceptive', 'insightful')",-0.2079514,-0.18152,0.0264314
64,-6.934619,-6.8650985,"('shy', 'confident')",-6.9346189,-6.8650985,0.0695204
65,-0.29511204,-0.13913737,"('insecure', 'secure')",-0.295112,-0.1391374,0.1559746
66,0.33852136,0.2552234,"('inactive', 'active')",0.3385214,0.2552234,-0.083298
67,-0.19057463,-0.13347395,"('doubtful', 'determined')",-0.1905746,-0.1334739,0.0571007
68,-0.76684576,-0.81129736,"('dependent', 'independent')",-0.7668458,-0.8112974,-0.0444516
69,-1.5051745,-1.6118298,"('lazy', 'industrious')",-1.5051745,-1.6118298,-0.1066553
70,0.9172636,0.9785617,"('lethargic', 'energetic')",0.9172636,0.9785617,0.0612981
71,0.8914926,0.88526547,"('diffident', 'self-confident')",0.8914926,0.8852655,-0.0062271
72,0.6638619,0.746205,"('unambitious', 'ambitious')",0.6638619,0.746205,0.0823431
73,-3.0652397,-3.0512,"('helpless', 'self-reliant')",-3.0652397,-3.0511999,0.0140398
74,0.028016016,-0.10337885,"('undedicated', 'dedicated')",0.028016,-0.1033788,-0.1313948
75,-0.9569057,-0.91030204,"('meek', 'impulsive')",-0.9569057,-0.910302,0.0466037
76,-0.036825337,0.08641125,"('anxious', 'daring')",-0.0368253,0.0864113,0.1232366
77,-1.521628,-1.355788,"('unmotivated', 'motivated')",-1.521628,-1.355788,0.16584
78,-0.8638915,-0.89920187,"('nonresilient', 'resilient')",-0.8638915,-0.8992019,-0.0353104
79,-0.06295924,-0.1050168,"('wavering', 'unwavering')",-0.0629592,-0.1050168,-0.0420576
80,-0.64083385,-0.6251165,"('dominated', 'dominating')",-0.6408339,-0.6251165,0.0157174
81,-0.64766425,-0.4796704,"('submissive', 'aggressive')",-0.6476642,-0.4796704,0.1679938
82,6.364457,6.4210825,"('poor', 'rich')",6.3644571,6.4210825,0.0566254
83,-0.4337075,-0.40950224,"('powerless', 'powerful')",-0.4337075,-0.4095022,0.0242053
84,0.45835152,0.46796146,"('inferior', 'superior')",0.4583515,0.4679615,0.00961
85,0.2858037,0.117946,"('insignificant', 'prestigious')",0.2858037,0.117946,-0.1678577
86,0.31829822,0.26005328,"('uninfluential', 'influential')",0.3182982,0.2600533,-0.0582449
87,-0.5510685,-0.49432245,"('unsuccessful', 'successful')",-0.5510685,-0.4943224,0.0567461
88,0.49369565,0.44259393,"('low', 'eminent')",0.4936956,0.4425939,-0.0511017
