,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.812607,-0.8255794,"('unsociable', 'sociable')",-0.35463703,-0.47967482,-0.583622,-0.6526271,-0.0690051
1,-1.2054193,-1.1986244,"('unfriendly', 'friendly')",1.4026256,1.3089634,0.0986031,0.0551695,-0.0434336
2,1.0026233,1.0821328,"('unlikable', 'likable')",0.6260825,0.67355907,0.8143529,0.8778459,0.063493
3,-0.23597443,-0.09974659,"('repellent', 'pleasant')",0.29694,0.30490077,0.0304828,0.1025771,0.0720943
4,-0.19044851,-0.17228489,"('disliked', 'liked')",-6.2137413,-6.2376943,-3.2020948,-3.2049897,-0.0028949
5,-1.2230715,-1.2345477,"('distant', 'outgoing')",-0.56158364,-0.5441202,-0.8923275,-0.889334,0.0029935
6,-1.6403843,-1.5565507,"('distant', 'open')",-0.28998885,-0.31303534,-0.9651866,-0.9347931,0.0303935
7,-0.4734986,-0.37273735,"('insensitive', 'sensitive')",0.07822935,0.1255175,-0.1976346,-0.1236099,0.0740247
8,-1.1377677,-1.1993328,"('unaffectionate', 'affectionate')",0.41269702,0.3711182,-0.3625353,-0.4141073,-0.051572
9,-0.99813235,-1.0222737,"('unaffectionate', 'caring')",0.6028853,0.56444424,-0.1976235,-0.2289147,-0.0312912
10,-0.46584353,-0.29509643,"('unsympathetic', 'sympathetic')",-0.58873856,-0.6149459,-0.5272911,-0.4550211,0.07227
11,-0.3079527,-0.28510904,"('unhelpful', 'helpful')",1.3628136,1.3774668,0.5274304,0.5461789,0.0187485
12,-0.31752244,-0.12326756,"('unsupportive', 'supportive')",-1.9316553,-1.8604988,-1.1245888,-0.9918832,0.1327056
13,-0.3659579,-0.46453297,"('impolite', 'polite')",-0.9027437,-0.9322527,-0.6343508,-0.6983929,-0.0640421
14,0.5026676,0.4852306,"('antisocial', 'social')",-0.14074612,-0.20819485,0.1809607,0.1385179,-0.0424428
15,0.3074824,0.09811651,"('boring', 'funny')",0.66235745,0.6047199,0.4849199,0.3514182,-0.1335017
16,-0.25570697,-0.15652792,"('unpopular', 'popular')",0.51033133,0.53379494,0.1273122,0.1886335,0.0613213
17,-0.2586362,-0.18603909,"('nasty', 'nice')",-0.31482744,-0.2916487,-0.2867318,-0.2388439,0.0478879
18,-0.040469658,0.05780834,"('disagreeable', 'welcoming')",-0.5839125,-0.6343305,-0.3121911,-0.2882611,0.02393
19,-1.0522118,-0.9614122,"('inhospitable', 'hospitable')",-0.28919572,-0.20112506,-0.6707038,-0.5812686,0.0894352
20,0.395612,0.47555894,"('rough', 'thoughtful')",1.2924194,1.2354492,0.8440157,0.855504,0.0114883
21,0.64582354,0.6562178,"('immoral', 'moral')",-0.20624173,-0.2056897,0.2197909,0.2252641,0.0054732
22,0.16281573,0.23697259,"('untrustworthy', 'trustworthy')",-0.9262037,-1.0186574,-0.381694,-0.3908424,-0.0091484
23,-0.31181565,-0.2599844,"('insincere', 'sincere')",5.155273,5.0514827,2.4217286,2.3957491,-0.0259795
24,0.50308514,0.43338236,"('dishonest', 'honest')",0.4865101,0.39880842,0.4947976,0.4160954,-0.0787022
25,-0.29128668,-0.38512564,"('egoistic', 'altruistic')",1.2881593,1.26597,0.4984363,0.4404222,-0.0580141
26,0.37572992,0.32271713,"('hardhearted', 'benevolent')",1.9039048,1.8410286,1.1398174,1.0818728,-0.0579446
27,-0.50920403,-0.49692592,"('hardhearted', 'softhearted')",1.1458657,1.1074206,0.3183308,0.3052473,-0.0130835
28,-0.16578187,-0.35874063,"('disloyal', 'loyal')",0.7883383,0.63648874,0.3112782,0.1388741,-0.1724041
29,-0.28877443,-0.3803102,"('unfair', 'fair')",-0.39537036,-0.540396,-0.3420724,-0.4603531,-0.1182807
30,0.9106294,0.94519424,"('intolerant', 'tolerant')",1.5358322,1.4530509,1.2232308,1.1991225,-0.0241083
31,-1.158038,-1.0143204,"('evil', 'good')",-0.97788906,-0.95350295,-1.0679636,-0.9839116,0.084052
32,0.36843342,0.26092228,"('unkind', 'kind')",0.7429943,0.56837595,0.5557139,0.4146491,-0.1410648
33,0.30179203,0.20139259,"('wrong', 'right')",-0.52784616,-0.568008,-0.1130271,-0.1833077,-0.0702806
34,-0.12166083,0.051958054,"('mean', 'honorable')",5.5359693,5.6065216,2.7071543,2.8292398,0.1220855
35,-0.38702038,-0.63245296,"('corrupt', 'incorrupt')",-0.2006048,-0.30117399,-0.2938126,-0.4668135,-0.1730009
36,-0.9859919,-1.0854121,"('hostile', 'amicable')",0.27854308,0.082346275,-0.3537244,-0.5015329,-0.1478085
37,0.34127474,0.3557616,"('fake', 'genuine')",0.05525961,0.0645404,0.1982672,0.210151,0.0118838
38,-0.69406325,-0.6699385,"('untruthful', 'truthful')",-0.28252184,-0.29091874,-0.4882925,-0.4804286,0.0078639
39,1.1101876,1.1892202,"('exploitative', 'cooperative')",0.2219215,0.24092013,0.6660546,0.7150701,0.0490155
