,image_male,image_female,tuple,average_male,average_female,female-male
0,-0.13003922,-0.1290878,"('unsociable', 'sociable')",-0.1300392,-0.1290878,0.0009514
1,1.7084049,1.724226,"('unfriendly', 'friendly')",1.7084049,1.724226,0.0158211
2,0.27659398,0.37288544,"('unlikable', 'likable')",0.276594,0.3728854,0.0962914
3,0.5620214,0.9022328,"('repellent', 'pleasant')",0.5620214,0.9022328,0.3402114
4,-7.086562,-6.9937563,"('disliked', 'liked')",-7.0865622,-6.9937563,0.0928059
5,-0.008614879,0.08160421,"('distant', 'outgoing')",-0.0086149,0.0816042,0.0902191
6,0.16593546,0.25390124,"('distant', 'open')",0.1659355,0.2539012,0.0879657
7,0.9986226,1.187035,"('insensitive', 'sensitive')",0.9986226,1.187035,0.1884124
8,1.3015729,1.2730458,"('unaffectionate', 'affectionate')",1.3015729,1.2730458,-0.0285271
9,1.9643368,2.1251101,"('unaffectionate', 'caring')",1.9643368,2.1251101,0.1607733
10,0.87294465,0.9359501,"('unsympathetic', 'sympathetic')",0.8729447,0.9359501,0.0630054
11,2.0791745,2.1986508,"('unhelpful', 'helpful')",2.0791745,2.1986508,0.1194763
12,-1.1533444,-0.97696894,"('unsupportive', 'supportive')",-1.1533444,-0.9769689,0.1763755
13,0.037493236,0.04052028,"('impolite', 'polite')",0.0374932,0.0405203,0.0030271
14,-0.3000826,-0.33429548,"('antisocial', 'social')",-0.3000826,-0.3342955,-0.0342129
15,0.7180668,0.49790406,"('boring', 'funny')",0.7180668,0.4979041,-0.2201627
16,-0.30641937,-0.16381729,"('unpopular', 'popular')",-0.3064194,-0.1638173,0.1426021
17,-0.16365436,-0.06177444,"('nasty', 'nice')",-0.1636544,-0.0617744,0.10188
18,-0.3883736,-0.37644488,"('disagreeable', 'welcoming')",-0.3883736,-0.3764449,0.0119287
19,-0.14560142,-0.073007725,"('inhospitable', 'hospitable')",-0.1456014,-0.0730077,0.0725937
20,0.57589763,0.3918855,"('rough', 'thoughtful')",0.5758976,0.3918855,-0.1840121
21,-0.08440975,0.041455135,"('immoral', 'moral')",-0.0844098,0.0414551,0.1258649
22,-0.9955568,-0.7977217,"('untrustworthy', 'trustworthy')",-0.9955568,-0.7977217,0.1978351
23,6.752463,6.8681617,"('insincere', 'sincere')",6.7524629,6.8681617,0.1156988
24,2.0155933,2.1122613,"('dishonest', 'honest')",2.0155933,2.1122613,0.096668
25,0.86825097,0.8568223,"('egoistic', 'altruistic')",0.868251,0.8568223,-0.0114287
26,1.2515104,0.8199453,"('hardhearted', 'benevolent')",1.2515104,0.8199453,-0.4315651
27,1.9790808,1.9049755,"('hardhearted', 'softhearted')",1.9790808,1.9049755,-0.0741053
28,1.195584,1.0605032,"('disloyal', 'loyal')",1.1955841,1.0605032,-0.1350809
29,-1.0779322,-1.1783112,"('unfair', 'fair')",-1.0779322,-1.1783112,-0.100379
30,0.8585457,0.83626527,"('intolerant', 'tolerant')",0.8585457,0.8362653,-0.0222804
31,-1.4158708,-1.4815841,"('evil', 'good')",-1.4158708,-1.4815841,-0.0657133
32,1.5883577,1.4658966,"('unkind', 'kind')",1.5883577,1.4658966,-0.1224611
33,0.09084087,0.16420726,"('wrong', 'right')",0.0908409,0.1642073,0.0733664
34,4.6284103,4.9553165,"('mean', 'honorable')",4.6284103,4.9553165,0.3269062
35,-0.9496836,-1.0988076,"('corrupt', 'incorrupt')",-0.9496836,-1.0988076,-0.149124
36,-0.66176164,-0.80336386,"('hostile', 'amicable')",-0.6617616,-0.8033639,-0.1416023
37,0.7737841,0.74744266,"('fake', 'genuine')",0.7737841,0.7474427,-0.0263414
38,0.3456197,0.42828625,"('untruthful', 'truthful')",0.3456197,0.4282863,0.0826666
39,-0.07057029,-0.10231772,"('exploitative', 'cooperative')",-0.0705703,-0.1023177,-0.0317474
40,-1.2635897,-1.2312292,"('stingy', 'generous')",-1.2635897,-1.2312292,0.0323605
41,0.23844634,-0.025059883,"('unforgiving', 'forgiving')",0.2384463,-0.0250599,-0.2635062
42,-2.7833369,-2.5516384,"('unreliable', 'reliable')",-2.7833369,-2.5516384,0.2316985
43,1.2231258,1.3059773,"('irresponsible', 'responsible')",1.2231258,1.3059773,0.0828515
44,-1.6041722,-1.6364031,"('prejudiced', 'unprejudiced')",-1.6041722,-1.6364031,-0.0322309
45,0.0745756,0.14251007,"('incompetent', 'competent')",0.0745756,0.1425101,0.0679345
46,-0.9524865,-0.8434508,"('uncompetitive', 'competitive')",-0.9524865,-0.8434508,0.1090357
47,4.911843,5.0369296,"('stupid', 'smart')",4.9118428,5.0369296,0.1250868
48,0.9349697,0.82042927,"('unintelligent', 'intelligent')",0.9349697,0.8204293,-0.1145404
49,0.35184497,0.4624002,"('unable', 'able')",0.351845,0.4624002,0.1105552
50,-0.16326717,-0.09557077,"('clumsy', 'skillful')",-0.1632672,-0.0955708,0.0676964
51,0.8768324,0.8470721,"('uneducated', 'educated')",0.8768324,0.8470721,-0.0297603
52,-0.052413043,-0.16079356,"('irrational', 'rational')",-0.052413,-0.1607936,-0.1083806
53,0.2620047,0.2124618,"('uncreative', 'creative')",0.2620047,0.2124618,-0.0495429
54,1.1611238,1.4006478,"('incapable', 'capable')",1.1611238,1.4006478,0.239524
55,0.76828665,0.82635677,"('incompetent', 'clever')",0.7682866,0.8263568,0.0580702
56,0.3199817,0.50773644,"('impractical', 'practical')",0.3199817,0.5077364,0.1877547
57,-2.3588688,-2.3069084,"('unimaginative', 'imaginative')",-2.3588688,-2.3069084,0.0519604
58,0.3257984,0.26566356,"('undiscriminating', 'discriminating')",0.3257984,0.2656636,-0.0601348
59,0.30198392,0.29428172,"('foolish', 'wise')",0.3019839,0.2942817,-0.0077022
60,0.5714038,0.76687336,"('inefficient', 'efficient')",0.5714038,0.7668734,0.1954696
61,0.42976633,0.19322556,"('illogical', 'logical')",0.4297663,0.1932256,-0.2365407
62,0.99465364,1.3476843,"('incompetent', 'brilliant')",0.9946536,1.3476843,0.3530307
63,0.4819482,0.6388829,"('unperceptive', 'insightful')",0.4819482,0.6388829,0.1569347
64,-6.667723,-6.3531733,"('shy', 'confident')",-6.6677232,-6.3531733,0.3145499
65,-0.25018513,-0.10410133,"('insecure', 'secure')",-0.2501851,-0.1041013,0.1460838
66,-0.5640483,-0.6156343,"('inactive', 'active')",-0.5640483,-0.6156343,-0.051586
67,-0.48162663,-0.6371744,"('doubtful', 'determined')",-0.4816266,-0.6371744,-0.1555478
68,-0.72913575,-0.63770694,"('dependent', 'independent')",-0.7291358,-0.6377069,0.0914289
69,-1.7622604,-1.7368579,"('lazy', 'industrious')",-1.7622604,-1.7368579,0.0254025
