,walgreens_male,walgreens_female,tuple,boots_male,boots_female,alliance_male,alliance_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.71998984,-0.7118298,"('unsociable', 'sociable')",0.61351657,0.6178217,1.8656342,1.691598,-0.056074195,-0.1903324,0.4257717,0.3518144,-0.0739573
1,-1.0395728,-1.0610112,"('unfriendly', 'friendly')",0.6789019,0.619861,-0.32338533,-0.39340696,2.1067758,1.8397559,0.3556799,0.2512997,-0.1043802
2,0.20423643,0.19570944,"('unlikable', 'likable')",-0.6589541,-0.6832777,1.6034034,1.6927059,0.5496857,0.69128454,0.4245929,0.4741055,0.0495126
3,-1.5265715,-1.3702018,"('repellent', 'pleasant')",-1.759373,-1.4328891,0.13657463,0.24980798,-0.13698006,-0.050365895,-0.8215874,-0.6509122,0.1706752
4,0.7574344,0.72647417,"('disliked', 'liked')",-0.024123732,-0.14310077,-0.9408257,-0.9251505,-5.9105067,-5.977644,-1.5295055,-1.5798552,-0.0503497
5,0.6121146,0.5190944,"('distant', 'outgoing')",0.35204625,0.21256697,-1.4861202,-1.4207652,-0.026900385,-0.052236617,-0.1372149,-0.1853351,-0.0481202
6,0.43709153,0.40476778,"('distant', 'open')",-0.2536368,-0.35370702,-1.2995207,-1.2390417,0.5581829,0.4870493,-0.1394708,-0.1752329,-0.0357621
7,-0.9752895,-0.83061385,"('insensitive', 'sensitive')",0.045637846,0.25254938,1.0772477,1.1453041,0.42822513,0.5015002,0.1439553,0.267185,0.1232297
8,-0.659959,-0.6963095,"('unaffectionate', 'affectionate')",0.545438,0.44974706,-1.0584021,-1.0872772,0.7369947,0.5739738,-0.1089821,-0.1899665,-0.0809844
9,-0.7618438,-0.784057,"('unaffectionate', 'caring')",1.0425426,0.9433083,-0.30294186,-0.32834566,1.3087068,1.194079,0.3216159,0.2562461,-0.0653698
10,-2.3904562,-2.2760885,"('unsympathetic', 'sympathetic')",-0.32630175,-0.1670161,1.0928086,1.0681143,0.26981544,0.14497235,-0.3385335,-0.3075045,0.031029
11,-0.8282437,-0.8035644,"('unhelpful', 'helpful')",0.69281405,0.6863448,1.5982599,1.5612056,2.6074238,2.6319315,1.0175636,1.0189793,0.0014157
12,-0.28655726,-0.1906136,"('unsupportive', 'supportive')",0.99790764,1.0693868,0.5107685,0.57501566,-1.3209898,-1.3348093,-0.0247177,0.0297449,0.0544626
13,-0.5837908,-0.5362756,"('impolite', 'polite')",0.32878938,0.3517552,1.6494142,1.5101485,-0.15289402,-0.08388325,0.3103797,0.3104362,5.65e-05
14,-0.9224433,-0.819764,"('antisocial', 'social')",0.94196635,1.0567604,1.9568845,1.9237297,-0.6054586,-0.5559495,0.3427372,0.4011942,0.058457
15,0.05593386,-0.05276004,"('boring', 'funny')",0.5765077,0.41967267,0.21577922,0.115328126,0.063845344,0.0863305,0.2280165,0.1421428,-0.0858737
16,0.73804,0.8105476,"('unpopular', 'popular')",-1.0952674,-1.064065,-1.7937047,-1.6639223,0.34252256,0.39482325,-0.4521024,-0.3806541,0.0714483
17,0.112148464,0.12160401,"('nasty', 'nice')",-1.0769385,-0.9301901,-0.61193275,-0.525913,-0.79628944,-0.7419341,-0.5932531,-0.5191083,0.0741448
18,-1.0811979,-0.9898533,"('disagreeable', 'welcoming')",-1.6788628,-1.5022944,-0.86510056,-0.74141955,-0.6443753,-0.61699975,-1.0673842,-0.9626417,0.1047425
19,0.35458273,0.32483843,"('inhospitable', 'hospitable')",-1.2833794,-1.3448033,-1.4232142,-1.3737189,-0.07061682,-0.041791357,-0.6056569,-0.6088688,-0.0032119
20,-0.2682149,-0.15427774,"('rough', 'thoughtful')",-0.5454637,-0.41445827,0.71190286,0.74591446,1.0411935,1.0291783,0.2348544,0.3015892,0.0667348
21,-1.3793474,-1.2544802,"('immoral', 'moral')",-0.32674414,-0.16321385,1.563914,1.543948,-0.89670396,-0.81502473,-0.2597204,-0.1721927,0.0875277
22,-1.0730596,-1.0171658,"('untrustworthy', 'trustworthy')",-1.0718992,-0.94746554,1.8137378,1.7522905,-1.3026953,-1.2090793,-0.4084791,-0.355355,0.0531241
23,-1.242156,-1.2124387,"('insincere', 'sincere')",0.17995451,0.31323227,1.0987424,1.0266324,5.73635,5.6378326,1.4432228,1.4413147,-0.0019081
24,-1.5604367,-1.5283526,"('dishonest', 'honest')",0.5325031,0.57463384,1.7726052,1.7281816,1.1005249,1.0262356,0.4612991,0.4501746,-0.0111245
25,-0.2828114,-0.20079692,"('egoistic', 'altruistic')",0.18376207,0.17680222,-0.44176325,-0.4095341,1.2141806,1.1525918,0.168342,0.1797658,0.0114238
26,-0.45484865,-0.5099315,"('hardhearted', 'benevolent')",1.4069641,1.2719179,0.8415388,0.78937477,1.8766849,1.65384,0.9175848,0.8013003,-0.1162845
27,-1.0745159,-0.97706926,"('hardhearted', 'softhearted')",-0.09958913,-0.052831233,0.5111819,0.5604963,1.5261118,1.415798,0.2157972,0.2365984,0.0208012
28,-0.9799405,-0.97779256,"('disloyal', 'loyal')",1.0437933,0.9899029,0.96187407,0.86442626,1.355143,1.1929595,0.5952175,0.517374,-0.0778435
29,0.17095262,0.1754155,"('unfair', 'fair')",0.013906451,0.034752283,-0.6952629,-0.6892927,-0.33650237,-0.44740617,-0.2117266,-0.2316328,-0.0199062
30,-1.3654186,-1.2966651,"('intolerant', 'tolerant')",0.16916995,0.29126695,0.76609766,0.775247,0.9615671,1.0035486,0.132854,0.1933494,0.0604954
31,0.012290512,0.0015200945,"('evil', 'good')",-0.9677357,-0.94948256,-2.3657188,-2.2477522,-1.2533518,-1.3551978,-1.143629,-1.1377281,0.0059009
32,-0.40931502,-0.42224398,"('unkind', 'kind')",1.2759057,1.199495,1.1065998,0.983994,1.2116139,1.0780472,0.7962011,0.709823,-0.0863781
33,0.5628581,0.5240489,"('wrong', 'right')",0.29608214,0.16285782,-0.36746818,-0.4139176,-0.723004,-0.71471673,-0.057883,-0.1104319,-0.0525489
34,0.09320866,0.23743008,"('mean', 'honorable')",-0.15856484,0.09681672,1.1501023,1.2426974,5.6837783,5.8259363,1.692131,1.8507202,0.1585892
35,1.1269555,0.98150337,"('corrupt', 'incorrupt')",-0.47316647,-0.63988835,-1.5414913,-1.5736005,0.09840356,-0.07009055,-0.1973247,-0.325519,-0.1281943
36,0.6520687,0.5605109,"('hostile', 'amicable')",-0.3321898,-0.39196843,-1.4246788,-1.4271655,-0.073934436,-0.17865562,-0.2946836,-0.3593197,-0.0646361
37,-0.18492368,-0.16001022,"('fake', 'genuine')",0.23585929,0.29736596,0.8889585,0.8763509,0.5780693,0.5791323,0.3794909,0.3982098,0.0187189
38,-0.5147316,-0.48835224,"('untruthful', 'truthful')",-0.08797944,-0.06549012,-0.008701373,0.016014561,0.6037367,0.5829534,-0.0019189,0.0112814,0.0132003
39,0.5201177,0.5524037,"('exploitative', 'cooperative')",1.484106,1.486767,2.30354,2.3426747,-0.07847528,-0.05583138,1.057322,1.0815035,0.0241815
