,ametek_male,ametek_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.70863855,-0.7798086,"('unsociable', 'sociable')",-0.32849574,-0.46110135,-0.5185671,-0.620455,-0.1018879
1,-0.7529581,-0.79791516,"('unfriendly', 'friendly')",1.5460918,1.3735994,0.3965668,0.2878421,-0.1087247
2,1.0389678,1.1006187,"('unlikable', 'likable')",0.7435094,0.8216475,0.8912386,0.9611331,0.0698945
3,-0.05037709,0.039677583,"('repellent', 'pleasant')",0.25480473,0.30051267,0.1022138,0.1700951,0.0678813
4,-0.23737553,-0.3024329,"('disliked', 'liked')",-5.752318,-5.921831,-2.9948468,-3.1121321,-0.1172853
5,-0.6534695,-0.6395142,"('distant', 'outgoing')",-0.5218286,-0.56635654,-0.587649,-0.6029354,-0.0152864
6,-0.88236743,-0.8510781,"('distant', 'open')",-0.09103314,-0.16239962,-0.4867003,-0.5067388,-0.0200385
7,-0.22394367,-0.21611549,"('insensitive', 'sensitive')",0.34473562,0.35385785,0.060396,0.0688712,0.0084752
8,-0.67488647,-0.7190507,"('unaffectionate', 'affectionate')",0.6270871,0.51456124,-0.0238997,-0.1022447,-0.078345
9,-0.99597275,-1.0528773,"('unaffectionate', 'caring')",0.65399456,0.5831616,-0.1709891,-0.2348579,-0.0638688
10,-1.2117035,-1.1560932,"('unsympathetic', 'sympathetic')",-0.6333556,-0.6503678,-0.9225296,-0.9032305,0.0192991
11,-0.14964584,-0.10595642,"('unhelpful', 'helpful')",1.4018065,1.4573731,0.6260803,0.6757084,0.0496281
12,-0.7599489,-0.6193094,"('unsupportive', 'supportive')",-1.964155,-1.9712248,-1.362052,-1.2952671,0.0667849
13,-0.66197324,-0.6695757,"('impolite', 'polite')",-0.66177547,-0.61791116,-0.6618744,-0.6437434,0.018131
14,-0.03009683,-0.06075664,"('antisocial', 'social')",-0.17055386,-0.20900589,-0.1003253,-0.1348813,-0.034556
15,0.7383775,0.61929685,"('boring', 'funny')",0.7527359,0.7312336,0.7455567,0.6752652,-0.0702915
16,-0.2966122,-0.314345,"('unpopular', 'popular')",0.6572323,0.67724335,0.18031,0.1814492,0.0011392
17,-0.43703666,-0.37524742,"('nasty', 'nice')",-0.19752479,-0.16211317,-0.3172807,-0.2686803,0.0486004
18,0.1172574,0.1819117,"('disagreeable', 'welcoming')",-0.237731,-0.27895907,-0.0602368,-0.0485237,0.0117131
19,-1.0256556,-0.98385596,"('inhospitable', 'hospitable')",-0.26107958,-0.21473344,-0.6433676,-0.5992947,0.0440729
20,-0.17727986,-0.16213247,"('rough', 'thoughtful')",1.1861844,1.1559069,0.5044523,0.4968872,-0.0075651
