,cheetah_male,cheetah_female,tuple,average_male,average_female,female-male
0,0.22906752,0.10084961,"('unsociable', 'sociable')",0.2290675,0.1008496,-0.1282179
1,-0.85711616,-0.9687071,"('unfriendly', 'friendly')",-0.8571162,-0.9687071,-0.1115909
2,0.7488464,0.6969205,"('unlikable', 'likable')",0.7488464,0.6969205,-0.0519259
3,-1.0055858,-0.877502,"('repellent', 'pleasant')",-1.0055858,-0.877502,0.1280838
4,-1.0129831,-1.1786987,"('disliked', 'liked')",-1.0129831,-1.1786987,-0.1657156
5,-0.437528,-0.45748985,"('distant', 'outgoing')",-0.437528,-0.4574898,-0.0199618
6,-0.81370807,-0.83804876,"('distant', 'open')",-0.8137081,-0.8380488,-0.0243407
7,-0.18521589,-0.13225862,"('insensitive', 'sensitive')",-0.1852159,-0.1322586,0.0529573
8,-0.58327776,-0.6521355,"('unaffectionate', 'affectionate')",-0.5832778,-0.6521355,-0.0688577
9,-0.49622473,-0.5169227,"('unaffectionate', 'caring')",-0.4962247,-0.5169227,-0.020698
10,-1.0997198,-0.9771094,"('unsympathetic', 'sympathetic')",-1.0997198,-0.9771094,0.1226104
11,0.14950919,0.26300177,"('unhelpful', 'helpful')",0.1495092,0.2630018,0.1134926
12,-1.035247,-0.97058415,"('unsupportive', 'supportive')",-1.035247,-0.9705842,0.0646628
13,-0.27537927,-0.2447386,"('impolite', 'polite')",-0.2753793,-0.2447386,0.0306407
14,0.4033982,0.3203923,"('antisocial', 'social')",0.4033982,0.3203923,-0.0830059
15,1.235467,1.0848615,"('boring', 'funny')",1.235467,1.0848615,-0.1506055
16,0.6300911,0.6172429,"('unpopular', 'popular')",0.6300911,0.6172429,-0.0128482
17,0.2656835,0.27764896,"('nasty', 'nice')",0.2656835,0.277649,0.0119655
18,-0.28905123,-0.36812407,"('disagreeable', 'welcoming')",-0.2890512,-0.3681241,-0.0790729
19,-0.38324383,-0.35339424,"('inhospitable', 'hospitable')",-0.3832438,-0.3533942,0.0298496
20,-0.18064395,-0.14437318,"('rough', 'thoughtful')",-0.1806439,-0.1443732,0.0362707
21,-0.18439409,-0.08116076,"('immoral', 'moral')",-0.1843941,-0.0811608,0.1032333
22,-0.2949562,-0.310015,"('untrustworthy', 'trustworthy')",-0.2949562,-0.310015,-0.0150588
23,0.61659545,0.67902374,"('insincere', 'sincere')",0.6165954,0.6790237,0.0624283
24,-0.9450714,-0.9752722,"('dishonest', 'honest')",-0.9450714,-0.9752722,-0.0302008
25,0.13438348,-0.055920005,"('egoistic', 'altruistic')",0.1343835,-0.05592,-0.1903035
26,0.06565835,-0.121772215,"('hardhearted', 'benevolent')",0.0656584,-0.1217722,-0.1874306
27,0.33733207,0.38264883,"('hardhearted', 'softhearted')",0.3373321,0.3826488,0.0453167
28,-0.9597465,-1.0628611,"('disloyal', 'loyal')",-0.9597465,-1.0628611,-0.1031146
29,-0.4262013,-0.5021748,"('unfair', 'fair')",-0.4262013,-0.5021748,-0.0759735
30,0.3048219,0.31675464,"('intolerant', 'tolerant')",0.3048219,0.3167546,0.0119327
31,-0.89695936,-0.9515253,"('evil', 'good')",-0.8969594,-0.9515253,-0.0545659
32,0.4895632,0.45617628,"('unkind', 'kind')",0.4895632,0.4561763,-0.0333869
33,-0.14701405,-0.24668194,"('wrong', 'right')",-0.1470141,-0.2466819,-0.0996678
34,0.903187,1.0286119,"('mean', 'honorable')",0.903187,1.0286119,0.1254249
35,0.6051837,0.39510912,"('corrupt', 'incorrupt')",0.6051837,0.3951091,-0.2100746
36,-0.59171844,-0.7446247,"('hostile', 'amicable')",-0.5917184,-0.7446247,-0.1529063
37,-0.009426475,-0.024023186,"('fake', 'genuine')",-0.0094265,-0.0240232,-0.0145967
38,-0.18705927,-0.1283592,"('untruthful', 'truthful')",-0.1870593,-0.1283592,0.0587001
39,0.43077266,0.41994163,"('exploitative', 'cooperative')",0.4307727,0.4199416,-0.0108311
40,-1.667795,-1.8025786,"('stingy', 'generous')",-1.6677949,-1.8025786,-0.1347837
41,-0.41410667,-0.46958244,"('unforgiving', 'forgiving')",-0.4141067,-0.4695824,-0.0554757
42,-0.3352238,-0.3279301,"('unreliable', 'reliable')",-0.3352238,-0.3279301,0.0072937
43,-0.6409267,-0.54150355,"('irresponsible', 'responsible')",-0.6409267,-0.5415035,0.0994232
44,0.06818951,0.062479008,"('prejudiced', 'unprejudiced')",0.0681895,0.062479,-0.0057105
45,-0.3444456,-0.31953987,"('incompetent', 'competent')",-0.3444456,-0.3195399,0.0249057
46,-0.38551858,-0.3161756,"('uncompetitive', 'competitive')",-0.3855186,-0.3161756,0.069343
47,1.4168353,1.579982,"('stupid', 'smart')",1.4168353,1.579982,0.1631467
48,-0.023876958,0.013891742,"('unintelligent', 'intelligent')",-0.023877,0.0138917,0.0377687
49,0.4041802,0.5428423,"('unable', 'able')",0.4041802,0.5428423,0.1386621
50,0.7756874,0.83742315,"('clumsy', 'skillful')",0.7756874,0.8374231,0.0617357
51,0.26160923,0.19334975,"('uneducated', 'educated')",0.2616092,0.1933497,-0.0682595
52,-0.315464,-0.51490664,"('irrational', 'rational')",-0.315464,-0.5149066,-0.1994426
53,-1.3178103,-1.3458778,"('uncreative', 'creative')",-1.3178103,-1.3458778,-0.0280675
54,0.24949038,0.24906674,"('incapable', 'capable')",0.2494904,0.2490667,-0.0004237
55,-0.061775476,0.089500934,"('incompetent', 'clever')",-0.0617755,0.0895009,0.1512764
56,0.5991062,0.584697,"('impractical', 'practical')",0.5991062,0.584697,-0.0144092
57,-1.8509257,-1.8901509,"('unimaginative', 'imaginative')",-1.8509257,-1.8901509,-0.0392252
58,-0.27788174,-0.267576,"('undiscriminating', 'discriminating')",-0.2778817,-0.267576,0.0103057
59,0.19675624,0.15566678,"('foolish', 'wise')",0.1967562,0.1556668,-0.0410894
60,0.5254274,0.6752256,"('inefficient', 'efficient')",0.5254274,0.6752256,0.1497982
61,-0.65095544,-0.76092976,"('illogical', 'logical')",-0.6509554,-0.7609298,-0.1099744
62,0.78011584,0.8621928,"('incompetent', 'brilliant')",0.7801158,0.8621928,0.082077
63,0.28827184,0.39805764,"('unperceptive', 'insightful')",0.2882718,0.3980576,0.1097858
64,-1.6212413,-1.7747301,"('shy', 'confident')",-1.6212413,-1.7747301,-0.1534888
65,-0.50721514,-0.44878733,"('insecure', 'secure')",-0.5072151,-0.4487873,0.0584278
66,-0.6963151,-0.7681348,"('inactive', 'active')",-0.6963151,-0.7681348,-0.0718197
67,0.59775794,0.5725204,"('doubtful', 'determined')",0.5977579,0.5725204,-0.0252375
