,pug_male,pug_female,tuple,average_male,average_female,female-male
0,0.3435506,0.08072023,"('unsociable', 'sociable')",0.3435506,0.0807202,-0.2628304
1,-0.17223085,-0.27449894,"('unfriendly', 'friendly')",-0.1722309,-0.2744989,-0.102268
2,0.4595064,0.45092678,"('unlikable', 'likable')",0.4595064,0.4509268,-0.0085796
3,-0.80740434,-0.78335005,"('repellent', 'pleasant')",-0.8074043,-0.7833501,0.0240542
4,-3.194749,-3.1088061,"('disliked', 'liked')",-3.1947491,-3.1088061,0.085943
5,-0.78361154,-0.765357,"('distant', 'outgoing')",-0.7836115,-0.765357,0.0182545
6,-0.6484699,-0.6187043,"('distant', 'open')",-0.6484699,-0.6187043,0.0297656
7,0.07863064,-0.058784105,"('insensitive', 'sensitive')",0.0786306,-0.0587841,-0.1374147
8,-0.2984929,-0.3058631,"('unaffectionate', 'affectionate')",-0.2984929,-0.3058631,-0.0073702
9,-0.19026609,-0.2038886,"('unaffectionate', 'caring')",-0.1902661,-0.2038886,-0.0136225
10,-0.08745657,-0.058934823,"('unsympathetic', 'sympathetic')",-0.0874566,-0.0589348,0.0285218
11,0.89834267,0.8586463,"('unhelpful', 'helpful')",0.8983427,0.8586463,-0.0396964
12,-1.6071267,-1.6037664,"('unsupportive', 'supportive')",-1.6071267,-1.6037664,0.0033603
13,-0.12857758,-0.1534408,"('impolite', 'polite')",-0.1285776,-0.1534408,-0.0248632
14,-0.3482359,-0.50393164,"('antisocial', 'social')",-0.3482359,-0.5039316,-0.1556957
15,0.8886544,0.8211874,"('boring', 'funny')",0.8886544,0.8211874,-0.067467
16,-0.0109087415,-0.0308066,"('unpopular', 'popular')",-0.0109087,-0.0308066,-0.0198979
17,-0.24587753,-0.16606499,"('nasty', 'nice')",-0.2458775,-0.166065,0.0798125
18,0.00692885,-0.0958245,"('disagreeable', 'welcoming')",0.0069288,-0.0958245,-0.1027533
19,0.106909536,0.23541008,"('inhospitable', 'hospitable')",0.1069095,0.2354101,0.1285006
20,-0.39375773,-0.42866883,"('rough', 'thoughtful')",-0.3937577,-0.4286688,-0.0349111
21,-0.2414489,-0.13625778,"('immoral', 'moral')",-0.2414489,-0.1362578,0.1051911
22,-0.2799775,-0.4048775,"('untrustworthy', 'trustworthy')",-0.2799775,-0.4048775,-0.1249
23,2.8058364,2.6779323,"('insincere', 'sincere')",2.8058364,2.6779323,-0.1279041
24,0.5155294,0.4891006,"('dishonest', 'honest')",0.5155294,0.4891006,-0.0264288
25,0.48542786,0.38096613,"('egoistic', 'altruistic')",0.4854279,0.3809661,-0.1044618
26,0.49007854,0.2234132,"('hardhearted', 'benevolent')",0.4900785,0.2234132,-0.2666653
27,0.44440427,0.4166247,"('hardhearted', 'softhearted')",0.4444043,0.4166247,-0.0277796
28,0.2912869,0.25663382,"('disloyal', 'loyal')",0.2912869,0.2566338,-0.0346531
29,-0.31628793,-0.3986575,"('unfair', 'fair')",-0.3162879,-0.3986575,-0.0823696
30,1.1946249,1.0741304,"('intolerant', 'tolerant')",1.1946249,1.0741304,-0.1204945
31,-1.1513448,-1.2020352,"('evil', 'good')",-1.1513448,-1.2020352,-0.0506904
32,0.9826603,0.8963634,"('unkind', 'kind')",0.9826603,0.8963634,-0.0862969
33,-0.41009337,-0.37260842,"('wrong', 'right')",-0.4100934,-0.3726084,0.037485
34,1.920595,2.0446644,"('mean', 'honorable')",1.920595,2.0446644,0.1240694
