,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,female-male
0,-2.438289,-2.2920556,"('unsociable', 'sociable')",-0.6958296,-0.93957376,-0.6968368,-0.6988884,-1.2769852,-1.3101726,-0.0331874
1,0.44715732,0.45683607,"('unfriendly', 'friendly')",1.3281375,1.1267465,1.9557933,1.8371363,1.2436961,1.1402396,-0.1034565
2,0.22852641,0.26560006,"('unlikable', 'likable')",0.57884943,0.46310276,0.3603436,0.44810957,0.3892398,0.3922708,0.003031
3,-1.3794917,-1.1564871,"('repellent', 'pleasant')",-0.2620674,-0.22815046,0.21619111,0.2288435,-0.4751227,-0.3852647,0.089858
4,0.7811963,0.7489948,"('disliked', 'liked')",1.5067989,1.5352498,-6.969458,-6.966596,-1.5604877,-1.5607839,-0.0002962
5,1.7875872,1.7641824,"('distant', 'outgoing')",1.5227283,1.6413901,0.13861342,0.23520775,1.149643,1.2135934,0.0639504
6,1.4113977,1.3478771,"('distant', 'open')",1.5099779,1.6405799,0.57124573,0.6765604,1.1642071,1.2216725,0.0574654
7,-1.0211979,-0.84355676,"('insensitive', 'sensitive')",-0.06609636,-0.05398772,0.38606802,0.43390065,-0.2337421,-0.1545479,0.0791942
8,0.28649658,0.033733234,"('unaffectionate', 'affectionate')",1.1692489,1.038666,1.3941629,1.3154056,0.9499695,0.795935,-0.1540345
9,0.36753887,0.32328594,"('unaffectionate', 'caring')",1.6232233,1.5705125,1.8247381,1.805572,1.2718334,1.2331235,-0.0387099
10,-2.4136393,-2.173356,"('unsympathetic', 'sympathetic')",-0.87301886,-0.77558565,-0.1337261,-0.10007016,-1.1401281,-1.0163373,0.1237908
11,-1.3365805,-1.3097429,"('unhelpful', 'helpful')",-1.0139191,-1.0217402,1.4795934,1.5665241,-0.2903021,-0.2549863,0.0353158
12,-0.074805915,0.06378436,"('unsupportive', 'supportive')",1.54131,1.7006164,-1.5817658,-1.4290864,-0.0384206,0.1117714,0.150192
13,-1.6783385,-1.7234551,"('impolite', 'polite')",-1.2008779,-1.2972425,-0.66180205,-0.6514446,-1.1803395,-1.2240474,-0.0437079
14,-2.1597648,-2.101771,"('antisocial', 'social')",-0.32587528,-0.30920154,-0.85958326,-0.8760069,-1.1150745,-1.0956598,0.0194147
15,1.1023202,1.1249079,"('boring', 'funny')",0.8313335,0.8622683,0.76770985,0.8142623,0.9004545,0.9338128,0.0333583
16,0.8614942,0.8028644,"('unpopular', 'popular')",0.30692396,0.1913394,-0.17280063,-0.31388777,0.3318725,0.226772,-0.1051005
17,0.7667545,0.82821846,"('nasty', 'nice')",0.73335147,0.8811475,-0.09543659,-0.03242778,0.4682231,0.5589794,0.0907563
18,0.9823676,1.0117985,"('disagreeable', 'welcoming')",-0.21232471,-0.13973075,-0.8213597,-0.76575035,-0.0171056,0.0354391,0.0525447
19,1.2938204,1.4127343,"('inhospitable', 'hospitable')",1.2019643,1.2464939,0.37313238,0.44601262,0.9563057,1.0350803,0.0787746
20,-0.32729012,-0.21486345,"('rough', 'thoughtful')",-0.0049402863,-0.04689316,0.12848325,0.14184798,-0.0679157,-0.0399695,0.0279462
21,-1.8024008,-1.6117141,"('immoral', 'moral')",-0.09886571,-0.047487404,-1.1761346,-1.0497078,-1.0258004,-0.9029698,0.1228306
22,-0.57456446,-0.49784032,"('untrustworthy', 'trustworthy')",-0.040171728,-0.12834138,-0.8501333,-0.8093545,-0.4882898,-0.478512,0.0097778
23,-1.2019906,-1.0793606,"('insincere', 'sincere')",-0.85052025,-0.9362372,5.6285396,5.599751,1.1920096,1.1947177,0.0027081
