,w_male,w_female,tuple,p_male,p_female,x_male,x_female,energy_male,energy_female,inc_male,inc_female,average_male,average_female,female-male
0,0.6434007,0.5367105,"('unsociable', 'sociable')",0.75183225,0.6081417,0.034135193,-0.059267107,0.3333967,0.15013126,-0.32350346,-0.45888343,0.2878523,0.1553666,-0.1324857
1,-1.0665421,-1.0634944,"('unfriendly', 'friendly')",-0.38309458,-0.3876826,-1.3984487,-1.3224999,0.107785344,-0.07052534,1.0752347,0.9293456,-0.3330131,-0.3829713,-0.0499582
2,1.7029843,1.6881821,"('unlikable', 'likable')",1.5664202,1.6036943,1.3026648,1.4325128,1.1387932,1.0673336,0.79804766,0.8862576,1.3017819,1.3355961,0.0338142
3,1.1188738,1.2405728,"('repellent', 'pleasant')",0.8503312,0.79714394,0.6076905,0.7770151,-0.089181736,0.025973568,0.3334911,0.36317962,0.564241,0.6407771,0.0765361
4,-0.7187022,-0.8793284,"('disliked', 'liked')",0.59225607,0.49789613,-1.9470481,-1.9643914,0.4456333,0.34493774,-4.89678,-5.0018444,-1.3049282,-1.4005461,-0.0956179
5,-1.3774631,-1.3425786,"('distant', 'outgoing')",-0.33339006,-0.1848356,-1.3543031,-1.2577605,-0.05357962,-0.003639698,-0.32990763,-0.30312297,-0.6897287,-0.6183875,0.0713412
6,-1.8473155,-1.7738515,"('distant', 'open')",-0.28630477,-0.13323998,-1.0641619,-0.93961793,-0.7672595,-0.77278054,-0.43825206,-0.4184559,-0.8806587,-0.8075892,0.0730695
7,0.38584185,0.4468879,"('insensitive', 'sensitive')",-0.26071134,-0.24827424,0.13749611,0.13526924,0.86860824,0.8744497,0.89325607,0.92403007,0.4048982,0.4264725,0.0215743
8,-1.9034749,-1.9591217,"('unaffectionate', 'affectionate')",-1.3350224,-1.4176383,-0.5138927,-0.43919432,-0.63493747,-0.7544675,-0.22946988,-0.3105099,-0.9233594,-0.9761863,-0.0528269
9,-0.22847946,-0.26548728,"('unaffectionate', 'caring')",0.29831108,0.25940293,-0.13376294,-0.03901933,0.4366348,0.36127648,0.5183299,0.46245354,0.1782067,0.1557253,-0.0224814
