,accenture_male,accenture_female,tuple,plc_male,plc_female,ireland_male,ireland_female,average_male,average_female,female-male
0,-1.4261363,-1.3623024,"('unsociable', 'sociable')",-0.9032324,-1.0030093,-0.7762392,-0.75909626,-1.0352026,-1.0414693,-0.0062667
1,-0.30128568,-0.28577107,"('unfriendly', 'friendly')",1.1366093,0.8401442,2.157103,2.1212573,0.9974755,0.8918769,-0.1055986
2,0.9341381,0.9274771,"('unlikable', 'likable')",1.0969008,1.0573906,1.0385486,1.1132367,1.0231959,1.0327015,0.0095056
3,-0.88819313,-0.7835925,"('repellent', 'pleasant')",-0.8715135,-0.8120106,0.03176049,0.08155921,-0.5759821,-0.5046813,0.0713008
4,0.028831441,0.011797581,"('disliked', 'liked')",0.5459093,0.38432753,-5.2144237,-5.2465634,-1.5465609,-1.6168127,-0.0702518
5,-0.4606952,-0.432945,"('distant', 'outgoing')",0.23898865,0.07739493,0.20685607,0.17972709,-0.0049502,-0.0586077,-0.0536575
6,-1.048682,-1.0180454,"('distant', 'open')",-0.07975155,-0.22779804,0.70239335,0.6588517,-0.1420134,-0.1956639,-0.0536505
7,-0.4107241,-0.38241404,"('insensitive', 'sensitive')",0.2703391,0.3073606,0.9533756,1.0295228,0.2709968,0.3181564,0.0471596
8,-0.6536718,-0.7188477,"('unaffectionate', 'affectionate')",0.5493138,0.4117942,1.2882586,1.1937262,0.3946335,0.2955576,-0.0990759
9,-0.881727,-0.9407689,"('unaffectionate', 'caring')",0.82244724,0.68045384,1.8353167,1.8150339,0.5920123,0.5182396,-0.0737727
10,-0.7891721,-0.73091674,"('unsympathetic', 'sympathetic')",-1.238148,-1.1957747,0.06444564,0.20932817,-0.6542915,-0.5724544,0.0818371
11,-1.1475604,-1.1385814,"('unhelpful', 'helpful')",-0.93335426,-0.82826036,1.3226496,1.4296647,-0.252755,-0.179059,0.073696
12,-0.70806605,-0.673316,"('unsupportive', 'supportive')",0.5187571,0.4649303,-0.72497344,-0.6460869,-0.3047608,-0.2848242,0.0199366
13,-0.617393,-0.53124726,"('impolite', 'polite')",-0.95968163,-0.81454575,-0.47860092,-0.39057887,-0.6852252,-0.5787906,0.1064346
14,-0.27981058,-0.21672618,"('antisocial', 'social')",0.80561435,0.8831355,-0.41878235,-0.3905154,0.0356738,0.0919646,0.0562908
15,0.3818279,0.37092522,"('boring', 'funny')",-0.07849132,-0.08920801,1.2256963,1.1680166,0.5096776,0.4832446,-0.026433
16,-0.012482598,0.037394352,"('unpopular', 'popular')",-0.97304386,-1.0010579,-0.03974375,-0.07861738,-0.3417567,-0.347427,-0.0056703
17,0.04723695,0.14943033,"('nasty', 'nice')",-1.4367752,-1.409684,-0.49404702,-0.45205837,-0.6278618,-0.5707707,0.0570911
18,-0.8460947,-0.7695761,"('disagreeable', 'welcoming')",-0.9580042,-1.0228758,0.34509686,0.3480387,-0.486334,-0.4814711,0.0048629
19,-1.2870858,-1.2192297,"('inhospitable', 'hospitable')",-1.0050386,-1.1246941,-0.1691526,-0.1637874,-0.8204256,-0.8359037,-0.0154781
20,0.20685914,0.27458322,"('rough', 'thoughtful')",0.8986953,1.0087199,0.087723605,0.1567938,0.3977594,0.4800323,0.0822729
21,-0.5974437,-0.49390122,"('immoral', 'moral')",-1.2594644,-1.1798221,-0.7952602,-0.6220643,-0.8840561,-0.7652625,0.1187936
22,-0.3493031,-0.29033846,"('untrustworthy', 'trustworthy')",0.05505945,0.046021983,-0.11723006,-0.028935913,-0.1371579,-0.0910841,0.0460738
23,-0.59703124,-0.53444976,"('insincere', 'sincere')",-0.69815147,-0.71371704,5.7521763,5.800854,1.4856645,1.5175625,0.031898
