,hybridization_male,hybridization_female,tuple,average_male,average_female,female-male
0,0.09518092,0.08536144,"('unsociable', 'sociable')",0.0951809,0.0853614,-0.0098195
1,0.5019605,0.39191583,"('unfriendly', 'friendly')",0.5019605,0.3919158,-0.1100447
2,0.47793382,0.4390719,"('unlikable', 'likable')",0.4779338,0.4390719,-0.0388619
3,-0.32646275,-0.29274753,"('repellent', 'pleasant')",-0.3264627,-0.2927475,0.0337152
4,-3.410096,-3.5844831,"('disliked', 'liked')",-3.4100959,-3.5844831,-0.1743872
5,-0.5036066,-0.5398609,"('distant', 'outgoing')",-0.5036066,-0.5398609,-0.0362543
6,-0.3820222,-0.3912956,"('distant', 'open')",-0.3820222,-0.3912956,-0.0092734
7,-0.00676395,0.14059368,"('insensitive', 'sensitive')",-0.0067639,0.1405937,0.1473576
8,0.19818339,0.12311022,"('unaffectionate', 'affectionate')",0.1981834,0.1231102,-0.0750732
9,0.43612203,0.39316773,"('unaffectionate', 'caring')",0.436122,0.3931677,-0.0429543
10,-0.0652269,0.034202244,"('unsympathetic', 'sympathetic')",-0.0652269,0.0342022,0.0994291
11,1.4745852,1.5329379,"('unhelpful', 'helpful')",1.4745852,1.5329379,0.0583527
12,-0.6420437,-0.52982026,"('unsupportive', 'supportive')",-0.6420437,-0.5298203,0.1122234
13,-0.643468,-0.60392654,"('impolite', 'polite')",-0.643468,-0.6039265,0.0395415
14,0.14916971,0.22166851,"('antisocial', 'social')",0.1491697,0.2216685,0.0724988
15,0.18167731,0.1211088,"('boring', 'funny')",0.1816773,0.1211088,-0.0605685
16,-0.81410253,-1.0085809,"('unpopular', 'popular')",-0.8141025,-1.0085809,-0.1944784
17,-0.2781126,-0.30813542,"('nasty', 'nice')",-0.2781126,-0.3081354,-0.0300228
18,-0.13013338,-0.17488101,"('disagreeable', 'welcoming')",-0.1301334,-0.174881,-0.0447476
19,-0.93718886,-0.9401788,"('inhospitable', 'hospitable')",-0.9371889,-0.9401788,-0.0029899
20,1.0311397,0.9315862,"('rough', 'thoughtful')",1.0311397,0.9315862,-0.0995535
21,0.2842283,0.3579047,"('immoral', 'moral')",0.2842283,0.3579047,0.0736764
22,-0.38975924,-0.2764213,"('untrustworthy', 'trustworthy')",-0.3897592,-0.2764213,0.1133379
23,2.6695714,2.7929826,"('insincere', 'sincere')",2.6695714,2.7929826,0.1234112
24,0.07497273,0.1767324,"('dishonest', 'honest')",0.0749727,0.1767324,0.1017597
25,0.9721301,0.97689295,"('egoistic', 'altruistic')",0.9721301,0.9768929,0.0047628
26,1.2921561,1.1074837,"('hardhearted', 'benevolent')",1.2921561,1.1074837,-0.1846724
27,0.6575065,0.7096636,"('hardhearted', 'softhearted')",0.6575065,0.7096636,0.0521571
28,1.0693059,0.9986718,"('disloyal', 'loyal')",1.0693059,0.9986718,-0.0706341
29,-0.68495077,-0.6626551,"('unfair', 'fair')",-0.6849508,-0.6626551,0.0222957
30,0.6271978,0.65229094,"('intolerant', 'tolerant')",0.6271978,0.6522909,0.0250931
31,-1.0560324,-1.035216,"('evil', 'good')",-1.0560324,-1.035216,0.0208164
32,0.5900743,0.62424314,"('unkind', 'kind')",0.5900743,0.6242431,0.0341688
33,-0.32326797,-0.43360093,"('wrong', 'right')",-0.323268,-0.4336009,-0.1103329
34,2.3160315,2.5157876,"('mean', 'honorable')",2.3160315,2.5157876,0.1997561
35,-0.75994444,-0.9103824,"('corrupt', 'incorrupt')",-0.7599444,-0.9103824,-0.150438
36,-0.88722825,-1.1877583,"('hostile', 'amicable')",-0.8872283,-1.1877583,-0.30053
37,-0.25068888,-0.14415142,"('fake', 'genuine')",-0.2506889,-0.1441514,0.1065375
38,0.7142573,0.7018798,"('untruthful', 'truthful')",0.7142573,0.7018798,-0.0123775
39,0.93555695,0.8369915,"('exploitative', 'cooperative')",0.9355569,0.8369915,-0.0985654
40,-0.72881556,-0.7325542,"('stingy', 'generous')",-0.7288156,-0.7325542,-0.0037386
41,0.21101734,0.23217866,"('unforgiving', 'forgiving')",0.2110173,0.2321787,0.0211614
42,-1.8221531,-1.5898607,"('unreliable', 'reliable')",-1.8221531,-1.5898607,0.2322924
43,0.5258214,0.73409796,"('irresponsible', 'responsible')",0.5258214,0.734098,0.2082766
44,-0.45576182,-0.48572454,"('prejudiced', 'unprejudiced')",-0.4557618,-0.4857245,-0.0299627
45,-0.41095865,-0.22763984,"('incompetent', 'competent')",-0.4109586,-0.2276398,0.1833188
