,curtailment_male,curtailment_female,tuple,average_male,average_female,female-male
0,-0.121710405,-0.29200867,"('unsociable', 'sociable')",-0.1217104,-0.2920087,-0.1702983
1,-1.8662145,-1.949136,"('unfriendly', 'friendly')",-1.8662145,-1.949136,-0.0829215
2,-0.695244,-0.649629,"('unlikable', 'likable')",-0.695244,-0.649629,0.045615
3,-0.6464445,-0.5456127,"('repellent', 'pleasant')",-0.6464445,-0.5456127,0.1008318
4,-1.866376,-1.9075241,"('disliked', 'liked')",-1.866376,-1.9075241,-0.0411481
5,-1.4523606,-1.5540047,"('distant', 'outgoing')",-1.4523606,-1.5540047,-0.1016441
6,-1.4935415,-1.5989213,"('distant', 'open')",-1.4935415,-1.5989213,-0.1053798
7,-0.012669537,0.0059718024,"('insensitive', 'sensitive')",-0.0126695,0.0059718,0.0186413
8,-1.3629508,-1.4694356,"('unaffectionate', 'affectionate')",-1.3629508,-1.4694356,-0.1064848
9,-1.4846369,-1.5848016,"('unaffectionate', 'caring')",-1.4846369,-1.5848016,-0.1001647
10,-0.40823588,-0.46976343,"('unsympathetic', 'sympathetic')",-0.4082359,-0.4697634,-0.0615275
11,-0.4311135,-0.3752249,"('unhelpful', 'helpful')",-0.4311135,-0.3752249,0.0558886
12,-1.3683302,-1.3628473,"('unsupportive', 'supportive')",-1.3683302,-1.3628473,0.0054829
13,-0.5273488,-0.5904987,"('impolite', 'polite')",-0.5273488,-0.5904987,-0.0631499
14,0.6877811,0.7063783,"('antisocial', 'social')",0.6877811,0.7063783,0.0185972
15,0.13458048,0.08534424,"('boring', 'funny')",0.1345805,0.0853442,-0.0492363
16,-0.6374262,-0.71460354,"('unpopular', 'popular')",-0.6374262,-0.7146035,-0.0771773
17,-0.6509484,-0.56070125,"('nasty', 'nice')",-0.6509484,-0.5607013,0.0902471
18,-1.6770488,-1.5299228,"('disagreeable', 'welcoming')",-1.6770488,-1.5299228,0.147126
19,-2.1727226,-2.1257834,"('inhospitable', 'hospitable')",-2.1727226,-2.1257834,0.0469392
20,-0.10395545,-0.11065433,"('rough', 'thoughtful')",-0.1039554,-0.1106543,-0.0066989
21,-0.6101195,-0.60108656,"('immoral', 'moral')",-0.6101195,-0.6010866,0.0090329
22,0.30262905,0.27030927,"('untrustworthy', 'trustworthy')",0.3026291,0.2703093,-0.0323198
23,0.7720342,0.68410456,"('insincere', 'sincere')",0.7720342,0.6841046,-0.0879296
24,-0.8433239,-0.9225927,"('dishonest', 'honest')",-0.8433239,-0.9225927,-0.0792688
25,-0.111672744,-0.22502142,"('egoistic', 'altruistic')",-0.1116727,-0.2250214,-0.1133487
26,0.7672917,0.7352307,"('hardhearted', 'benevolent')",0.7672917,0.7352307,-0.032061
27,-0.746608,-0.8794508,"('hardhearted', 'softhearted')",-0.746608,-0.8794508,-0.1328428
28,-0.48280853,-0.587229,"('disloyal', 'loyal')",-0.4828085,-0.587229,-0.1044205
29,-0.71352065,-0.81150126,"('unfair', 'fair')",-0.7135206,-0.8115013,-0.0979807
30,-0.120293505,-0.081298605,"('intolerant', 'tolerant')",-0.1202935,-0.0812986,0.0389949
31,-2.249364,-2.2075431,"('evil', 'good')",-2.2493639,-2.2075431,0.0418208
32,-0.091946565,-0.1919733,"('unkind', 'kind')",-0.0919466,-0.1919733,-0.1000267
33,-0.31436503,-0.30911732,"('wrong', 'right')",-0.314365,-0.3091173,0.0052477
34,0.5850056,0.6994595,"('mean', 'honorable')",0.5850056,0.6994595,0.1144539
35,-0.5344029,-0.67947257,"('corrupt', 'incorrupt')",-0.5344029,-0.6794726,-0.1450697
36,-1.4817029,-1.4867443,"('hostile', 'amicable')",-1.4817029,-1.4867443,-0.0050414
37,-0.6146518,-0.6066782,"('fake', 'genuine')",-0.6146518,-0.6066782,0.0079736
38,-1.1445446,-1.255266,"('untruthful', 'truthful')",-1.1445446,-1.255266,-0.1107214
39,-0.4216537,-0.34534162,"('exploitative', 'cooperative')",-0.4216537,-0.3453416,0.0763121
40,-1.319486,-1.2984254,"('stingy', 'generous')",-1.319486,-1.2984254,0.0210606
41,-0.82368857,-0.7648825,"('unforgiving', 'forgiving')",-0.8236886,-0.7648825,0.0588061
42,0.035195403,0.21447049,"('unreliable', 'reliable')",0.0351954,0.2144705,0.1792751
43,-0.1452443,-0.16889168,"('irresponsible', 'responsible')",-0.1452443,-0.1688917,-0.0236474
44,-0.812306,-0.6788975,"('prejudiced', 'unprejudiced')",-0.812306,-0.6788975,0.1334085
45,-0.14996903,-0.13335963,"('incompetent', 'competent')",-0.149969,-0.1333596,0.0166094
46,-0.62017506,-0.70870066,"('uncompetitive', 'competitive')",-0.6201751,-0.7087007,-0.0885256
47,1.4637619,1.4843359,"('stupid', 'smart')",1.4637619,1.4843359,0.020574
48,-1.0505925,-1.040425,"('unintelligent', 'intelligent')",-1.0505925,-1.0404249,0.0101676
49,-1.2284305,-1.0941054,"('unable', 'able')",-1.2284305,-1.0941054,0.1343251
50,-0.3433918,-0.23960102,"('clumsy', 'skillful')",-0.3433918,-0.239601,0.1037908
51,-0.6214474,-0.7372953,"('uneducated', 'educated')",-0.6214474,-0.7372953,-0.1158479
52,-1.605262,-1.6638626,"('irrational', 'rational')",-1.605262,-1.6638626,-0.0586006
53,-1.9434966,-2.0566964,"('uncreative', 'creative')",-1.9434966,-2.0566964,-0.1131998
54,-1.0988141,-1.1292007,"('incapable', 'capable')",-1.0988141,-1.1292007,-0.0303866
55,-0.19957228,-0.19285026,"('incompetent', 'clever')",-0.1995723,-0.1928503,0.006722
56,0.78130364,0.770345,"('impractical', 'practical')",0.7813036,0.770345,-0.0109586
57,-1.0069734,-1.0367638,"('unimaginative', 'imaginative')",-1.0069734,-1.0367638,-0.0297904
58,0.13589716,0.099218786,"('undiscriminating', 'discriminating')",0.1358972,0.0992188,-0.0366784
59,-0.4559022,-0.35797915,"('foolish', 'wise')",-0.4559022,-0.3579791,0.0979231
60,-0.027879696,0.04063644,"('inefficient', 'efficient')",-0.0278797,0.0406364,0.0685161
61,-0.77593553,-0.9525183,"('illogical', 'logical')",-0.7759355,-0.9525183,-0.1765828
62,-0.19807565,-0.14678878,"('incompetent', 'brilliant')",-0.1980757,-0.1467888,0.0512869
63,-0.4690298,-0.47458428,"('unperceptive', 'insightful')",-0.4690298,-0.4745843,-0.0055545
64,-1.2603793,-1.215474,"('shy', 'confident')",-1.2603793,-1.215474,0.0449053
65,0.33862108,0.36191973,"('insecure', 'secure')",0.3386211,0.3619197,0.0232986
66,-0.5850079,-0.6716246,"('inactive', 'active')",-0.5850079,-0.6716246,-0.0866167
67,0.86715066,0.9240323,"('doubtful', 'determined')",0.8671507,0.9240323,0.0568816
68,-0.7402387,-0.7586896,"('dependent', 'independent')",-0.7402387,-0.7586896,-0.0184509
69,-0.8873026,-0.89836943,"('lazy', 'industrious')",-0.8873026,-0.8983694,-0.0110668
70,0.79986626,0.74070823,"('lethargic', 'energetic')",0.7998663,0.7407082,-0.0591581
71,-0.7570321,-0.7389449,"('diffident', 'self-confident')",-0.7570321,-0.7389449,0.0180872
72,-0.18042006,-0.21664435,"('unambitious', 'ambitious')",-0.1804201,-0.2166443,-0.0362242
73,-1.1748405,-1.0636668,"('helpless', 'self-reliant')",-1.1748405,-1.0636668,0.1111737
74,-0.7946096,-0.75931543,"('undedicated', 'dedicated')",-0.7946096,-0.7593154,0.0352942
75,-0.015003292,-0.003782602,"('meek', 'impulsive')",-0.0150033,-0.0037826,0.0112207
76,0.09997624,0.19833224,"('anxious', 'daring')",0.0999762,0.1983322,0.098356
