,tsunami_male,tsunami_female,tuple,average_male,average_female,female-male
0,0.5581312,0.41490954,"('unsociable', 'sociable')",0.5581312,0.4149095,-0.1432217
1,0.5215539,0.51313144,"('unfriendly', 'friendly')",0.5215539,0.5131314,-0.0084225
2,-0.058538362,0.06761556,"('unlikable', 'likable')",-0.0585384,0.0676156,0.126154
3,0.98262334,1.0722411,"('repellent', 'pleasant')",0.9826233,1.0722411,0.0896178
4,-7.030932,-7.3154345,"('disliked', 'liked')",-7.0309319,-7.3154345,-0.2845026
5,-0.8674674,-0.82115626,"('distant', 'outgoing')",-0.8674674,-0.8211563,0.0463111
6,-0.47968435,-0.5228556,"('distant', 'open')",-0.4796844,-0.5228556,-0.0431712
7,1.3860464,1.3802245,"('insensitive', 'sensitive')",1.3860464,1.3802245,-0.0058219
8,0.523984,0.49125975,"('unaffectionate', 'affectionate')",0.523984,0.4912598,-0.0327242
9,0.96316206,0.992148,"('unaffectionate', 'caring')",0.9631621,0.992148,0.0289859
10,1.4418707,1.4581308,"('unsympathetic', 'sympathetic')",1.4418707,1.4581308,0.0162601
11,1.6386093,1.6747822,"('unhelpful', 'helpful')",1.6386093,1.6747822,0.0361729
12,-1.3929734,-1.4498893,"('unsupportive', 'supportive')",-1.3929734,-1.4498893,-0.0569159
13,0.23497078,0.3461218,"('impolite', 'polite')",0.2349708,0.3461218,0.111151
14,0.68968916,0.6577263,"('antisocial', 'social')",0.6896892,0.6577263,-0.0319629
15,0.36308512,0.28485444,"('boring', 'funny')",0.3630851,0.2848544,-0.0782307
16,-0.9152841,-0.955071,"('unpopular', 'popular')",-0.9152841,-0.955071,-0.0397869
17,0.14317316,0.15161113,"('nasty', 'nice')",0.1431732,0.1516111,0.0084379
18,-0.49066854,-0.45149553,"('disagreeable', 'welcoming')",-0.4906685,-0.4514955,0.039173
19,-1.05968,-0.9664236,"('inhospitable', 'hospitable')",-1.05968,-0.9664236,0.0932564
20,0.49052995,0.41075802,"('rough', 'thoughtful')",0.49053,0.410758,-0.079772
21,0.19508785,0.37907162,"('immoral', 'moral')",0.1950879,0.3790716,0.1839837
22,0.16501977,0.12738523,"('untrustworthy', 'trustworthy')",0.1650198,0.1273852,-0.0376346
23,5.854632,6.0938706,"('insincere', 'sincere')",5.8546319,6.0938706,0.2392387
24,1.3482901,1.3480947,"('dishonest', 'honest')",1.3482901,1.3480947,-0.0001954
25,0.5179284,0.5528889,"('egoistic', 'altruistic')",0.5179284,0.5528889,0.0349605
26,1.0548766,0.83270085,"('hardhearted', 'benevolent')",1.0548766,0.8327008,-0.2221758
27,1.594415,1.418871,"('hardhearted', 'softhearted')",1.5944149,1.418871,-0.1755439
28,1.2309673,1.1058869,"('disloyal', 'loyal')",1.2309673,1.1058869,-0.1250804
29,-0.37074354,-0.5069051,"('unfair', 'fair')",-0.3707435,-0.5069051,-0.1361616
30,1.056709,1.1515429,"('intolerant', 'tolerant')",1.0567091,1.1515429,0.0948338
31,-1.4916345,-1.5605382,"('evil', 'good')",-1.4916345,-1.5605382,-0.0689037
32,1.0514842,0.9143318,"('unkind', 'kind')",1.0514842,0.9143318,-0.1371524
33,-0.43668652,-0.46638247,"('wrong', 'right')",-0.4366865,-0.4663825,-0.029696
34,3.869886,4.1935,"('mean', 'honorable')",3.8698859,4.1935,0.3236141
35,-1.2367867,-1.5136335,"('corrupt', 'incorrupt')",-1.2367867,-1.5136335,-0.2768468
36,-1.0890442,-1.173708,"('hostile', 'amicable')",-1.0890442,-1.173708,-0.0846638
37,1.0274466,0.999313,"('fake', 'genuine')",1.0274466,0.999313,-0.0281336
38,-0.51572734,-0.39488757,"('untruthful', 'truthful')",-0.5157273,-0.3948876,0.1208397
39,0.48990518,0.50922644,"('exploitative', 'cooperative')",0.4899052,0.5092264,0.0193212
40,-1.0226809,-1.1880305,"('stingy', 'generous')",-1.0226809,-1.1880305,-0.1653496
41,0.7871513,0.6280875,"('unforgiving', 'forgiving')",0.7871513,0.6280875,-0.1590638
42,-1.729118,-1.8431382,"('unreliable', 'reliable')",-1.729118,-1.8431382,-0.1140202
43,1.0706595,1.193747,"('irresponsible', 'responsible')",1.0706595,1.193747,0.1230875
44,-1.0560408,-1.0931482,"('prejudiced', 'unprejudiced')",-1.0560408,-1.0931482,-0.0371074
45,0.7131984,0.49194005,"('incompetent', 'competent')",0.7131984,0.4919401,-0.2212583
46,-0.14583488,-0.21482863,"('uncompetitive', 'competitive')",-0.1458349,-0.2148286,-0.0689937
47,4.3528423,4.55707,"('stupid', 'smart')",4.3528423,4.5570698,0.2042275
48,0.34301567,0.39888194,"('unintelligent', 'intelligent')",0.3430157,0.3988819,0.0558662
49,-0.42113924,-0.30793205,"('unable', 'able')",-0.4211392,-0.307932,0.1132072
50,-0.6389924,-0.6663441,"('clumsy', 'skillful')",-0.6389924,-0.6663441,-0.0273517
51,0.54087955,0.5275098,"('uneducated', 'educated')",0.5408795,0.5275098,-0.0133697
52,-0.5049115,-0.6907719,"('irrational', 'rational')",-0.5049115,-0.6907719,-0.1858604
53,-0.48547196,-0.58808327,"('uncreative', 'creative')",-0.485472,-0.5880833,-0.1026113
54,0.4921404,0.57275873,"('incapable', 'capable')",0.4921404,0.5727587,0.0806183
55,1.0601243,1.1100248,"('incompetent', 'clever')",1.0601243,1.1100248,0.0499005
56,0.60549337,0.5720088,"('impractical', 'practical')",0.6054934,0.5720088,-0.0334846
57,-1.5779717,-1.8918287,"('unimaginative', 'imaginative')",-1.5779717,-1.8918287,-0.313857
