,hurry_male,hurry_female,tuple,average_male,average_female,female-male
0,0.4514126,0.34242243,"('unsociable', 'sociable')",0.4514126,0.3424224,-0.1089902
1,1.3545346,1.403243,"('unfriendly', 'friendly')",1.3545346,1.4032429,0.0487083
2,0.79692614,0.8787552,"('unlikable', 'likable')",0.7969261,0.8787552,0.0818291
3,1.2796828,1.340449,"('repellent', 'pleasant')",1.2796828,1.340449,0.0607662
4,-6.9380345,-6.970802,"('disliked', 'liked')",-6.9380345,-6.9708018,-0.0327673
5,-0.16451305,-0.099886976,"('distant', 'outgoing')",-0.1645131,-0.099887,0.0646261
6,-0.040073406,0.03412217,"('distant', 'open')",-0.0400734,0.0341222,0.0741956
7,1.724599,1.7330922,"('insensitive', 'sensitive')",1.724599,1.7330922,0.0084932
8,0.86444616,0.8827895,"('unaffectionate', 'affectionate')",0.8644462,0.8827895,0.0183433
9,1.3108766,1.3805977,"('unaffectionate', 'caring')",1.3108766,1.3805977,0.0697211
10,1.9091272,1.8989737,"('unsympathetic', 'sympathetic')",1.9091272,1.8989737,-0.0101535
11,2.3905,2.4385576,"('unhelpful', 'helpful')",2.3905001,2.4385576,0.0480575
12,-0.8777836,-0.8837368,"('unsupportive', 'supportive')",-0.8777836,-0.8837368,-0.0059532
13,0.6093851,0.5216306,"('impolite', 'polite')",0.6093851,0.5216306,-0.0877545
14,0.5005035,0.34909323,"('antisocial', 'social')",0.5005035,0.3490932,-0.1514103
15,0.16617636,0.19588718,"('boring', 'funny')",0.1661764,0.1958872,0.0297108
16,-0.64572084,-0.56578803,"('unpopular', 'popular')",-0.6457208,-0.565788,0.0799328
17,0.10591912,0.10034169,"('nasty', 'nice')",0.1059191,0.1003417,-0.0055774
18,-0.031051606,-0.114549324,"('disagreeable', 'welcoming')",-0.0310516,-0.1145493,-0.0834977
19,-0.15297948,-0.023028249,"('inhospitable', 'hospitable')",-0.1529795,-0.0230282,0.1299513
20,0.86849004,0.76284516,"('rough', 'thoughtful')",0.86849,0.7628452,-0.1056448
21,0.81126016,0.8202399,"('immoral', 'moral')",0.8112602,0.8202399,0.0089797
22,0.24627495,0.18679477,"('untrustworthy', 'trustworthy')",0.2462749,0.1867948,-0.0594801
23,6.984177,7.022888,"('insincere', 'sincere')",6.9841771,7.0228882,0.0387111
24,2.5660417,2.580678,"('dishonest', 'honest')",2.5660417,2.580678,0.0146363
25,0.19506203,0.14190856,"('egoistic', 'altruistic')",0.195062,0.1419086,-0.0531534
26,-0.121015474,-0.13632378,"('hardhearted', 'benevolent')",-0.1210155,-0.1363238,-0.0153083
27,1.448428,1.3709211,"('hardhearted', 'softhearted')",1.448428,1.3709211,-0.0775069
28,1.3938392,1.4078693,"('disloyal', 'loyal')",1.3938392,1.4078693,0.0140301
29,-0.1004278,-0.18390483,"('unfair', 'fair')",-0.1004278,-0.1839048,-0.083477
30,1.2014828,1.1684477,"('intolerant', 'tolerant')",1.2014828,1.1684477,-0.0330351
31,-1.6690466,-1.6334465,"('evil', 'good')",-1.6690466,-1.6334465,0.0356001
32,1.584402,1.5261668,"('unkind', 'kind')",1.584402,1.5261668,-0.0582352
33,-0.71860546,-0.65070385,"('wrong', 'right')",-0.7186055,-0.6507038,0.0679017
34,4.422196,4.588721,"('mean', 'honorable')",4.4221959,4.5887208,0.1665249
35,-1.1370708,-1.1772975,"('corrupt', 'incorrupt')",-1.1370708,-1.1772975,-0.0402267
36,-1.5027577,-1.4043834,"('hostile', 'amicable')",-1.5027577,-1.4043834,0.0983743
37,1.0913055,1.0725843,"('fake', 'genuine')",1.0913055,1.0725843,-0.0187212
38,0.24007413,0.24829647,"('untruthful', 'truthful')",0.2400741,0.2482965,0.0082224
39,0.25087595,0.254828,"('exploitative', 'cooperative')",0.2508759,0.254828,0.0039521
40,-0.8455994,-0.9250756,"('stingy', 'generous')",-0.8455994,-0.9250756,-0.0794762
41,-0.010905998,-0.06650823,"('unforgiving', 'forgiving')",-0.010906,-0.0665082,-0.0556022
42,-1.2928231,-1.3468636,"('unreliable', 'reliable')",-1.2928231,-1.3468636,-0.0540405
