,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.15062353,0.08738014,"('unsociable', 'sociable')",-0.47986332,-0.6862348,-0.1646199,-0.2994273,-0.1348074
1,-0.5668481,-0.9129748,"('unfriendly', 'friendly')",2.053633,1.9266236,0.7433925,0.5068244,-0.2365681
2,-0.03249391,-0.0097524,"('unlikable', 'likable')",0.57441133,0.670734,0.2709587,0.3304908,0.0595321
3,-0.014077384,0.18281221,"('repellent', 'pleasant')",0.22042896,0.32179153,0.1031758,0.2523019,0.1491261
4,-1.0467801,-1.1316342,"('disliked', 'liked')",-5.8593926,-6.015444,-3.4530864,-3.573539,-0.1204526
5,-1.5819899,-1.6834202,"('distant', 'outgoing')",-0.052335937,-0.09101498,-0.8171629,-0.8872176,-0.0700547
6,-2.1753707,-2.3205338,"('distant', 'open')",0.36281878,0.3432114,-0.906276,-0.9886612,-0.0823852
7,0.090889886,0.1601162,"('insensitive', 'sensitive')",0.60170096,0.598252,0.3462954,0.3791841,0.0328887
8,-0.9169173,-1.085645,"('unaffectionate', 'affectionate')",1.4136783,1.2890284,0.2483805,0.1016917,-0.1466888
9,-1.0017474,-1.1388569,"('unaffectionate', 'caring')",1.3399037,1.2463062,0.1690782,0.0537246,-0.1153536
10,-0.13142866,-0.0735282,"('unsympathetic', 'sympathetic')",-0.5241997,-0.5988114,-0.3278142,-0.3361698,-0.0083556
11,0.34849286,0.45243514,"('unhelpful', 'helpful')",1.0041267,1.0882463,0.6763098,0.7703407,0.0940309
12,-0.28473827,-0.20463526,"('unsupportive', 'supportive')",-1.6275232,-1.7115644,-0.9561307,-0.9580998,-0.0019691
13,0.4046812,0.4274903,"('impolite', 'polite')",-0.84288824,-0.78303206,-0.2191035,-0.1777709,0.0413326
14,0.8995203,0.9326478,"('antisocial', 'social')",-0.45419705,-0.49622154,0.2226616,0.2182131,-0.0044485
15,-0.22595558,-0.36812443,"('boring', 'funny')",0.5916326,0.5322518,0.1828385,0.0820637,-0.1007748
16,-1.2303599,-1.1696366,"('unpopular', 'popular')",0.2841706,0.4159193,-0.4730946,-0.3768587,0.0962359
17,-0.54671556,-0.46628356,"('nasty', 'nice')",-0.4688088,-0.4917298,-0.5077622,-0.4790067,0.0287555
18,-0.8750421,-0.92057526,"('disagreeable', 'welcoming')",-0.22994311,-0.24446706,-0.5524926,-0.5825211,-0.0300285
19,-1.3086735,-1.375256,"('inhospitable', 'hospitable')",0.2566601,0.28725213,-0.5260067,-0.5440019,-0.0179952
