,steris_male,steris_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.7263384,-0.74243444,"('unsociable', 'sociable')",-0.6236857,-0.6770305,-0.6750121,-0.7097325,-0.0347204
1,-1.2352644,-1.4341365,"('unfriendly', 'friendly')",2.4624033,2.25184,0.6135694,0.4088518,-0.2047176
2,0.13921338,0.14958291,"('unlikable', 'likable')",0.14400414,0.18045783,0.1416088,0.1650204,0.0234116
3,-0.8663498,-0.65708137,"('repellent', 'pleasant')",-0.15999466,-0.06641438,-0.5131723,-0.3617479,0.1514244
4,-0.22028469,-0.20864803,"('disliked', 'liked')",-5.0765185,-5.15067,-2.6484015,-2.6796591,-0.0312576
5,-1.602755,-1.6606866,"('distant', 'outgoing')",0.7312989,0.63038766,-0.435728,-0.5151495,-0.0794215
6,-1.7301376,-1.7951752,"('distant', 'open')",0.6805067,0.5687381,-0.5248154,-0.6132185,-0.0884031
7,-0.05991538,0.023036841,"('insensitive', 'sensitive')",0.5170007,0.5748316,0.2285427,0.2989342,0.0703915
8,-0.5764602,-0.74983513,"('unaffectionate', 'affectionate')",1.3082165,1.057338,0.3658781,0.1537514,-0.2121267
9,-0.918068,-1.0213069,"('unaffectionate', 'caring')",1.5038364,1.3293896,0.2928842,0.1540413,-0.1388429
10,-0.45157105,-0.34057954,"('unsympathetic', 'sympathetic')",-0.6118817,-0.5082384,-0.5317264,-0.424409,0.1073174
11,-0.5068834,-0.45273024,"('unhelpful', 'helpful')",0.93488175,1.0171328,0.2139992,0.2822013,0.0682021
12,-0.2559946,-0.22457953,"('unsupportive', 'supportive')",-1.1927738,-1.1432368,-0.7243842,-0.6839082,0.040476
13,-0.6270071,-0.63806516,"('impolite', 'polite')",-0.9807154,-0.83386457,-0.8038613,-0.7359649,0.0678964
14,0.37027663,0.45962065,"('antisocial', 'social')",0.16736242,0.2611335,0.2688195,0.3603771,0.0915576
15,0.13355012,-0.028051684,"('boring', 'funny')",0.09116012,0.04043924,0.1123551,0.0061938,-0.1061613
16,-0.7107816,-0.5816517,"('unpopular', 'popular')",-0.24241643,-0.27336156,-0.476599,-0.4275066,0.0490924
17,-0.084850326,-0.1145582,"('nasty', 'nice')",-0.77161473,-0.826556,-0.4282325,-0.4705571,-0.0423246
