,national_male,national_female,tuple,semiconductor_male,semiconductor_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.9232153,-2.0410461,"('unsociable', 'sociable')",-0.9027059,-0.97136766,-0.42354622,-0.5305715,-1.0831558,-1.1809951,-0.0978393
1,0.48564303,0.14219043,"('unfriendly', 'friendly')",1.6475899,1.3998802,1.8809185,1.6828766,1.3380505,1.0749824,-0.2630681
2,0.21319383,0.25163025,"('unlikable', 'likable')",0.014939213,0.051889688,0.6417343,0.64984614,0.2899558,0.3177887,0.0278329
3,-0.7990225,-0.755272,"('repellent', 'pleasant')",-1.4292201,-1.4133891,0.85679376,0.87785214,-0.4571496,-0.4302696,0.02688
4,-0.3207198,-0.3892583,"('disliked', 'liked')",0.020460129,-0.08866796,-6.6585197,-6.923388,-2.3195931,-2.4671048,-0.1475117
5,0.13891676,0.055818632,"('distant', 'outgoing')",0.7363683,0.70252913,-0.21634209,-0.25021952,0.2196476,0.1693761,-0.0502715
6,0.35905433,0.27727288,"('distant', 'open')",0.97048867,0.88003355,-0.012132473,-0.07900028,0.4391368,0.3594354,-0.0797014
7,-0.64825857,-0.6830622,"('insensitive', 'sensitive')",-0.2207048,-0.17711216,0.5192531,0.52783066,-0.1165701,-0.1107812,0.0057889
8,0.040649287,-0.052625988,"('unaffectionate', 'affectionate')",1.522949,1.4195848,0.86525625,0.79015505,0.8096182,0.7190379,-0.0905803
9,0.3647418,0.21005043,"('unaffectionate', 'caring')",1.3224075,1.2196964,1.3644484,1.3305701,1.0171992,0.9201056,-0.0970936
10,-1.6611718,-1.6389272,"('unsympathetic', 'sympathetic')",-1.8219804,-1.8285835,-0.8731789,-0.8684851,-1.4521103,-1.4453319,0.0067784
11,-0.4903194,-0.48410064,"('unhelpful', 'helpful')",-0.2294715,-0.14898694,1.2801117,1.3816391,0.1867736,0.2495172,0.0627436
12,0.18292817,0.19485372,"('unsupportive', 'supportive')",0.4405592,0.40724525,-1.7977666,-1.8794874,-0.3914264,-0.4257962,-0.0343698
13,-1.4865009,-1.5567087,"('impolite', 'polite')",-1.0823956,-1.0391984,-0.93515337,-0.8526913,-1.1680166,-1.1495328,0.0184838
14,-0.81431746,-0.7593078,"('antisocial', 'social')",-1.0505856,-1.006601,-0.050588902,-0.102208704,-0.6384973,-0.6227058,0.0157915
15,-0.112754494,-0.25906172,"('boring', 'funny')",0.6546266,0.64985526,0.10890554,0.062163346,0.2169259,0.1509856,-0.0659403
16,0.6146988,0.56445116,"('unpopular', 'popular')",0.64400494,0.6136989,0.42972112,0.39712107,0.5628083,0.5250904,-0.0377179
17,-0.23930076,-0.18929748,"('nasty', 'nice')",0.02173496,0.11508852,-0.3869667,-0.30517384,-0.2015108,-0.1264609,0.0750499
18,1.2207592,1.1732266,"('disagreeable', 'welcoming')",0.31142038,0.25570232,-0.3037706,-0.3645738,0.4094697,0.354785,-0.0546847
19,0.34428966,0.28149706,"('inhospitable', 'hospitable')",0.30811667,0.24919847,-0.18520671,-0.1712887,0.1557332,0.1198023,-0.0359309
20,-0.16681468,-0.06019091,"('rough', 'thoughtful')",0.650018,0.6158409,0.75103724,0.7043886,0.4114135,0.4200129,0.0085994
21,-0.6212327,-0.66414744,"('immoral', 'moral')",-1.4297328,-1.4193071,-1.1073201,-1.0398672,-1.0527619,-1.0411073,0.0116546
22,-1.0549953,-1.1035907,"('untrustworthy', 'trustworthy')",-1.1428244,-1.1745963,-0.76878667,-0.894369,-0.9888688,-1.0575186,-0.0686498
23,-0.6104904,-0.67009306,"('insincere', 'sincere')",-0.4258697,-0.46623933,5.4771895,5.5151296,1.4802764,1.459599,-0.0206774
24,0.1454072,0.13140246,"('dishonest', 'honest')",-1.073539,-1.0584242,0.43199655,0.39327794,-0.1653784,-0.1779146,-0.0125362
25,0.60368925,0.49813908,"('egoistic', 'altruistic')",1.787525,1.7385511,1.7509924,1.7083529,1.3807356,1.3150144,-0.0657212
26,0.97788286,0.84377766,"('hardhearted', 'benevolent')",1.4929783,1.4345068,1.963533,1.8481108,1.4781315,1.3754651,-0.1026664
27,-0.3455683,-0.3093041,"('hardhearted', 'softhearted')",0.25194335,0.22145858,1.3843709,1.266591,0.4302487,0.3929152,-0.0373335
28,0.50776136,0.33517903,"('disloyal', 'loyal')",0.2413682,0.14465094,1.0685915,0.9701975,0.605907,0.4833425,-0.1225645
29,0.115395136,0.030028246,"('unfair', 'fair')",-0.23394,-0.30436558,-0.029898003,-0.22291759,-0.049481,-0.1657516,-0.1162706
30,-0.9887169,-1.0037901,"('intolerant', 'tolerant')",-0.25492677,-0.22863032,0.13490918,0.1029387,-0.3695782,-0.3764939,-0.0069157
31,0.99070764,0.9981091,"('evil', 'good')",1.0379598,0.9553528,-0.19864477,-0.34326562,0.6100076,0.5367321,-0.0732755
32,-0.09988887,-0.21421362,"('unkind', 'kind')",-0.5370656,-0.5904291,0.79930186,0.64822906,0.0541158,-0.0521379,-0.1062537
33,1.580663,1.4339811,"('wrong', 'right')",1.6467333,1.5649178,0.12602054,-0.0017324463,1.1178056,0.9990555,-0.1187501
34,-0.34942394,-0.20381038,"('mean', 'honorable')",0.16085277,0.3118612,4.9704027,5.257588,1.5939439,1.7885462,0.1946023
35,1.0378729,0.9003625,"('corrupt', 'incorrupt')",0.82032764,0.7218021,-0.28528005,-0.37752557,0.5243069,0.4148797,-0.1094272
36,0.7691295,0.5109692,"('hostile', 'amicable')",1.3730943,1.1009684,0.5193249,0.2995401,0.8871829,0.6371592,-0.2500237
37,-0.37424865,-0.4093824,"('fake', 'genuine')",-0.8143064,-0.8586477,-0.23288077,-0.23669577,-0.4738119,-0.5015753,-0.0277634
38,0.06679064,0.078633174,"('untruthful', 'truthful')",-0.22420503,-0.2256586,-0.33495277,-0.27663702,-0.1641224,-0.1412208,0.0229016
39,0.91962254,0.99391234,"('exploitative', 'cooperative')",0.45336264,0.5589194,0.34365416,0.44066614,0.5722131,0.6644993,0.0922862
40,1.2186608,1.1503979,"('stingy', 'generous')",1.1771507,1.0916125,-1.2861239,-1.5027617,0.3698959,0.2464162,-0.1234797
41,-0.079814985,-0.11786696,"('unforgiving', 'forgiving')",-0.01774279,-0.11266655,0.3058365,0.11231537,0.0694262,-0.039406,-0.1088322
42,-1.456293,-1.3006616,"('unreliable', 'reliable')",-2.4577131,-2.393333,-3.6421506,-3.6656916,-2.518719,-2.4532286,0.0654904
43,-1.7573057,-1.6808234,"('irresponsible', 'responsible')",-1.4115903,-1.3474431,-0.23818888,-0.1920662,-1.1356951,-1.0734442,0.0622509
