,kumquat_male,kumquat_female,tuple,average_male,average_female,female-male
0,-0.08229426,-0.21204282,"('unsociable', 'sociable')",-0.0822943,-0.2120428,-0.1297485
1,-0.8966859,-1.0878292,"('unfriendly', 'friendly')",-0.8966859,-1.0878292,-0.1911433
2,0.79971075,0.8202838,"('unlikable', 'likable')",0.7997108,0.8202838,0.020573
3,-0.35019928,-0.21645845,"('repellent', 'pleasant')",-0.3501993,-0.2164585,0.1337408
4,-1.0914161,-1.097831,"('disliked', 'liked')",-1.0914161,-1.097831,-0.0064149
5,-0.8846964,-0.8825681,"('distant', 'outgoing')",-0.8846964,-0.8825681,0.0021283
6,-1.1293414,-1.092707,"('distant', 'open')",-1.1293414,-1.092707,0.0366344
7,-0.4985325,-0.4599799,"('insensitive', 'sensitive')",-0.4985325,-0.4599799,0.0385526
8,-1.4073697,-1.4933032,"('unaffectionate', 'affectionate')",-1.4073697,-1.4933032,-0.0859335
9,-1.0019383,-1.0823671,"('unaffectionate', 'caring')",-1.0019383,-1.0823671,-0.0804288
10,-0.5846156,-0.5853931,"('unsympathetic', 'sympathetic')",-0.5846156,-0.5853931,-0.0007775
11,0.091326304,0.061519675,"('unhelpful', 'helpful')",0.0913263,0.0615197,-0.0298066
12,-1.238864,-1.1579412,"('unsupportive', 'supportive')",-1.2388639,-1.1579412,0.0809227
13,-0.21369487,-0.18358204,"('impolite', 'polite')",-0.2136949,-0.183582,0.0301129
14,0.0111992825,0.009900875,"('antisocial', 'social')",0.0111993,0.0099009,-0.0012984
15,1.241016,1.1107821,"('boring', 'funny')",1.241016,1.1107821,-0.1302339
16,0.22676985,0.20368601,"('unpopular', 'popular')",0.2267698,0.203686,-0.0230838
17,-0.19683947,-0.13811128,"('nasty', 'nice')",-0.1968395,-0.1381113,0.0587282
18,-0.7980138,-0.73989886,"('disagreeable', 'welcoming')",-0.7980138,-0.7398989,0.0581149
19,-0.9440649,-0.94816715,"('inhospitable', 'hospitable')",-0.9440649,-0.9481671,-0.0041022
20,-0.087455556,-0.122520536,"('rough', 'thoughtful')",-0.0874556,-0.1225205,-0.0350649
21,-0.47289324,-0.39963514,"('immoral', 'moral')",-0.4728932,-0.3996351,0.0732581
22,-0.5151813,-0.44275445,"('untrustworthy', 'trustworthy')",-0.5151813,-0.4427544,0.0724269
23,1.046403,0.9775466,"('insincere', 'sincere')",1.0464031,0.9775466,-0.0688565
24,-0.114188604,-0.17863485,"('dishonest', 'honest')",-0.1141886,-0.1786349,-0.0644463
25,-0.064305164,-0.17141019,"('egoistic', 'altruistic')",-0.0643052,-0.1714102,-0.107105
26,0.4943447,0.32470357,"('hardhearted', 'benevolent')",0.4943447,0.3247036,-0.1696411
27,-0.2630641,-0.21613783,"('hardhearted', 'softhearted')",-0.2630641,-0.2161378,0.0469263
28,-0.6094382,-0.7592964,"('disloyal', 'loyal')",-0.6094382,-0.7592964,-0.1498582
29,-0.3258996,-0.41042596,"('unfair', 'fair')",-0.3258996,-0.410426,-0.0845264
30,1.1967102,1.1525102,"('intolerant', 'tolerant')",1.1967102,1.1525102,-0.0442
31,-1.3733805,-1.3015846,"('evil', 'good')",-1.3733805,-1.3015846,0.0717959
32,0.38585365,0.2575448,"('unkind', 'kind')",0.3858536,0.2575448,-0.1283088
33,-0.28376883,-0.27990282,"('wrong', 'right')",-0.2837688,-0.2799028,0.003866
34,0.30984846,0.34687555,"('mean', 'honorable')",0.3098485,0.3468755,0.037027
35,0.4385585,0.2950352,"('corrupt', 'incorrupt')",0.4385585,0.2950352,-0.1435233
36,-0.87004167,-0.9686023,"('hostile', 'amicable')",-0.8700417,-0.9686023,-0.0985606
37,-0.18360311,-0.15747291,"('fake', 'genuine')",-0.1836031,-0.1574729,0.0261302
38,-0.6530417,-0.64765376,"('untruthful', 'truthful')",-0.6530417,-0.6476538,0.0053879
39,0.43367994,0.5944923,"('exploitative', 'cooperative')",0.4336799,0.5944923,0.1608124
40,-1.260013,-1.2165107,"('stingy', 'generous')",-1.260013,-1.2165107,0.0435023
