,spatula_male,spatula_female,tuple,average_male,average_female,female-male
0,-0.1086726,-0.3231256,"('unsociable', 'sociable')",-0.1086726,-0.3231256,-0.214453
1,-0.6471095,-0.9306423,"('unfriendly', 'friendly')",-0.6471095,-0.9306423,-0.2835328
2,-0.13321772,-0.11401455,"('unlikable', 'likable')",-0.1332177,-0.1140146,0.0192031
3,-1.1287179,-1.0667766,"('repellent', 'pleasant')",-1.1287179,-1.0667766,0.0619413
4,-2.5670562,-2.5073164,"('disliked', 'liked')",-2.5670562,-2.5073164,0.0597398
5,-0.56225985,-0.4563772,"('distant', 'outgoing')",-0.5622599,-0.4563772,0.1058827
6,-0.88286185,-0.79519826,"('distant', 'open')",-0.8828619,-0.7951983,0.0876636
7,-0.42407548,-0.36514342,"('insensitive', 'sensitive')",-0.4240755,-0.3651434,0.0589321
8,-0.60611326,-0.78333956,"('unaffectionate', 'affectionate')",-0.6061133,-0.7833396,-0.1772263
9,-0.6032829,-0.7563945,"('unaffectionate', 'caring')",-0.6032829,-0.7563945,-0.1531116
10,-0.5548409,-0.6078128,"('unsympathetic', 'sympathetic')",-0.5548409,-0.6078128,-0.0529719
11,0.66934174,0.6629446,"('unhelpful', 'helpful')",0.6693417,0.6629446,-0.0063971
12,-1.2653602,-1.2070018,"('unsupportive', 'supportive')",-1.2653602,-1.2070018,0.0583584
13,0.2602061,0.14711991,"('impolite', 'polite')",0.2602061,0.1471199,-0.1130862
14,0.37762675,0.29500556,"('antisocial', 'social')",0.3776267,0.2950056,-0.0826211
15,0.36256644,0.30389008,"('boring', 'funny')",0.3625664,0.3038901,-0.0586763
16,-0.4455591,-0.5378875,"('unpopular', 'popular')",-0.4455591,-0.5378875,-0.0923284
17,-0.6608559,-0.64676553,"('nasty', 'nice')",-0.6608559,-0.6467655,0.0140904
18,-0.77648073,-0.9017265,"('disagreeable', 'welcoming')",-0.7764807,-0.9017265,-0.1252458
19,-1.5952001,-1.5407021,"('inhospitable', 'hospitable')",-1.5952001,-1.5407021,0.054498
20,0.70426947,0.58983356,"('rough', 'thoughtful')",0.7042695,0.5898336,-0.1144359
21,0.4219034,0.33433682,"('immoral', 'moral')",0.4219034,0.3343368,-0.0875666
22,0.04531467,0.029388912,"('untrustworthy', 'trustworthy')",0.0453147,0.0293889,-0.0159258
23,1.6384832,1.5081694,"('insincere', 'sincere')",1.6384832,1.5081694,-0.1303138
24,-0.34450823,-0.40083593,"('dishonest', 'honest')",-0.3445082,-0.4008359,-0.0563277
25,-0.06268476,-0.24338198,"('egoistic', 'altruistic')",-0.0626848,-0.243382,-0.1806972
26,0.32976562,0.041380048,"('hardhearted', 'benevolent')",0.3297656,0.04138,-0.2883856
27,-0.37692446,-0.47691956,"('hardhearted', 'softhearted')",-0.3769245,-0.4769196,-0.0999951
28,0.018001497,-0.24187937,"('disloyal', 'loyal')",0.0180015,-0.2418794,-0.2598809
29,-0.4069672,-0.4085916,"('unfair', 'fair')",-0.4069672,-0.4085916,-0.0016244
30,0.099046186,-0.065933265,"('intolerant', 'tolerant')",0.0990462,-0.0659333,-0.1649795
31,-1.2464173,-1.1434262,"('evil', 'good')",-1.2464173,-1.1434262,0.1029911
32,0.4662981,0.25488243,"('unkind', 'kind')",0.4662981,0.2548824,-0.2114157
33,-0.20645413,-0.1850531,"('wrong', 'right')",-0.2064541,-0.1850531,0.021401
34,1.5835031,1.6471739,"('mean', 'honorable')",1.5835031,1.6471739,0.0636708
35,0.19007434,0.19417894,"('corrupt', 'incorrupt')",0.1900743,0.1941789,0.0041046
36,-0.987897,-1.0262241,"('hostile', 'amicable')",-0.987897,-1.0262241,-0.0383271
37,-0.113991305,-0.081224926,"('fake', 'genuine')",-0.1139913,-0.0812249,0.0327664
