,fortive_male,fortive_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.5165969,-0.6156535,"('unsociable', 'sociable')",0.24937457,0.15704177,-0.1336112,-0.2293059,-0.0956947
1,-1.7756763,-1.8328177,"('unfriendly', 'friendly')",1.213046,1.0222622,-0.2813151,-0.4052777,-0.1239626
2,0.77005005,0.7721637,"('unlikable', 'likable')",0.6413975,0.61958385,0.7057238,0.6958737,-0.0098501
3,-0.23422527,-0.046792347,"('repellent', 'pleasant')",0.9005566,0.99546665,0.3331657,0.4743372,0.1411715
4,-0.48990703,-0.48856574,"('disliked', 'liked')",-7.5646024,-7.643945,-4.0272546,-4.0662556,-0.039001
5,-0.8132172,-0.88193005,"('distant', 'outgoing')",-0.69531083,-0.8061535,-0.754264,-0.8440418,-0.0897778
6,-1.5060452,-1.5341203,"('distant', 'open')",-0.63657826,-0.7791825,-1.0713117,-1.1566514,-0.0853397
7,-0.4076379,-0.25975046,"('insensitive', 'sensitive')",0.38702038,0.48174986,-0.0103088,0.1109997,0.1213085
8,-1.3998088,-1.4638888,"('unaffectionate', 'affectionate')",0.4709447,0.352319,-0.464432,-0.5557849,-0.0913529
9,-1.6181732,-1.6166703,"('unaffectionate', 'caring')",1.025886,0.9832516,-0.2961436,-0.3167093,-0.0205657
10,-0.6809139,-0.62349516,"('unsympathetic', 'sympathetic')",0.052993856,0.06799543,-0.31396,-0.2777499,0.0362101
11,0.19668381,0.18122971,"('unhelpful', 'helpful')",1.7151577,1.7899379,0.9559208,0.9855838,0.029663
12,-0.9178731,-0.7735034,"('unsupportive', 'supportive')",-2.0975442,-2.0733151,-1.5077087,-1.4234092,0.0842995
13,-0.05299107,-0.13084273,"('impolite', 'polite')",-0.31449455,-0.2271171,-0.1837428,-0.1789799,0.0047629
14,1.271551,1.3293167,"('antisocial', 'social')",0.3346865,0.3710778,0.8031188,0.8501973,0.0470785
15,0.4229666,0.32512644,"('boring', 'funny')",-0.14977473,-0.14806727,0.1365959,0.0885296,-0.0480663
16,-0.5227334,-0.5207685,"('unpopular', 'popular')",0.18264513,0.15850702,-0.1700441,-0.1811308,-0.0110867
17,-0.72893983,-0.6438157,"('nasty', 'nice')",-0.54158014,-0.4860295,-0.63526,-0.5649226,0.0703374
18,-0.6849103,-0.63375026,"('disagreeable', 'welcoming')",-0.46066818,-0.5776384,-0.5727893,-0.6056943,-0.032905
19,-1.3098261,-1.3358532,"('inhospitable', 'hospitable')",-0.84494936,-0.83562845,-1.0773878,-1.0857408,-0.008353
20,0.40199056,0.47012472,"('rough', 'thoughtful')",0.84725153,0.8502553,0.624621,0.66019,0.035569
21,0.7585309,0.7450232,"('immoral', 'moral')",-0.08578459,0.052405067,0.3363732,0.3987141,0.0623409
22,0.62300324,0.6353004,"('untrustworthy', 'trustworthy')",-0.7858469,-0.77765393,-0.0814218,-0.0711768,0.010245
23,-0.026956303,-0.0019736104,"('insincere', 'sincere')",6.1371593,6.2049727,3.0551016,3.1014996,0.046398
24,-0.16022965,-0.14544992,"('dishonest', 'honest')",0.6590239,0.67555547,0.2493971,0.2650528,0.0156557
25,-0.48252395,-0.5314643,"('egoistic', 'altruistic')",1.0660932,0.94646907,0.2917846,0.2075024,-0.0842822
26,-0.19090836,-0.23201136,"('hardhearted', 'benevolent')",1.2774578,1.196163,0.5432748,0.4820758,-0.061199
27,-0.9172564,-0.8745814,"('hardhearted', 'softhearted')",1.1840439,1.0911167,0.1333937,0.1082676,-0.0251261
28,-0.16720307,-0.2555023,"('disloyal', 'loyal')",1.1106012,1.0156219,0.4716991,0.3800598,-0.0916393
29,-0.12674555,-0.1423071,"('unfair', 'fair')",-0.48762348,-0.62933517,-0.3071845,-0.3858211,-0.0786366
30,0.8619014,0.8967684,"('intolerant', 'tolerant')",1.2289046,1.203461,1.045403,1.0501148,0.0047118
31,-1.3198446,-1.2939006,"('evil', 'good')",-1.1286447,-1.2960861,-1.2242446,-1.2949934,-0.0707488
32,-0.21075296,-0.2980628,"('unkind', 'kind')",0.75891316,0.6579791,0.2740801,0.1799581,-0.094122
33,-0.12801088,-0.22523648,"('wrong', 'right')",-0.748566,-0.7832969,-0.4382884,-0.5042667,-0.0659783
34,-0.010155428,0.11886495,"('mean', 'honorable')",5.624511,5.8261094,2.8071778,2.9724872,0.1653094
35,-0.62309116,-0.73550826,"('corrupt', 'incorrupt')",-0.7424463,-0.84466934,-0.6827687,-0.7900888,-0.1073201
36,-1.3557268,-1.4403164,"('hostile', 'amicable')",-0.41765934,-0.57639927,-0.8866931,-1.0083579,-0.1216648
37,0.23976487,0.27734077,"('fake', 'genuine')",-0.02099777,0.014879057,0.1093836,0.1461099,0.0367263
38,-0.79309845,-0.8304089,"('untruthful', 'truthful')",-0.30027848,-0.23789427,-0.5466884,-0.5341516,0.0125368
