,cnx_male,cnx_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.96485955,-1.2187734,"('unsociable', 'sociable')",0.26928845,0.038573623,-0.09453784,-0.19308946,-0.2633696,-0.4577631,-0.1943935
1,-1.6157703,-1.7206501,"('unfriendly', 'friendly')",-0.11086729,-0.29792625,0.6883242,0.5478538,-0.3461045,-0.4902409,-0.1441364
2,1.2652031,1.198622,"('unlikable', 'likable')",0.88799256,0.84633833,1.0578382,1.0499052,1.0703446,1.0316218,-0.0387228
3,0.2187771,0.21531647,"('repellent', 'pleasant')",0.9890282,0.92346495,1.1430938,1.0223523,0.7836331,0.7203779,-0.0632552
4,-0.5043945,-0.5030389,"('disliked', 'liked')",-0.28290656,-0.2942547,-6.259488,-6.3389635,-2.3489297,-2.3787524,-0.0298227
5,-0.7807776,-0.68501776,"('distant', 'outgoing')",-0.24212831,-0.08394611,-1.2099631,-1.0145445,-0.7442896,-0.5945028,0.1497868
6,-1.1070846,-0.99923825,"('distant', 'open')",-0.98288345,-0.8890279,-1.338797,-1.1990167,-1.1429218,-1.0290942,0.1138276
7,-0.04432331,-0.09328793,"('insensitive', 'sensitive')",1.031881,0.95788616,0.18632215,0.21075702,0.3912933,0.3584518,-0.0328415
8,-0.8008909,-0.9295217,"('unaffectionate', 'affectionate')",-0.74034166,-0.84967154,-0.060512558,-0.040155914,-0.533915,-0.6064497,-0.0725347
9,-0.7590495,-0.9235197,"('unaffectionate', 'caring')",0.46516496,0.37276918,0.64536536,0.70244676,0.1171603,0.0505654,-0.0665949
10,-0.30912572,-0.6156038,"('unsympathetic', 'sympathetic')",-0.04911519,-0.3315189,0.113861136,0.022139156,-0.0814599,-0.3083279,-0.226868
11,0.17589146,0.0054944754,"('unhelpful', 'helpful')",0.9193264,0.8951362,2.591721,2.5986366,1.2289797,1.1664224,-0.0625573
12,0.14415242,0.15332577,"('unsupportive', 'supportive')",0.5594331,0.56369483,-2.0798285,-1.9639773,-0.4587477,-0.4156522,0.0430955
13,-0.37606692,-0.4447676,"('impolite', 'polite')",0.017471619,-0.035259098,-0.46698862,-0.4270225,-0.2751946,-0.3023497,-0.0271551
14,-0.12586698,-0.14169087,"('antisocial', 'social')",1.101743,1.0953646,0.36551046,0.23235027,0.4471288,0.3953413,-0.0517875
15,0.58640313,0.46793383,"('boring', 'funny')",-0.34584725,-0.3605856,-0.035340115,-0.05171317,0.0684053,0.018545,-0.0498603
16,-0.0035074577,-0.15526547,"('unpopular', 'popular')",-0.07984349,-0.22269286,0.27863705,0.17890193,0.0650954,-0.0663521,-0.1314475
17,-0.36299682,-0.22530177,"('nasty', 'nice')",-0.22978416,-0.13046278,-0.5223955,-0.48680216,-0.3717255,-0.2808556,0.0908699
18,-0.8290404,-0.8086195,"('disagreeable', 'welcoming')",-0.9927773,-0.99372506,-0.76227814,-0.7493805,-0.8613652,-0.850575,0.0107902
19,-0.5742108,-0.5646335,"('inhospitable', 'hospitable')",-1.4089758,-1.4011924,-0.85342485,-0.7147682,-0.9455372,-0.8935313,0.0520059
20,-0.11235795,-0.10194756,"('rough', 'thoughtful')",-0.050620362,-0.12149652,0.69839466,0.6505628,0.1784721,0.1423729,-0.0360992
21,0.20793708,-0.016588852,"('immoral', 'moral')",1.2688037,1.1104391,0.12220938,0.045230385,0.5329834,0.3796935,-0.1532899
22,0.17465986,0.071900934,"('untrustworthy', 'trustworthy')",-0.19826572,-0.40354767,-0.88574404,-0.96297026,-0.3031166,-0.431539,-0.1284224
23,-0.35081983,-0.50836813,"('insincere', 'sincere')",0.86237526,0.67717546,5.922033,5.861716,2.1445293,2.0101744,-0.1343549
24,0.4285882,0.41724595,"('dishonest', 'honest')",0.17573878,0.12611042,0.7823042,0.78633755,0.4622104,0.4432313,-0.0189791
25,-0.50921553,-0.63342774,"('egoistic', 'altruistic')",0.2615284,0.20417032,0.70798707,0.57204616,0.1534333,0.0475962,-0.1058371
26,-0.4853,-0.68378574,"('hardhearted', 'benevolent')",0.30239633,0.15994331,1.1628,0.97420114,0.3266321,0.1501196,-0.1765125
