,intellect_male,intellect_female,tuple,average_male,average_female,female-male
0,0.16461898,0.12188925,"('unsociable', 'sociable')",0.164619,0.1218892,-0.0427298
1,0.9301525,0.78748345,"('unfriendly', 'friendly')",0.9301525,0.7874835,-0.142669
2,0.22506593,0.35752857,"('unlikable', 'likable')",0.2250659,0.3575286,0.1324627
3,0.89682496,0.96849716,"('repellent', 'pleasant')",0.896825,0.9684972,0.0716722
4,-7.0953493,-7.2536507,"('disliked', 'liked')",-7.0953493,-7.2536507,-0.1583014
5,-0.44878745,-0.53468037,"('distant', 'outgoing')",-0.4487875,-0.5346804,-0.0858929
6,0.0005241893,-0.16836113,"('distant', 'open')",0.0005242,-0.1683611,-0.1688853
7,1.0744487,1.0744785,"('insensitive', 'sensitive')",1.0744487,1.0744785,2.98e-05
8,0.90628725,0.7395951,"('unaffectionate', 'affectionate')",0.9062873,0.7395951,-0.1666922
9,1.2464488,1.2419199,"('unaffectionate', 'caring')",1.2464488,1.2419199,-0.0045289
10,1.3204086,1.3719492,"('unsympathetic', 'sympathetic')",1.3204086,1.3719492,0.0515406
11,1.8168182,1.8371948,"('unhelpful', 'helpful')",1.8168182,1.8371948,0.0203766
12,-1.4992555,-1.5263416,"('unsupportive', 'supportive')",-1.4992555,-1.5263416,-0.0270861
13,0.17722613,0.26277304,"('impolite', 'polite')",0.1772261,0.262773,0.0855469
14,0.2315437,0.19605163,"('antisocial', 'social')",0.2315437,0.1960516,-0.0354921
15,0.29923296,0.17125478,"('boring', 'funny')",0.299233,0.1712548,-0.1279782
16,-0.33510906,-0.36466402,"('unpopular', 'popular')",-0.3351091,-0.364664,-0.0295549
17,0.0023289192,0.0032892674,"('nasty', 'nice')",0.0023289,0.0032893,0.0009604
18,-0.36770195,-0.38794255,"('disagreeable', 'welcoming')",-0.3677019,-0.3879426,-0.0202407
19,-0.78260314,-0.85307926,"('inhospitable', 'hospitable')",-0.7826031,-0.8530793,-0.0704762
20,1.0190815,0.9306838,"('rough', 'thoughtful')",1.0190815,0.9306838,-0.0883977
21,0.18362013,0.37212986,"('immoral', 'moral')",0.1836201,0.3721299,0.1885098
