,agl_male,agl_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0464796,-1.2101544,"('unsociable', 'sociable')",0.86115056,0.6715178,-0.56380975,-0.7527762,-0.2497129,-0.4304709,-0.180758
1,-1.9651419,-2.0749078,"('unfriendly', 'friendly')",0.38035145,0.106990464,1.572669,1.4314811,-0.0040405,-0.1788121,-0.1747716
2,0.71736276,0.7422687,"('unlikable', 'likable')",1.0490373,1.0724311,0.806453,0.9324358,0.8576177,0.9157119,0.0580942
3,-0.40791535,-0.3476846,"('repellent', 'pleasant')",1.0949515,1.1814505,0.18289077,0.23818012,0.2899756,0.3573153,0.0673397
4,-0.3430539,-0.35858673,"('disliked', 'liked')",-0.30773613,-0.39113972,-5.94461,-5.8826394,-2.1984668,-2.2107886,-0.0123218
5,-1.2691927,-1.234611,"('distant', 'outgoing')",-0.5967934,-0.474526,-0.11273369,-0.055992544,-0.6595733,-0.5883765,0.0711968
6,-1.5766845,-1.5279827,"('distant', 'open')",-1.3320122,-1.2559755,0.22424541,0.27947345,-0.8948171,-0.8348282,0.0599889
7,0.09300753,0.099069946,"('insensitive', 'sensitive')",1.2722625,1.2744571,0.55999637,0.53613275,0.6417555,0.6365533,-0.0052022
8,-1.0800519,-1.2182794,"('unaffectionate', 'affectionate')",-0.85615003,-0.945462,0.60247517,0.5458284,-0.4445756,-0.5393043,-0.0947287
9,-1.2914448,-1.4131593,"('unaffectionate', 'caring')",0.6443014,0.5671519,0.9691272,0.97143644,0.1073279,0.0418097,-0.0655182
10,-0.95183486,-0.994087,"('unsympathetic', 'sympathetic')",0.5286723,0.44567752,-0.42917082,-0.4666329,-0.2841111,-0.3383474,-0.0542363
11,-0.13148664,-0.13390756,"('unhelpful', 'helpful')",1.436466,1.4590062,1.9528853,2.044884,1.0859548,1.1233276,0.0373728
12,-0.57378125,-0.53126276,"('unsupportive', 'supportive')",1.0717671,1.1388448,-1.8075594,-1.7199231,-0.4365245,-0.3707803,0.0657442
13,-0.11648995,-0.12972027,"('impolite', 'polite')",0.11700837,0.087602526,-0.4029343,-0.4600059,-0.1341386,-0.1673746,-0.033236
14,0.3849423,0.42284265,"('antisocial', 'social')",1.133967,1.1873354,-0.68423164,-0.78450584,0.2782259,0.275224,-0.0030019
15,0.03711576,-0.04309497,"('boring', 'funny')",-0.8239973,-0.84775686,0.53923005,0.46490312,-0.0825505,-0.1419829,-0.0594324
16,-0.52329665,-0.52985716,"('unpopular', 'popular')",-0.12069179,-0.18748084,0.6360641,0.62490076,-0.0026414,-0.0308124,-0.028171
17,-0.16871932,-0.06037081,"('nasty', 'nice')",-0.15055844,0.011057813,-0.35006422,-0.28691122,-0.223114,-0.1120747,0.1110393
18,-0.8366195,-0.78998077,"('disagreeable', 'welcoming')",-0.57891524,-0.5322045,-0.40080664,-0.3541575,-0.6054471,-0.5587809,0.0466662
19,-1.2989595,-1.2097061,"('inhospitable', 'hospitable')",-1.5458438,-1.4512389,-0.060677826,0.07111461,-0.9684937,-0.8632768,0.1052169
20,-0.2251814,-0.20574762,"('rough', 'thoughtful')",0.094722345,0.14775777,0.80472904,0.7583664,0.2247567,0.2334589,0.0087022
21,0.38632014,0.40758932,"('immoral', 'moral')",1.2701128,1.2741997,-0.5689553,-0.51132995,0.3624925,0.390153,0.0276605
22,-0.336206,-0.34494853,"('untrustworthy', 'trustworthy')",-0.012458118,-0.08172173,-1.0551637,-1.1062806,-0.4679426,-0.5109836,-0.043041
23,-0.74399775,-0.82621205,"('insincere', 'sincere')",1.6796186,1.5821004,5.5687356,5.446117,2.1681188,2.0673351,-0.1007837
24,0.20810586,0.19303545,"('dishonest', 'honest')",0.602602,0.5335731,0.73430055,0.6709934,0.5150028,0.4658673,-0.0491355
25,-0.50571835,-0.5603386,"('egoistic', 'altruistic')",0.16733046,0.08282217,1.3080833,1.223226,0.3232318,0.2485698,-0.074662
26,-0.5506124,-0.69303447,"('hardhearted', 'benevolent')",0.61966634,0.50964785,1.1662409,1.0130352,0.4117649,0.2765495,-0.1352154
27,-1.2480161,-1.1803247,"('hardhearted', 'softhearted')",0.17480752,0.27456087,1.3942372,1.3319689,0.1070095,0.1420684,0.0350589
28,-0.4620205,-0.62423223,"('disloyal', 'loyal')",0.3656339,0.13407457,0.8125794,0.6841652,0.2387309,0.0646692,-0.1740617
29,-0.66305614,-0.636925,"('unfair', 'fair')",0.045928434,0.06859932,-0.4330583,-0.6231302,-0.350062,-0.3971519,-0.0470899
30,0.19524139,0.18531613,"('intolerant', 'tolerant')",2.079501,2.0723336,1.161501,1.1706953,1.1454145,1.1427817,-0.0026328
31,-1.6514326,-1.5221637,"('evil', 'good')",-1.4765265,-1.511215,-1.0006981,-1.1001292,-1.3762191,-1.3778359,-0.0016168
32,-0.41403288,-0.5099031,"('unkind', 'kind')",0.7390528,0.6803518,0.89045286,0.70858145,0.4051576,0.2930101,-0.1121475
33,0.24191225,0.119796865,"('wrong', 'right')",0.5464512,0.5149001,-0.52688456,-0.6293377,0.0871596,0.0017864,-0.0853732
34,-0.35613638,-0.18810377,"('mean', 'honorable')",0.24818394,0.33543643,6.044129,6.22095,1.9787254,2.1227609,0.1440355
35,-0.16980349,-0.2069606,"('corrupt', 'incorrupt')",-1.9278805,-1.9683192,-0.22254442,-0.38146555,-0.7734094,-0.8522485,-0.0788391
36,-1.3071038,-1.3515753,"('hostile', 'amicable')",-2.84064,-2.9978383,0.20779142,0.017647047,-1.3133175,-1.443922,-0.1306045
37,0.59730476,0.5454272,"('fake', 'genuine')",0.071895875,-0.020255148,0.3334253,0.34634826,0.3342086,0.2905068,-0.0437018
38,-0.55156726,-0.5993691,"('untruthful', 'truthful')",0.5672475,0.47484052,0.09502547,0.21006083,0.0369019,0.0285107,-0.0083912
39,1.5830653,1.5792308,"('exploitative', 'cooperative')",0.41019896,0.50064224,-0.04653208,-0.06334622,0.6489107,0.6721756,0.0232649
40,-0.12619784,-0.16615316,"('stingy', 'generous')",0.27466726,0.18937439,-1.4723554,-1.5972944,-0.4412953,-0.5246911,-0.0833958
41,-0.40346095,-0.3710002,"('unforgiving', 'forgiving')",0.32357487,0.26350313,0.2826059,0.2287958,0.0675733,0.0404329,-0.0271404
42,0.5930709,0.67015326,"('unreliable', 'reliable')",1.0073625,1.1359283,-2.7064922,-2.5426526,-0.3686863,-0.2455237,0.1231626
43,-0.08991754,-0.050393365,"('irresponsible', 'responsible')",0.84543276,0.8889124,0.4306683,0.43017802,0.3953945,0.422899,0.0275045
44,0.29093617,0.30843028,"('prejudiced', 'unprejudiced')",-0.9963477,-0.94546074,-1.3233134,-1.3286203,-0.6762416,-0.6552169,0.0210247
45,-0.19257784,-0.14472231,"('incompetent', 'competent')",0.7757194,0.68003213,-0.023936272,-0.11365893,0.1864018,0.1405503,-0.0458515
46,0.35131434,0.4063171,"('uncompetitive', 'competitive')",1.4078659,1.3923734,-0.4695782,-0.39195603,0.4298673,0.4689115,0.0390442
47,0.42840868,0.48119983,"('stupid', 'smart')",0.7185619,0.74144375,5.5777073,5.604949,2.2415593,2.2758643,0.034305
48,-0.36449754,-0.4197756,"('unintelligent', 'intelligent')",0.68009573,0.56772506,0.48796156,0.48606998,0.2678533,0.2113398,-0.0565135
49,-0.5153214,-0.35995674,"('unable', 'able')",-0.25965348,-0.16253027,-0.03731407,0.21386173,-0.270763,-0.1028751,0.1678879
50,0.1680697,0.14007027,"('clumsy', 'skillful')",-0.026609998,-0.030702075,0.31042662,0.36279598,0.1506288,0.1573881,0.0067593
51,-0.5011561,-0.58608603,"('uneducated', 'educated')",-0.08756442,-0.07918553,0.3196883,0.22231936,-0.0896774,-0.1476507,-0.0579733
52,-0.4217738,-0.6520989,"('irrational', 'rational')",-0.69876134,-0.8864346,0.25868765,0.026828382,-0.2872825,-0.5039017,-0.2166192
53,-1.4135467,-1.4556016,"('uncreative', 'creative')",0.5316824,0.4024995,0.8861958,0.8699526,0.0014438,-0.0610498,-0.0624936
54,-0.9529736,-0.9931084,"('incapable', 'capable')",-0.38838103,-0.40393704,1.0539814,1.1222647,-0.0957911,-0.0915935,0.0041976
55,-0.04916312,-0.0063367244,"('incompetent', 'clever')",0.503424,0.48515317,-0.086591914,-0.08339071,0.1225563,0.1318086,0.0092523
56,1.0619318,1.0449958,"('impractical', 'practical')",1.7537874,1.7795463,-0.0373336,0.0135552175,0.9261285,0.9460324,0.0199039
57,-0.9302689,-0.98874336,"('unimaginative', 'imaginative')",0.27756023,0.13582473,-2.3382514,-2.3734765,-0.9969867,-1.075465,-0.0784783
58,-0.5014778,-0.5408751,"('undiscriminating', 'discriminating')",0.8578135,0.80022496,0.11987274,0.107580334,0.1587361,0.1223101,-0.036426
59,0.6039174,0.5414765,"('foolish', 'wise')",0.8053761,0.7990434,0.5182116,0.49769408,0.6425017,0.612738,-0.0297637
60,1.0280181,1.092394,"('inefficient', 'efficient')",2.2166615,2.3066916,-0.02406739,0.10733014,1.0735373,1.1688052,0.0952679
