,mallinckrodt_male,mallinckrodt_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-1.2847135,-1.3656034,"('unsociable', 'sociable')",-0.34720874,-0.41003087,-0.8159611,-0.8878171,-0.071856
1,-0.111515954,-0.36733097,"('unfriendly', 'friendly')",2.353137,2.0907292,1.1208105,0.8616991,-0.2591114
2,0.2804845,0.269617,"('unlikable', 'likable')",0.25835937,0.30329436,0.2694219,0.2864557,0.0170338
3,-1.0937204,-0.953566,"('repellent', 'pleasant')",-0.33048663,-0.28043854,-0.7121035,-0.6170022,0.0951013
4,0.16169754,0.08411976,"('disliked', 'liked')",-4.460606,-4.2687893,-2.1494544,-2.0923347,0.0571197
5,1.0835017,0.93309575,"('distant', 'outgoing')",0.6550483,0.50850743,0.869275,0.7208016,-0.1484734
6,1.1131326,0.96079314,"('distant', 'open')",0.7044995,0.5250098,0.908816,0.7429014,-0.1659146
7,-0.49962428,-0.4720652,"('insensitive', 'sensitive')",0.5866206,0.6342961,0.0434982,0.0811155,0.0376173
8,0.17115435,0.040852156,"('unaffectionate', 'affectionate')",1.1846159,0.90921044,0.6778851,0.4750313,-0.2028538
9,-0.1670709,-0.31164935,"('unaffectionate', 'caring')",1.489615,1.3052926,0.661272,0.4968216,-0.1644504
10,-1.5481242,-1.519987,"('unsympathetic', 'sympathetic')",-0.7677377,-0.69113284,-1.157931,-1.1055599,0.0523711
11,-1.3747238,-1.3001958,"('unhelpful', 'helpful')",0.7737613,0.8019179,-0.3004813,-0.249139,0.0513423
12,-0.9890503,-0.990229,"('unsupportive', 'supportive')",-1.0032861,-0.9202231,-0.9961683,-0.9552261,0.0409422
13,-1.0232005,-0.9802795,"('impolite', 'polite')",-0.77320063,-0.7166271,-0.8982006,-0.8484533,0.0497473
14,-0.96535426,-0.8487434,"('antisocial', 'social')",0.55393845,0.7218213,-0.2057079,-0.063461,0.1422469
15,0.9501832,0.8599742,"('boring', 'funny')",-0.029225115,-0.06384983,0.4604791,0.3980622,-0.0624169
16,-0.04514662,-0.1291404,"('unpopular', 'popular')",-0.14146182,-0.24504468,-0.0933042,-0.1870925,-0.0937883
17,-0.3898331,-0.32074514,"('nasty', 'nice')",-1.0967155,-1.1629521,-0.7432743,-0.7418486,0.0014257
18,-0.25167704,-0.28223136,"('disagreeable', 'welcoming')",-0.837405,-0.9715263,-0.544541,-0.6268789,-0.0823379
19,0.044498842,-0.01253742,"('inhospitable', 'hospitable')",-0.4055743,-0.5316651,-0.1805377,-0.2721013,-0.0915636
20,-0.22067446,-0.13500682,"('rough', 'thoughtful')",1.1903992,1.1800791,0.4848624,0.5225362,0.0376738
21,-1.602857,-1.5515137,"('immoral', 'moral')",-1.4740052,-1.3063107,-1.5384312,-1.4289122,0.109519
22,-0.3186248,-0.29564145,"('untrustworthy', 'trustworthy')",-0.7077551,-0.6883806,-0.5131899,-0.492011,0.0211789
23,-1.1698116,-1.2053523,"('insincere', 'sincere')",3.9242284,3.6107469,1.3772085,1.2026973,-0.1745112
24,-0.68387395,-0.6815446,"('dishonest', 'honest')",0.4510243,0.39175546,-0.1164248,-0.1448946,-0.0284698
25,-0.050806925,-0.18213278,"('egoistic', 'altruistic')",1.5866233,1.3978722,0.7679082,0.6078697,-0.1600385
26,-0.2506578,-0.33713815,"('hardhearted', 'benevolent')",2.8980258,2.8018477,1.323684,1.2323548,-0.0913292
27,0.39515346,0.3127945,"('hardhearted', 'softhearted')",0.561765,0.25703213,0.4784592,0.2849133,-0.1935459
28,-0.79119015,-0.8989141,"('disloyal', 'loyal')",1.0949323,0.9192437,0.1518711,0.0101648,-0.1417063
29,0.26660955,0.18977615,"('unfair', 'fair')",-0.30596253,-0.4548555,-0.0196765,-0.1325397,-0.1128632
30,-0.6149896,-0.5995809,"('intolerant', 'tolerant')",0.45727152,0.5268065,-0.078859,-0.0363872,0.0424718
31,0.5699371,0.5121914,"('evil', 'good')",0.26845363,0.14923435,0.4191954,0.3307129,-0.0884825
32,-1.1350561,-1.2160456,"('unkind', 'kind')",0.41776082,0.25015527,-0.3586476,-0.4829452,-0.1242976
33,0.81307954,0.724571,"('wrong', 'right')",0.43496364,0.32536334,0.6240216,0.5249672,-0.0990544
34,-0.31131384,-0.2806122,"('mean', 'honorable')",3.5580027,3.4793594,1.6233444,1.5993736,-0.0239708
35,1.9997128,1.8746986,"('corrupt', 'incorrupt')",-0.04413573,-0.27967507,0.9777886,0.7975118,-0.1802768
36,0.8137271,0.64099306,"('hostile', 'amicable')",1.354395,1.0660485,1.084061,0.8535208,-0.2305402
37,-0.12629735,-0.11543101,"('fake', 'genuine')",0.6571523,0.6401314,0.2654275,0.2623502,-0.0030773
38,-0.17413521,-0.29093805,"('untruthful', 'truthful')",0.2032617,0.1869014,0.0145632,-0.0520183,-0.0665815
39,0.20003462,0.3045812,"('exploitative', 'cooperative')",0.6220595,0.7228594,0.4110471,0.5137203,0.1026732
40,0.3654991,0.26821405,"('stingy', 'generous')",-1.311796,-1.4155843,-0.4731484,-0.5736852,-0.1005368
41,-0.46439257,-0.55886406,"('unforgiving', 'forgiving')",0.15645902,0.13850376,-0.1539668,-0.2101801,-0.0562133
