,bank_male,bank_female,tuple,average_male,average_female,female-male
0,0.47534496,0.37750134,"('unsociable', 'sociable')",0.475345,0.3775013,-0.0978437
1,2.3342187,2.3020577,"('unfriendly', 'friendly')",2.3342187,2.3020577,-0.032161
2,1.0158409,1.0781728,"('unlikable', 'likable')",1.0158409,1.0781728,0.0623319
3,-0.023573214,0.090686426,"('repellent', 'pleasant')",-0.0235732,0.0906864,0.1142596
4,-6.711122,-6.878514,"('disliked', 'liked')",-6.711122,-6.8785138,-0.1673918
5,-0.15212235,-0.13310361,"('distant', 'outgoing')",-0.1521223,-0.1331036,0.0190187
6,0.18770795,0.22266188,"('distant', 'open')",0.1877079,0.2226619,0.034954
7,1.0625188,1.1422169,"('insensitive', 'sensitive')",1.0625188,1.1422169,0.0796981
8,1.463803,1.3658489,"('unaffectionate', 'affectionate')",1.4638031,1.3658489,-0.0979542
9,2.19401,2.1680076,"('unaffectionate', 'caring')",2.19401,2.1680076,-0.0260024
10,0.24434246,0.31309506,"('unsympathetic', 'sympathetic')",0.2443425,0.3130951,0.0687526
11,2.213042,2.279966,"('unhelpful', 'helpful')",2.213042,2.2799661,0.0669241
12,-1.0229694,-1.0191375,"('unsupportive', 'supportive')",-1.0229694,-1.0191375,0.0038319
13,0.029640116,0.031249039,"('impolite', 'polite')",0.0296401,0.031249,0.0016089
14,0.5122631,0.51583433,"('antisocial', 'social')",0.5122631,0.5158343,0.0035712
15,0.67986935,0.59780085,"('boring', 'funny')",0.6798694,0.5978009,-0.0820685
16,0.28545764,0.23734976,"('unpopular', 'popular')",0.2854576,0.2373498,-0.0481078
17,-0.075178035,-0.09335046,"('nasty', 'nice')",-0.075178,-0.0933505,-0.0181725
18,-0.32488313,-0.38276377,"('disagreeable', 'welcoming')",-0.3248831,-0.3827638,-0.0578807
19,0.26461944,0.25249326,"('inhospitable', 'hospitable')",0.2646194,0.2524933,-0.0121261
20,0.58723164,0.64751726,"('rough', 'thoughtful')",0.5872316,0.6475173,0.0602857
21,0.04987325,0.13094866,"('immoral', 'moral')",0.0498733,0.1309487,0.0810754
22,-0.737024,-0.69662863,"('untrustworthy', 'trustworthy')",-0.737024,-0.6966286,0.0403954
23,6.8636007,7.0063252,"('insincere', 'sincere')",6.8636007,7.0063252,0.1427245
24,1.494307,1.5164076,"('dishonest', 'honest')",1.494307,1.5164076,0.0221006
25,1.1107614,1.0811896,"('egoistic', 'altruistic')",1.1107614,1.0811896,-0.0295718
26,2.0029402,2.0313487,"('hardhearted', 'benevolent')",2.0029402,2.0313487,0.0284085
27,1.2949402,1.213201,"('hardhearted', 'softhearted')",1.2949402,1.213201,-0.0817392
28,1.2785347,1.2818502,"('disloyal', 'loyal')",1.2785347,1.2818502,0.0033155
29,-0.59349096,-0.66750354,"('unfair', 'fair')",-0.593491,-0.6675035,-0.0740125
30,1.3591388,1.3874223,"('intolerant', 'tolerant')",1.3591388,1.3874223,0.0282835
31,-1.0615276,-1.0648203,"('evil', 'good')",-1.0615276,-1.0648203,-0.0032927
32,1.5916947,1.5841771,"('unkind', 'kind')",1.5916947,1.5841771,-0.0075176
33,0.22814932,0.1567564,"('wrong', 'right')",0.2281493,0.1567564,-0.0713929
34,5.91873,6.125107,"('mean', 'honorable')",5.9187298,6.1251068,0.206377
35,-0.6074054,-0.7695177,"('corrupt', 'incorrupt')",-0.6074054,-0.7695177,-0.1621123
36,0.25306675,0.10938426,"('hostile', 'amicable')",0.2530667,0.1093843,-0.1436824
37,0.03548622,0.07254169,"('fake', 'genuine')",0.0354862,0.0725417,0.0370555
38,1.0201949,1.0969789,"('untruthful', 'truthful')",1.0201949,1.0969789,0.076784
39,0.4284222,0.4982467,"('exploitative', 'cooperative')",0.4284222,0.4982467,0.0698245
40,-1.5880206,-1.6676286,"('stingy', 'generous')",-1.5880206,-1.6676286,-0.079608
41,1.0965077,1.0446271,"('unforgiving', 'forgiving')",1.0965077,1.0446271,-0.0518806
42,-3.1205604,-3.1304457,"('unreliable', 'reliable')",-3.1205604,-3.1304457,-0.0098853
43,1.440307,1.5536699,"('irresponsible', 'responsible')",1.440307,1.5536699,0.1133629
44,-1.5773935,-1.5395253,"('prejudiced', 'unprejudiced')",-1.5773935,-1.5395253,0.0378682
45,0.2353955,0.28193846,"('incompetent', 'competent')",0.2353955,0.2819385,0.046543
46,-0.77370703,-0.7801818,"('uncompetitive', 'competitive')",-0.773707,-0.7801818,-0.0064748
47,6.0242395,6.268253,"('stupid', 'smart')",6.0242395,6.2682528,0.2440133
48,0.42198822,0.4166447,"('unintelligent', 'intelligent')",0.4219882,0.4166447,-0.0053435
49,0.28814667,0.37594754,"('unable', 'able')",0.2881467,0.3759475,0.0878008
50,-0.7226312,-0.7827152,"('clumsy', 'skillful')",-0.7226312,-0.7827152,-0.060084
51,0.36090714,0.27188694,"('uneducated', 'educated')",0.3609071,0.2718869,-0.0890202
52,0.28067416,0.1423233,"('irrational', 'rational')",0.2806742,0.1423233,-0.1383509
53,0.40967712,0.396579,"('uncreative', 'creative')",0.4096771,0.396579,-0.0130981
54,1.4316821,1.5058256,"('incapable', 'capable')",1.4316821,1.5058256,0.0741435
55,0.4213127,0.45956445,"('incompetent', 'clever')",0.4213127,0.4595644,0.0382517
56,0.75125146,0.7891903,"('impractical', 'practical')",0.7512515,0.7891903,0.0379388
57,-2.834657,-2.8327231,"('unimaginative', 'imaginative')",-2.834657,-2.8327231,0.0019339
58,0.030287335,0.09148556,"('undiscriminating', 'discriminating')",0.0302873,0.0914856,0.0611983
59,0.28052932,0.3019858,"('foolish', 'wise')",0.2805293,0.3019858,0.0214565
60,0.0027406458,0.17273039,"('inefficient', 'efficient')",0.0027406,0.1727304,0.1699898
61,1.11342,1.0190102,"('illogical', 'logical')",1.11342,1.0190102,-0.0944098
62,0.7273107,0.8707383,"('incompetent', 'brilliant')",0.7273107,0.8707383,0.1434276
63,1.0531917,1.143665,"('unperceptive', 'insightful')",1.0531917,1.143665,0.0904733
64,-6.937425,-7.014722,"('shy', 'confident')",-6.9374251,-7.0147219,-0.0772968
65,-0.33879557,-0.24033648,"('insecure', 'secure')",-0.3387956,-0.2403365,0.0984591
66,0.72809887,0.6610979,"('inactive', 'active')",0.7280989,0.6610979,-0.067001
67,-0.27392602,-0.23395869,"('doubtful', 'determined')",-0.273926,-0.2339587,0.0399673
68,-0.9945048,-0.9949276,"('dependent', 'independent')",-0.9945048,-0.9949276,-0.0004228
69,-1.1089087,-1.1512139,"('lazy', 'industrious')",-1.1089087,-1.1512139,-0.0423052
70,0.2552851,0.3096996,"('lethargic', 'energetic')",0.2552851,0.3096996,0.0544145
71,1.3025044,1.3173183,"('diffident', 'self-confident')",1.3025044,1.3173183,0.0148139
72,0.113052785,0.19890246,"('unambitious', 'ambitious')",0.1130528,0.1989025,0.0858497
73,-3.1414802,-3.2008724,"('helpless', 'self-reliant')",-3.1414802,-3.2008724,-0.0593922
74,0.121815935,0.09302503,"('undedicated', 'dedicated')",0.1218159,0.093025,-0.0287909
75,-1.1791937,-1.1432221,"('meek', 'impulsive')",-1.1791937,-1.1432221,0.0359716
76,-0.38920105,-0.35778874,"('anxious', 'daring')",-0.389201,-0.3577887,0.0314123
77,-1.0724183,-0.94743806,"('unmotivated', 'motivated')",-1.0724183,-0.9474381,0.1249802
78,0.22221781,0.21218547,"('nonresilient', 'resilient')",0.2222178,0.2121855,-0.0100323
79,0.1294384,0.12116154,"('wavering', 'unwavering')",0.1294384,0.1211615,-0.0082769
80,-0.43253183,-0.41881937,"('dominated', 'dominating')",-0.4325318,-0.4188194,0.0137124
81,-0.3727138,-0.2331131,"('submissive', 'aggressive')",-0.3727138,-0.2331131,0.1396007
82,6.352386,6.4723105,"('poor', 'rich')",6.352386,6.4723105,0.1199245
83,-0.008702271,-0.027466672,"('powerless', 'powerful')",-0.0087023,-0.0274667,-0.0187644
