,poll_male,poll_female,tuple,average_male,average_female,female-male
0,-0.17901506,-0.31304327,"('unsociable', 'sociable')",-0.1790151,-0.3130433,-0.1340282
1,1.2046149,1.1199127,"('unfriendly', 'friendly')",1.2046149,1.1199127,-0.0847022
2,0.43048477,0.6066703,"('unlikable', 'likable')",0.4304848,0.6066703,0.1761855
3,0.5568136,0.86535746,"('repellent', 'pleasant')",0.5568136,0.8653575,0.3085439
4,-7.3671174,-7.2828927,"('disliked', 'liked')",-7.3671174,-7.2828927,0.0842247
5,-0.4050253,-0.39608565,"('distant', 'outgoing')",-0.4050253,-0.3960856,0.0089397
6,-0.27682227,-0.29806623,"('distant', 'open')",-0.2768223,-0.2980662,-0.0212439
7,1.2103925,1.337164,"('insensitive', 'sensitive')",1.2103925,1.337164,0.1267715
8,1.0254656,0.9692676,"('unaffectionate', 'affectionate')",1.0254656,0.9692676,-0.056198
9,1.5952944,1.6150768,"('unaffectionate', 'caring')",1.5952944,1.6150768,0.0197824
10,1.0063354,1.0765179,"('unsympathetic', 'sympathetic')",1.0063354,1.0765179,0.0701825
11,1.9214795,1.9135551,"('unhelpful', 'helpful')",1.9214795,1.9135551,-0.0079244
12,-1.7487772,-1.6744031,"('unsupportive', 'supportive')",-1.7487772,-1.6744031,0.0743741
13,0.25679782,0.1247607,"('impolite', 'polite')",0.2567978,0.1247607,-0.1320371
14,0.6181469,0.6339264,"('antisocial', 'social')",0.6181469,0.6339264,0.0157795
15,0.34978008,0.35684282,"('boring', 'funny')",0.3497801,0.3568428,0.0070627
16,-0.80797213,-0.7645422,"('unpopular', 'popular')",-0.8079721,-0.7645422,0.0434299
17,-0.32748362,-0.37387025,"('nasty', 'nice')",-0.3274836,-0.3738703,-0.0463867
18,-0.53654236,-0.5165575,"('disagreeable', 'welcoming')",-0.5365424,-0.5165575,0.0199849
19,-0.67487574,-0.6482261,"('inhospitable', 'hospitable')",-0.6748757,-0.6482261,0.0266496
20,0.5614456,0.6016597,"('rough', 'thoughtful')",0.5614456,0.6016597,0.0402141
21,0.1620544,0.34374213,"('immoral', 'moral')",0.1620544,0.3437421,0.1816877
22,-0.43454415,-0.37341073,"('untrustworthy', 'trustworthy')",-0.4345441,-0.3734107,0.0611334
23,6.469596,6.448316,"('insincere', 'sincere')",6.4695959,6.4483161,-0.0212798
24,1.817465,1.8774507,"('dishonest', 'honest')",1.8174649,1.8774507,0.0599858
25,0.34671256,0.28249496,"('egoistic', 'altruistic')",0.3467126,0.282495,-0.0642176
26,0.66691923,0.46935692,"('hardhearted', 'benevolent')",0.6669192,0.4693569,-0.1975623
27,1.2321756,1.1660604,"('hardhearted', 'softhearted')",1.2321756,1.1660604,-0.0661152
28,0.8571184,0.8235047,"('disloyal', 'loyal')",0.8571184,0.8235047,-0.0336137
29,-0.20002571,-0.3278003,"('unfair', 'fair')",-0.2000257,-0.3278003,-0.1277746
30,1.0217017,1.0514177,"('intolerant', 'tolerant')",1.0217017,1.0514177,0.029716
31,-1.728616,-1.6776044,"('evil', 'good')",-1.728616,-1.6776044,0.0510116
32,1.0713347,0.93266106,"('unkind', 'kind')",1.0713347,0.9326611,-0.1386736
33,-0.50362927,-0.51152974,"('wrong', 'right')",-0.5036293,-0.5115297,-0.0079004
34,4.237843,4.345604,"('mean', 'honorable')",4.237843,4.3456039,0.1077609
35,-1.0463473,-1.1839156,"('corrupt', 'incorrupt')",-1.0463473,-1.1839156,-0.1375683
36,-0.8889187,-1.0513742,"('hostile', 'amicable')",-0.8889187,-1.0513742,-0.1624555
37,0.6724883,0.6965252,"('fake', 'genuine')",0.6724883,0.6965252,0.0240369
38,0.59256935,0.48634198,"('untruthful', 'truthful')",0.5925694,0.486342,-0.1062274
39,-0.23642641,-0.22847432,"('exploitative', 'cooperative')",-0.2364264,-0.2284743,0.0079521
40,-2.1240203,-2.0181677,"('stingy', 'generous')",-2.1240203,-2.0181677,0.1058526
41,-0.026321575,-0.07087679,"('unforgiving', 'forgiving')",-0.0263216,-0.0708768,-0.0445552
42,-2.3396947,-2.1658514,"('unreliable', 'reliable')",-2.3396947,-2.1658514,0.1738433
43,1.384873,1.2924045,"('irresponsible', 'responsible')",1.384873,1.2924045,-0.0924685
44,-0.98461896,-1.163696,"('prejudiced', 'unprejudiced')",-0.984619,-1.1636961,-0.1790771
45,-0.021880427,0.08702094,"('incompetent', 'competent')",-0.0218804,0.0870209,0.1089013
46,-0.5778555,-0.4935144,"('uncompetitive', 'competitive')",-0.5778555,-0.4935144,0.0843411
47,5.3543987,5.4301567,"('stupid', 'smart')",5.3543987,5.4301567,0.075758
48,1.0046147,1.1148788,"('unintelligent', 'intelligent')",1.0046147,1.1148788,0.1102641
49,0.07469636,0.2233762,"('unable', 'able')",0.0746964,0.2233762,0.1486798
50,-0.2961172,-0.043814007,"('clumsy', 'skillful')",-0.2961172,-0.043814,0.2523032
51,0.13581613,0.35519487,"('uneducated', 'educated')",0.1358161,0.3551949,0.2193788
52,-0.44624665,-0.47562537,"('irrational', 'rational')",-0.4462467,-0.4756254,-0.0293787
53,0.2516736,0.2984221,"('uncreative', 'creative')",0.2516736,0.2984221,0.0467485
